SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
DISOC_PEATIVA;1992-01-01T00:00:00-02:00;65977197.0;;
DISOC_PEATIVA;1993-01-01T00:00:00-02:00;66944596.0;;
DISOC_PEATIVA;1994-01-01T00:00:00-02:00;;;
DISOC_PEATIVA;1995-01-01T00:00:00-02:00;70055469.0;;
DISOC_PEATIVA;1996-01-01T00:00:00-02:00;69583474.0;;
DISOC_PEATIVA;1997-01-01T00:00:00-02:00;71634612.0;;
DISOC_PEATIVA;1998-01-01T00:00:00-02:00;73284362.0;;
DISOC_PEATIVA;1999-01-01T00:00:00-02:00;77243166.0;;
DISOC_PEATIVA;2000-01-01T00:00:00-02:00;;;
DISOC_PEATIVA;2001-01-01T00:00:00-02:00;81243433.0;;
DISOC_PEATIVA;2002-01-01T00:00:00-02:00;83843862.0;;
DISOC_PEATIVA;2003-01-01T00:00:00-02:00;85371565.0;;
DISOC_PEATIVA;2004-01-01T00:00:00-02:00;87627472.0;;
DISOC_PEATIVA;2005-01-01T00:00:00-02:00;90147944.0;;
DISOC_PEATIVA;2006-01-01T00:00:00-02:00;91155864.0;;
DISOC_PEATIVA;2007-01-01T00:00:00-02:00;92364258.0;;
DISOC_PEATIVA;2008-01-01T00:00:00-02:00;93948757.0;;
DISOC_PEATIVA;2009-01-01T00:00:00-02:00;96108938.0;;
DISOC_PEATIVA;2010-01-01T00:00:00-02:00;;;
DISOC_PEATIVA;2011-01-01T00:00:00-02:00;95666628.0;;
DISOC_PEATIVA;2012-01-01T00:00:00-02:00;96720023.0;;
DISOC_PEATIVA;2013-01-01T00:00:00-02:00;97343222.0;;
DISOC_PEATIVA;2014-01-01T00:00:00-02:00;100441546.0;;
