SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
EVNNEW;1870-01-01T00:00:00-02:00;27.3;Brasil;0
EVNNEW;1880-01-01T00:00:00-02:00;27.6;Brasil;0
EVNNEW;1890-01-01T00:00:00-02:00;27.8;Brasil;0
EVNNEW;1900-01-01T00:00:00-02:00;29.4;Brasil;0
EVNNEW;1910-01-01T00:00:00-02:00;30.6;Brasil;0
EVNNEW;1920-01-01T00:00:00-02:00;32.0;Brasil;0
EVNNEW;1930-01-01T00:00:00-02:00;34.0;Brasil;0
EVNNEW;1940-01-01T00:00:00-02:00;36.7;Brasil;0
EVNNEW;1950-01-01T00:00:00-02:00;43.0;Brasil;0
EVNNEW;1960-01-01T00:00:00-02:00;55.5;Brasil;0
EVNNEW;1970-01-01T00:00:00-02:00;38.4;Municípios;2405108
EVNNEW;1970-01-01T00:00:00-02:00;38.4;Municípios;2405801
EVNNEW;1970-01-01T00:00:00-02:00;38.4;Municípios;2408805
EVNNEW;1970-01-01T00:00:00-02:00;40.04;Municípios;2406106
EVNNEW;1970-01-01T00:00:00-02:00;40.06;Municípios;2401800
EVNNEW;1970-01-01T00:00:00-02:00;40.14;Municípios;2402501
EVNNEW;1970-01-01T00:00:00-02:00;40.14;Municípios;2409902
EVNNEW;1970-01-01T00:00:00-02:00;40.14;Municípios;2412807
EVNNEW;1970-01-01T00:00:00-02:00;40.18;Municípios;2602506
EVNNEW;1970-01-01T00:00:00-02:00;40.2;Municípios;2512408
EVNNEW;1970-01-01T00:00:00-02:00;40.26;Municípios;2402709
EVNNEW;1970-01-01T00:00:00-02:00;40.29;Municípios;2406304
EVNNEW;1970-01-01T00:00:00-02:00;40.36;Municípios;2413102
EVNNEW;1970-01-01T00:00:00-02:00;40.39;Municípios;2707800
EVNNEW;1970-01-01T00:00:00-02:00;40.45;Municípios;2603504
EVNNEW;1970-01-01T00:00:00-02:00;40.53;Municípios;2614501
EVNNEW;1970-01-01T00:00:00-02:00;40.56;Municípios;2407906
EVNNEW;1970-01-01T00:00:00-02:00;40.56;Municípios;2505709
EVNNEW;1970-01-01T00:00:00-02:00;40.58;Municípios;2409506
EVNNEW;1970-01-01T00:00:00-02:00;40.58;Municípios;2410405
EVNNEW;1970-01-01T00:00:00-02:00;40.58;Municípios;2413904
EVNNEW;1970-01-01T00:00:00-02:00;40.58;Municípios;2414407
EVNNEW;1970-01-01T00:00:00-02:00;40.61;Municípios;2600807
EVNNEW;1970-01-01T00:00:00-02:00;40.66;Municípios;2614709
EVNNEW;1970-01-01T00:00:00-02:00;40.72;Municípios;3146206
EVNNEW;1970-01-01T00:00:00-02:00;40.85;Municípios;2404309
EVNNEW;1970-01-01T00:00:00-02:00;40.85;Municípios;2407500
EVNNEW;1970-01-01T00:00:00-02:00;40.87;Municípios;2703700
EVNNEW;1970-01-01T00:00:00-02:00;40.9;Municípios;2404408
EVNNEW;1970-01-01T00:00:00-02:00;40.96;Municípios;2506707
EVNNEW;1970-01-01T00:00:00-02:00;41.01;Municípios;2402402
EVNNEW;1970-01-01T00:00:00-02:00;41.02;Municípios;2401305
EVNNEW;1970-01-01T00:00:00-02:00;41.08;Municípios;2402600
EVNNEW;1970-01-01T00:00:00-02:00;41.11;Municípios;2400307
EVNNEW;1970-01-01T00:00:00-02:00;41.11;Municípios;2405504
EVNNEW;1970-01-01T00:00:00-02:00;41.11;Municípios;2409704
EVNNEW;1970-01-01T00:00:00-02:00;41.17;Municípios;2708402
EVNNEW;1970-01-01T00:00:00-02:00;41.18;Municípios;2400703
EVNNEW;1970-01-01T00:00:00-02:00;41.24;Municípios;2613107
EVNNEW;1970-01-01T00:00:00-02:00;41.28;Municípios;2606507
EVNNEW;1970-01-01T00:00:00-02:00;41.32;Municípios;2607703
EVNNEW;1970-01-01T00:00:00-02:00;41.34;Municípios;2414001
EVNNEW;1970-01-01T00:00:00-02:00;41.39;Municípios;2301703
EVNNEW;1970-01-01T00:00:00-02:00;41.45;Municípios;2605806
