SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
FECTOT;1991-01-01T00:00:00-02:00;1.763;Municípios;3303302
FECTOT;1991-01-01T00:00:00-02:00;1.839;Municípios;3548500
FECTOT;1991-01-01T00:00:00-02:00;1.859;Municípios;3304557
FECTOT;1991-01-01T00:00:00-02:00;1.951;Municípios;3509502
FECTOT;1991-01-01T00:00:00-02:00;1.954;Municípios;3106200
FECTOT;1991-01-01T00:00:00-02:00;1.99;Municípios;3303203
FECTOT;1991-01-01T00:00:00-02:00;1.994;Municípios;3304904
FECTOT;1991-01-01T00:00:00-02:00;2.009;Municípios;3556909
FECTOT;1991-01-01T00:00:00-02:00;2.016;Municípios;3136702
FECTOT;1991-01-01T00:00:00-02:00;2.027;Municípios;3170107
FECTOT;1991-01-01T00:00:00-02:00;2.028;Municípios;4314902
FECTOT;1991-01-01T00:00:00-02:00;2.031;Municípios;3541406
FECTOT;1991-01-01T00:00:00-02:00;2.032;Municípios;3548708
FECTOT;1991-01-01T00:00:00-02:00;2.032;Municípios;3548807
FECTOT;1991-01-01T00:00:00-02:00;2.032;Municípios;3555109
FECTOT;1991-01-01T00:00:00-02:00;2.034;Municípios;4106902
FECTOT;1991-01-01T00:00:00-02:00;2.035;Municípios;5208707
FECTOT;1991-01-01T00:00:00-02:00;2.039;Municípios;3506409
FECTOT;1991-01-01T00:00:00-02:00;2.04;Municípios;3502804
FECTOT;1991-01-01T00:00:00-02:00;2.04;Municípios;3547809
FECTOT;1991-01-01T00:00:00-02:00;2.04;Municípios;3550308
FECTOT;1991-01-01T00:00:00-02:00;2.04;Municípios;4300802
FECTOT;1991-01-01T00:00:00-02:00;2.04;Municípios;4308201
FECTOT;1991-01-01T00:00:00-02:00;2.04;Municípios;4308607
FECTOT;1991-01-01T00:00:00-02:00;2.04;Municípios;4323309
FECTOT;1991-01-01T00:00:00-02:00;2.042;Municípios;4304804
FECTOT;1991-01-01T00:00:00-02:00;2.046;Municípios;3531407
FECTOT;1991-01-01T00:00:00-02:00;2.046;Municípios;4310900
FECTOT;1991-01-01T00:00:00-02:00;2.05;Municípios;3539905
FECTOT;1991-01-01T00:00:00-02:00;2.053;Municípios;3501608
FECTOT;1991-01-01T00:00:00-02:00;2.055;Municípios;3534609
FECTOT;1991-01-01T00:00:00-02:00;2.057;Municípios;3555000
FECTOT;1991-01-01T00:00:00-02:00;2.06;Municípios;4305603
FECTOT;1991-01-01T00:00:00-02:00;2.06;Municípios;4311270
FECTOT;1991-01-01T00:00:00-02:00;2.06;Municípios;4323200
FECTOT;1991-01-01T00:00:00-02:00;2.062;Municípios;4320305
FECTOT;1991-01-01T00:00:00-02:00;2.068;Municípios;4320909
FECTOT;1991-01-01T00:00:00-02:00;2.07;Municípios;4303558
FECTOT;1991-01-01T00:00:00-02:00;2.07;Municípios;4306304
FECTOT;1991-01-01T00:00:00-02:00;2.07;Municípios;4309902
FECTOT;1991-01-01T00:00:00-02:00;2.07;Municípios;4312674
FECTOT;1991-01-01T00:00:00-02:00;2.076;Municípios;3502101
FECTOT;1991-01-01T00:00:00-02:00;2.076;Municípios;3520442
FECTOT;1991-01-01T00:00:00-02:00;2.08;Municípios;4309258
FECTOT;1991-01-01T00:00:00-02:00;2.08;Municípios;4310801
FECTOT;1991-01-01T00:00:00-02:00;2.08;Municípios;4312351
FECTOT;1991-01-01T00:00:00-02:00;2.08;Municípios;4322350
FECTOT;1991-01-01T00:00:00-02:00;2.081;Municípios;4305871
FECTOT;1991-01-01T00:00:00-02:00;2.083;Municípios;3543402
FECTOT;1991-01-01T00:00:00-02:00;2.085;Municípios;4318440
FECTOT;1991-01-01T00:00:00-02:00;2.086;Municípios;3105608
FECTOT;1991-01-01T00:00:00-02:00;2.087;Municípios;3500808
FECTOT;1991-01-01T00:00:00-02:00;2.096;Municípios;3542404
FECTOT;1991-01-01T00:00:00-02:00;2.097;Municípios;4304903
FECTOT;1991-01-01T00:00:00-02:00;2.097;Municípios;4311809
FECTOT;1991-01-01T00:00:00-02:00;2.097;Municípios;4318051
FECTOT;1991-01-01T00:00:00-02:00;2.097;Municípios;4320503
FECTOT;1991-01-01T00:00:00-02:00;2.097;Municípios;4322558
FECTOT;1991-01-01T00:00:00-02:00;2.1;Estados;33
FECTOT;1991-01-01T00:00:00-02:00;2.101;Municípios;3526001
FECTOT;1991-01-01T00:00:00-02:00;2.105;Municípios;3134202
FECTOT;1991-01-01T00:00:00-02:00;2.108;Municípios;3511508
FECTOT;1991-01-01T00:00:00-02:00;2.11;Municípios;3138401
FECTOT;1991-01-01T00:00:00-02:00;2.11;Municípios;4209003
FECTOT;1991-01-01T00:00:00-02:00;2.111;Municípios;3553401
FECTOT;1991-01-01T00:00:00-02:00;2.112;Municípios;3549805
FECTOT;1991-01-01T00:00:00-02:00;2.113;Municípios;4319000
FECTOT;1991-01-01T00:00:00-02:00;2.114;Municípios;3553708
FECTOT;1991-01-01T00:00:00-02:00;2.115;Municípios;2927408
FECTOT;1991-01-01T00:00:00-02:00;2.115;Municípios;3507506
FECTOT;1991-01-01T00:00:00-02:00;2.118;Municípios;3304201
FECTOT;1991-01-01T00:00:00-02:00;2.118;Municípios;3501202
FECTOT;1991-01-01T00:00:00-02:00;2.119;Municípios;4306759
FECTOT;1991-01-01T00:00:00-02:00;2.12;Municípios;4304697
FECTOT;1991-01-01T00:00:00-02:00;2.12;Municípios;4312609
FECTOT;1991-01-01T00:00:00-02:00;2.12;Municípios;4313003
FECTOT;1991-01-01T00:00:00-02:00;2.12;Municípios;4322855
FECTOT;1991-01-01T00:00:00-02:00;2.122;Municípios;2609600
FECTOT;1991-01-01T00:00:00-02:00;2.122;Municípios;3536257
FECTOT;1991-01-01T00:00:00-02:00;2.127;Municípios;4202909
FECTOT;1991-01-01T00:00:00-02:00;2.127;Municípios;4301008
FECTOT;1991-01-01T00:00:00-02:00;2.127;Municípios;4310405
FECTOT;1991-01-01T00:00:00-02:00;2.128;Municípios;4316907
FECTOT;1991-01-01T00:00:00-02:00;2.128;Municípios;4319372
FECTOT;1991-01-01T00:00:00-02:00;2.13;Municípios;3502606
FECTOT;1991-01-01T00:00:00-02:00;2.13;Municípios;3547205
FECTOT;1991-01-01T00:00:00-02:00;2.13;Municípios;3547700
FECTOT;1991-01-01T00:00:00-02:00;2.13;Municípios;4215109
FECTOT;1991-01-01T00:00:00-02:00;2.13;Municípios;4316477
FECTOT;1991-01-01T00:00:00-02:00;2.13;Municípios;4319406
FECTOT;1991-01-01T00:00:00-02:00;2.132;Municípios;3301801
FECTOT;1991-01-01T00:00:00-02:00;2.132;Municípios;3539004
FECTOT;1991-01-01T00:00:00-02:00;2.133;Municípios;4315008
FECTOT;1991-01-01T00:00:00-02:00;2.134;Municípios;3504206
FECTOT;1991-01-01T00:00:00-02:00;2.134;Municípios;3506003
FECTOT;1991-01-01T00:00:00-02:00;2.137;Municípios;3532108
FECTOT;1991-01-01T00:00:00-02:00;2.137;Municípios;4205407
FECTOT;1991-01-01T00:00:00-02:00;2.138;Municípios;4302204
FECTOT;1991-01-01T00:00:00-02:00;2.14;Municípios;3506508
FECTOT;1991-01-01T00:00:00-02:00;2.141;Municípios;4307906
FECTOT;1991-01-01T00:00:00-02:00;2.147;Municípios;3154101
FECTOT;1991-01-01T00:00:00-02:00;2.15;Municípios;3146701
FECTOT;1991-01-01T00:00:00-02:00;2.151;Municípios;4315057
FECTOT;1991-01-01T00:00:00-02:00;2.16;Municípios;4202008
FECTOT;1991-01-01T00:00:00-02:00;2.16;Municípios;4322806
FECTOT;1991-01-01T00:00:00-02:00;2.162;Municípios;4315172
FECTOT;1991-01-01T00:00:00-02:00;2.163;Municípios;3109006
FECTOT;1991-01-01T00:00:00-02:00;2.163;Municípios;4302105
FECTOT;1991-01-01T00:00:00-02:00;2.164;Municípios;3105103
FECTOT;1991-01-01T00:00:00-02:00;2.164;Municípios;3164308
FECTOT;1991-01-01T00:00:00-02:00;2.164;Municípios;3168200
FECTOT;1991-01-01T00:00:00-02:00;2.164;Municípios;3527108
FECTOT;1991-01-01T00:00:00-02:00;2.164;Municípios;3556701
FECTOT;1991-01-01T00:00:00-02:00;2.168;Municípios;3511102
FECTOT;1991-01-01T00:00:00-02:00;2.168;Municípios;3531308
FECTOT;1991-01-01T00:00:00-02:00;2.169;Municípios;4300554
FECTOT;1991-01-01T00:00:00-02:00;2.169;Municípios;4308458
FECTOT;1991-01-01T00:00:00-02:00;2.173;Municípios;3103801
FECTOT;1991-01-01T00:00:00-02:00;2.173;Municípios;3533205
FECTOT;1991-01-01T00:00:00-02:00;2.174;Municípios;3543303
FECTOT;1991-01-01T00:00:00-02:00;2.177;Municípios;4305355
FECTOT;1991-01-01T00:00:00-02:00;2.177;Municípios;5213707
FECTOT;1991-01-01T00:00:00-02:00;2.178;Municípios;3119401
