SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 1872-00;280670
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 1872-00;350330
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 1872-00;352260
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 1872-00;355070
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 20-00;230690
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 20-00;230750
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 20-00;280670
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 20-00;316930
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 20-00;350330
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 20-00;350590
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 20-00;350850
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 20-00;352260
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 20-00;355070
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 20-00;411070
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 20-00;430660
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;230690
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;230750
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;261530
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;280670
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;310400
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;311800
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;313190
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;316930
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;350330
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;350590
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;350850
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;352260
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;353670
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;354060
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;355070
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;411070
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;420590
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;430660
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 40-00;430790
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;230320
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;230690
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;230750
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;231180
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;231350
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;261530
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;280670
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;290980
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;292150
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;310400
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;311800
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;312410
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;313190
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;314520
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;314610
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;314930
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;316930
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;317200
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;330320
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;350330
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;350390
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;350410
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;350590
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;350750
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;350850
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;350970
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;351440
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;351570
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;352260
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;352430
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;352710
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;352900
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;353080
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;353130
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;353670
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;353730
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;353930
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;354060
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;354970
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;355070
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;355620
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;410980
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;411070
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;420240
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;420590
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;430390
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;430660
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;430770
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;430790
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 60-00;521000
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 70-00;230320
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 70-00;230690
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 70-00;230750
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 70-00;231180
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 70-00;231350
M1014CF;2000-01-01T00:00:00-02:00;0.0;AMC 70-00;240100
