SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
MORT5;1991-01-01T00:00:00-02:00;12.496;Municípios;4312476
MORT5;1991-01-01T00:00:00-02:00;12.902;Municípios;4311627
MORT5;1991-01-01T00:00:00-02:00;13.0;Municípios;4312658
MORT5;1991-01-01T00:00:00-02:00;13.0;Municípios;4320305
MORT5;1991-01-01T00:00:00-02:00;13.054;Municípios;4313201
MORT5;1991-01-01T00:00:00-02:00;13.114;Municípios;4304408
MORT5;1991-01-01T00:00:00-02:00;13.469;Municípios;4312385
MORT5;1991-01-01T00:00:00-02:00;13.552;Municípios;4310462
MORT5;1991-01-01T00:00:00-02:00;13.559;Municípios;4310108
MORT5;1991-01-01T00:00:00-02:00;13.6;Municípios;4309100
MORT5;1991-01-01T00:00:00-02:00;14.112;Municípios;4312153
MORT5;1991-01-01T00:00:00-02:00;14.286;Municípios;4305959
MORT5;1991-01-01T00:00:00-02:00;14.29;Municípios;4310801
MORT5;1991-01-01T00:00:00-02:00;14.44;Municípios;4319000
MORT5;1991-01-01T00:00:00-02:00;14.443;Municípios;4322541
MORT5;1991-01-01T00:00:00-02:00;14.588;Municípios;4314035
MORT5;1991-01-01T00:00:00-02:00;14.629;Municípios;4301404
MORT5;1991-01-01T00:00:00-02:00;14.629;Municípios;4306452
MORT5;1991-01-01T00:00:00-02:00;14.629;Municípios;4312906
MORT5;1991-01-01T00:00:00-02:00;14.629;Municípios;4314001
MORT5;1991-01-01T00:00:00-02:00;14.629;Municípios;4320404
MORT5;1991-01-01T00:00:00-02:00;14.635;Municípios;4303558
MORT5;1991-01-01T00:00:00-02:00;14.67;Municípios;4319752
MORT5;1991-01-01T00:00:00-02:00;14.797;Municípios;4316501
MORT5;1991-01-01T00:00:00-02:00;14.937;Municípios;4311791
MORT5;1991-01-01T00:00:00-02:00;14.987;Municípios;4318481
MORT5;1991-01-01T00:00:00-02:00;15.047;Municípios;4306759
MORT5;1991-01-01T00:00:00-02:00;15.143;Municípios;4308102
MORT5;1991-01-01T00:00:00-02:00;15.23;Municípios;4202305
MORT5;1991-01-01T00:00:00-02:00;15.261;Municípios;4318051
MORT5;1991-01-01T00:00:00-02:00;15.267;Municípios;4304358
MORT5;1991-01-01T00:00:00-02:00;15.329;Municípios;4302659
MORT5;1991-01-01T00:00:00-02:00;15.329;Municípios;4314753
MORT5;1991-01-01T00:00:00-02:00;15.329;Municípios;4322251
MORT5;1991-01-01T00:00:00-02:00;15.485;Municípios;4207577
MORT5;1991-01-01T00:00:00-02:00;15.485;Municípios;4209003
MORT5;1991-01-01T00:00:00-02:00;15.485;Municípios;4210035
MORT5;1991-01-01T00:00:00-02:00;15.528;Municípios;4301008
MORT5;1991-01-01T00:00:00-02:00;15.576;Municípios;4323408
MORT5;1991-01-01T00:00:00-02:00;15.591;Municípios;4308706
MORT5;1991-01-01T00:00:00-02:00;15.625;Municípios;4310363
MORT5;1991-01-01T00:00:00-02:00;15.625;Municípios;4315131
MORT5;1991-01-01T00:00:00-02:00;15.666;Municípios;4313003
MORT5;1991-01-01T00:00:00-02:00;15.666;Municípios;4321626
MORT5;1991-01-01T00:00:00-02:00;15.666;Municípios;4322855
MORT5;1991-01-01T00:00:00-02:00;15.689;Municípios;4300570
MORT5;1991-01-01T00:00:00-02:00;15.892;Municípios;4319356
MORT5;1991-01-01T00:00:00-02:00;16.021;Municípios;4303905
MORT5;1991-01-01T00:00:00-02:00;16.021;Municípios;4311981
MORT5;1991-01-01T00:00:00-02:00;16.029;Municípios;4312500
MORT5;1991-01-01T00:00:00-02:00;16.029;Municípios;4313656
MORT5;1991-01-01T00:00:00-02:00;16.043;Municípios;4314159
MORT5;1991-01-01T00:00:00-02:00;16.056;Municípios;4202404
MORT5;1991-01-01T00:00:00-02:00;16.056;Municípios;4206306
MORT5;1991-01-01T00:00:00-02:00;16.22;Municípios;4323804
MORT5;1991-01-01T00:00:00-02:00;16.392;Municípios;4204301
MORT5;1991-01-01T00:00:00-02:00;16.42;Municípios;4311270
MORT5;1991-01-01T00:00:00-02:00;16.42;Municípios;4323200
MORT5;1991-01-01T00:00:00-02:00;16.438;Municípios;4313508
MORT5;1991-01-01T00:00:00-02:00;16.471;Municípios;4312609
MORT5;1991-01-01T00:00:00-02:00;16.664;Municípios;4304671
MORT5;1991-01-01T00:00:00-02:00;16.728;Municípios;3500600
MORT5;1991-01-01T00:00:00-02:00;16.728;Municípios;3546256
MORT5;1991-01-01T00:00:00-02:00;16.728;Municípios;3556909
MORT5;1991-01-01T00:00:00-02:00;16.809;Municípios;4301057
MORT5;1991-01-01T00:00:00-02:00;16.826;Municípios;4307864
MORT5;1991-01-01T00:00:00-02:00;16.826;Municípios;4317251
MORT5;1991-01-01T00:00:00-02:00;16.943;Municípios;4320008
MORT5;1991-01-01T00:00:00-02:00;16.962;Municípios;4214508
MORT5;1991-01-01T00:00:00-02:00;17.026;Municípios;4320677
MORT5;1991-01-01T00:00:00-02:00;17.07;Municípios;4210605
MORT5;1991-01-01T00:00:00-02:00;17.124;Municípios;4315149
MORT5;1991-01-01T00:00:00-02:00;17.124;Municípios;4321204
MORT5;1991-01-01T00:00:00-02:00;17.267;Municípios;4300901
MORT5;1991-01-01T00:00:00-02:00;17.267;Municípios;4301925
MORT5;1991-01-01T00:00:00-02:00;17.267;Municípios;4310900
MORT5;1991-01-01T00:00:00-02:00;17.282;Municípios;4216602
MORT5;1991-01-01T00:00:00-02:00;17.282;Municípios;4217253
MORT5;1991-01-01T00:00:00-02:00;17.302;Municípios;4204251
MORT5;1991-01-01T00:00:00-02:00;17.304;Municípios;4302105
MORT5;1991-01-01T00:00:00-02:00;17.34;Municípios;4306379
MORT5;1991-01-01T00:00:00-02:00;17.34;Municípios;4313037
MORT5;1991-01-01T00:00:00-02:00;17.366;Municípios;4202800
MORT5;1991-01-01T00:00:00-02:00;17.392;Municípios;4206504
MORT5;1991-01-01T00:00:00-02:00;17.431;Municípios;4219002
MORT5;1991-01-01T00:00:00-02:00;17.502;Municípios;4304903
MORT5;1991-01-01T00:00:00-02:00;17.502;Municípios;4320503
MORT5;1991-01-01T00:00:00-02:00;17.511;Municípios;4214300
MORT5;1991-01-01T00:00:00-02:00;17.555;Municípios;4201109
MORT5;1991-01-01T00:00:00-02:00;17.572;Municípios;4204202
MORT5;1991-01-01T00:00:00-02:00;17.712;Municípios;4215703
MORT5;1991-01-01T00:00:00-02:00;17.753;Municípios;3513702
MORT5;1991-01-01T00:00:00-02:00;17.794;Municípios;4323309
MORT5;1991-01-01T00:00:00-02:00;17.838;Municípios;4204194
