SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
M_SAL;1991-01-01T00:00:00-02:00;24.8731251684;AMC 70-00;250840
M_SAL;1991-01-01T00:00:00-02:00;24.981;Municípios;2107258
M_SAL;1991-01-01T00:00:00-02:00;25.8346257898;AMC 70-00;220970
M_SAL;1991-01-01T00:00:00-02:00;25.929;Municípios;2205524
M_SAL;1991-01-01T00:00:00-02:00;26.0912704717;AMC 70-00;261440
M_SAL;1991-01-01T00:00:00-02:00;26.275;Municípios;2201988
M_SAL;1991-01-01T00:00:00-02:00;26.978;Municípios;2612554
M_SAL;1991-01-01T00:00:00-02:00;27.053750929;AMC 70-00;250660
M_SAL;1991-01-01T00:00:00-02:00;27.5325668166;AMC 70-00;250800
M_SAL;1991-01-01T00:00:00-02:00;27.5935289632;AMC 70-00;251430
M_SAL;1991-01-01T00:00:00-02:00;27.659;Municípios;2311264
M_SAL;1991-01-01T00:00:00-02:00;27.781;Municípios;2313252
M_SAL;1991-01-01T00:00:00-02:00;28.0132925866;AMC 70-00;292440
M_SAL;1991-01-01T00:00:00-02:00;28.206;Municípios;2104073
M_SAL;1991-01-01T00:00:00-02:00;28.6334965664;AMC 70-00;211040
M_SAL;1991-01-01T00:00:00-02:00;28.648;Municípios;2514305
M_SAL;1991-01-01T00:00:00-02:00;29.057;Municípios;2202174
M_SAL;1991-01-01T00:00:00-02:00;29.339;Municípios;2210631
M_SAL;1991-01-01T00:00:00-02:00;29.384;Municípios;2211704
M_SAL;1991-01-01T00:00:00-02:00;29.538;Municípios;2210623
M_SAL;1991-01-01T00:00:00-02:00;29.651;Municípios;2106631
M_SAL;1991-01-01T00:00:00-02:00;29.667;Municípios;2508000
M_SAL;1991-01-01T00:00:00-02:00;29.724;Municípios;2206696
M_SAL;1991-01-01T00:00:00-02:00;29.7507065031;AMC 70-00;251300
M_SAL;1991-01-01T00:00:00-02:00;29.7568964641;AMC 70-00;211200
M_SAL;1991-01-01T00:00:00-02:00;29.887;Municípios;2209658
M_SAL;1991-01-01T00:00:00-02:00;29.945;Municípios;2205516
M_SAL;1991-01-01T00:00:00-02:00;29.9456634582;AMC 70-00;220990
M_SAL;1991-01-01T00:00:00-02:00;30.1034922193;AMC 70-00;241110
M_SAL;1991-01-01T00:00:00-02:00;30.168;Municípios;2205854
M_SAL;1991-01-01T00:00:00-02:00;30.217;Municípios;2924405
M_SAL;1991-01-01T00:00:00-02:00;30.245970838;AMC 70-00;250560
M_SAL;1991-01-01T00:00:00-02:00;30.25;Municípios;2110401
M_SAL;1991-01-01T00:00:00-02:00;30.341;Municípios;2505352
M_SAL;1991-01-01T00:00:00-02:00;30.6355873209;AMC 70-00;241330
M_SAL;1991-01-01T00:00:00-02:00;30.745;Municípios;2209153
M_SAL;1991-01-01T00:00:00-02:00;31.125;Municípios;2206357
M_SAL;1991-01-01T00:00:00-02:00;31.133;Municípios;1703891
M_SAL;1991-01-01T00:00:00-02:00;31.229;Municípios;2304657
M_SAL;1991-01-01T00:00:00-02:00;31.239;Municípios;2204550
M_SAL;1991-01-01T00:00:00-02:00;31.2582266425;AMC 70-00;210640
M_SAL;1991-01-01T00:00:00-02:00;31.355;Municípios;2209971
M_SAL;1991-01-01T00:00:00-02:00;31.559;Municípios;2201556
M_SAL;1991-01-01T00:00:00-02:00;31.691;Municípios;2612455
M_SAL;1991-01-01T00:00:00-02:00;31.784;Municípios;2207355
M_SAL;1991-01-01T00:00:00-02:00;31.801;Municípios;2107456
M_SAL;1991-01-01T00:00:00-02:00;31.811;Municípios;2208551
M_SAL;1991-01-01T00:00:00-02:00;31.8320633146;AMC 70-00;220490
M_SAL;1991-01-01T00:00:00-02:00;32.001;Municípios;2505600
M_SAL;1991-01-01T00:00:00-02:00;32.044;Municípios;2203271
M_SAL;1991-01-01T00:00:00-02:00;32.064;Municípios;2206654
M_SAL;1991-01-01T00:00:00-02:00;32.077;Municípios;2205557
M_SAL;1991-01-01T00:00:00-02:00;32.0869896295;AMC 70-00;270920
M_SAL;1991-01-01T00:00:00-02:00;32.187;Municípios;2209708
M_SAL;1991-01-01T00:00:00-02:00;32.244;Municípios;2503555
M_SAL;1991-01-01T00:00:00-02:00;32.281;Municípios;2506608
M_SAL;1991-01-01T00:00:00-02:00;32.333;Municípios;2502052
M_SAL;1991-01-01T00:00:00-02:00;32.339;Municípios;2207751
M_SAL;1991-01-01T00:00:00-02:00;32.431;Municípios;2107209
M_SAL;1991-01-01T00:00:00-02:00;32.439;Municípios;2301257
M_SAL;1991-01-01T00:00:00-02:00;32.489;Municípios;2202455
M_SAL;1991-01-01T00:00:00-02:00;32.489;Municípios;2203230
M_SAL;1991-01-01T00:00:00-02:00;32.556750761;AMC 70-00;211080
M_SAL;1991-01-01T00:00:00-02:00;32.5964156557;AMC 70-00;250810
M_SAL;1991-01-01T00:00:00-02:00;32.632;Municípios;2111250
M_SAL;1991-01-01T00:00:00-02:00;32.716;Municípios;1200328
M_SAL;1991-01-01T00:00:00-02:00;32.746;Municípios;2202539
M_SAL;1991-01-01T00:00:00-02:00;32.805;Municípios;2205458
M_SAL;1991-01-01T00:00:00-02:00;32.848;Municípios;2211506
M_SAL;1991-01-01T00:00:00-02:00;32.87;Municípios;2101350
M_SAL;1991-01-01T00:00:00-02:00;32.889;Municípios;2202653
M_SAL;1991-01-01T00:00:00-02:00;32.9301534771;AMC 70-00;231370
M_SAL;1991-01-01T00:00:00-02:00;32.9548126789;AMC 70-00;251410
M_SAL;1991-01-01T00:00:00-02:00;33.001;Municípios;2202554
M_SAL;1991-01-01T00:00:00-02:00;33.0089924157;AMC 70-00;270840
M_SAL;1991-01-01T00:00:00-02:00;33.0527281891;AMC 70-00;250950
M_SAL;1991-01-01T00:00:00-02:00;33.097861696;AMC 70-00;210510
M_SAL;1991-01-01T00:00:00-02:00;33.1235959106;AMC 70-00;210930
M_SAL;1991-01-01T00:00:00-02:00;33.124;Municípios;2311959
M_SAL;1991-01-01T00:00:00-02:00;33.189;Municípios;2208858
