SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 1872-00;260545
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 1872-00;330455
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 1872-00;33AMC1872_1997010
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 20-00;23AMC2097015
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 20-00;260545
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 20-00;320530
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 20-00;330330
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 20-00;330455
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 20-00;330490
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 20-00;353860
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 20-00;354520
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 40-00;230440
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 40-00;260545
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 40-00;260960
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 40-00;320530
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 40-00;330330
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 40-00;330455
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 40-00;330490
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 40-00;353860
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 40-00;354520
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 60-00;230440
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 60-00;250320
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 60-00;260545
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 60-00;260960
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 60-00;280030
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 60-00;320530
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 60-00;330320
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 60-00;330330
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 60-00;330455
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 60-00;330490
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 60-00;330510
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 60-00;350060
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 60-00;351380
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 60-00;351500
PESORUR;1991-01-01T00:00:00-02:00;0.0;AMC 60-00;352250
