SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PESOTOT;1991-01-01T00:00:00-02:00;618.0;Municípios;1718881
PESOTOT;1991-01-01T00:00:00-02:00;644.0;Municípios;1703305
PESOTOT;1991-01-01T00:00:00-02:00;650.0;Municípios;1712009
PESOTOT;1991-01-01T00:00:00-02:00;751.0;AMC 70-00;350720
PESOTOT;1991-01-01T00:00:00-02:00;751.0;AMC 91-00;350720
PESOTOT;1991-01-01T00:00:00-02:00;751.0;Municípios;3507209
PESOTOT;1991-01-01T00:00:00-02:00;830.0;Municípios;1718659
PESOTOT;1991-01-01T00:00:00-02:00;831.0;Municípios;1720150
PESOTOT;1991-01-01T00:00:00-02:00;837.0;AMC 91-00;521878
PESOTOT;1991-01-01T00:00:00-02:00;837.0;Municípios;5218789
PESOTOT;1991-01-01T00:00:00-02:00;852.0;AMC 70-00;316660
PESOTOT;1991-01-01T00:00:00-02:00;852.0;AMC 91-00;316660
PESOTOT;1991-01-01T00:00:00-02:00;852.0;Municípios;3166600
PESOTOT;1991-01-01T00:00:00-02:00;869.0;AMC 60-00;520120
PESOTOT;1991-01-01T00:00:00-02:00;869.0;AMC 70-00;520120
PESOTOT;1991-01-01T00:00:00-02:00;869.0;AMC 91-00;520120
PESOTOT;1991-01-01T00:00:00-02:00;869.0;Municípios;5201207
PESOTOT;1991-01-01T00:00:00-02:00;907.0;Municípios;1721307
PESOTOT;1991-01-01T00:00:00-02:00;1034.0;Municípios;3532868
PESOTOT;1991-01-01T00:00:00-02:00;1043.0;Municípios;1715507
PESOTOT;1991-01-01T00:00:00-02:00;1047.0;AMC 91-00;430066
PESOTOT;1991-01-01T00:00:00-02:00;1047.0;Municípios;4300661
PESOTOT;1991-01-01T00:00:00-02:00;1057.0;Municípios;1712157
PESOTOT;1991-01-01T00:00:00-02:00;1084.0;Municípios;1706258
PESOTOT;1991-01-01T00:00:00-02:00;1099.0;Municípios;1721257
PESOTOT;1991-01-01T00:00:00-02:00;1170.0;Municípios;2209450
PESOTOT;1991-01-01T00:00:00-02:00;1206.0;AMC 70-00;411650
PESOTOT;1991-01-01T00:00:00-02:00;1206.0;AMC 91-00;411650
PESOTOT;1991-01-01T00:00:00-02:00;1206.0;Municípios;4116505
PESOTOT;1991-01-01T00:00:00-02:00;1221.0;AMC 60-00;350470
PESOTOT;1991-01-01T00:00:00-02:00;1221.0;AMC 70-00;350470
PESOTOT;1991-01-01T00:00:00-02:00;1221.0;AMC 91-00;350470
PESOTOT;1991-01-01T00:00:00-02:00;1221.0;Municípios;3504701
PESOTOT;1991-01-01T00:00:00-02:00;1223.0;Municípios;2504850
PESOTOT;1991-01-01T00:00:00-02:00;1229.0;Municípios;2512788
