SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1100072
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1100379
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1100502
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1100908
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1100924
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1101005
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1101302
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1101435
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1101450
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1101476
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1101484
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1101559
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1101609
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1101708
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1101807
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1200013
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1200427
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1400175
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1400282
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1500131
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1500859
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1501725
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1503044
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1505064
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1505494
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1505551
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1505635
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1505650
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1507755
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1600808
PESOURB;1991-01-01T00:00:00-02:00;0.0;Municípios;1703057
