SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBAAE;1985-01-01T00:00:00-02:00;6348.7250224206;Estados;14
PIBAAE;1985-01-01T00:00:00-02:00;25434.5439504672;Estados;12
PIBAAE;1985-01-01T00:00:00-02:00;29499.4343694463;Estados;16
PIBAAE;1985-01-01T00:00:00-02:00;43704.5253618749;Estados;11
PIBAAE;1985-01-01T00:00:00-02:00;97625.6262406963;Estados;51
PIBAAE;1985-01-01T00:00:00-02:00;99728.3128790864;Estados;28
PIBAAE;1985-01-01T00:00:00-02:00;100033.6773132;Estados;50
PIBAAE;1985-01-01T00:00:00-02:00;118958.296097304;Estados;25
PIBAAE;1985-01-01T00:00:00-02:00;119823.364646596;Estados;22
PIBAAE;1985-01-01T00:00:00-02:00;144437.440828171;Estados;27
PIBAAE;1985-01-01T00:00:00-02:00;169346.294872192;Estados;15
PIBAAE;1985-01-01T00:00:00-02:00;180157.309863341;Estados;24
PIBAAE;1985-01-01T00:00:00-02:00;180851.389993829;Estados;21
PIBAAE;1985-01-01T00:00:00-02:00;189797.914924332;Estados;32
PIBAAE;1985-01-01T00:00:00-02:00;218404.059002922;Estados;13
PIBAAE;1985-01-01T00:00:00-02:00;314975.235322508;Estados;53
PIBAAE;1985-01-01T00:00:00-02:00;374887.621661026;Estados;23
PIBAAE;1985-01-01T00:00:00-02:00;433467.560743747;Estados;52
PIBAAE;1985-01-01T00:00:00-02:00;434557.640373728;Estados;42
PIBAAE;1985-01-01T00:00:00-02:00;492737.58257932303;Regiões;1
PIBAAE;1985-01-01T00:00:00-02:00;552256.861240612;Estados;26
PIBAAE;1985-01-01T00:00:00-02:00;710751.807999971;Estados;41
PIBAAE;1985-01-01T00:00:00-02:00;810192.37584574;Estados;43
PIBAAE;1985-01-01T00:00:00-02:00;946102.0996201513;Regiões;5
PIBAAE;1985-01-01T00:00:00-02:00;968443.407998201;Estados;29
PIBAAE;1985-01-01T00:00:00-02:00;1618828.32666771;Estados;31
PIBAAE;1985-01-01T00:00:00-02:00;1955501.8242194387;Regiões;4
PIBAAE;1985-01-01T00:00:00-02:00;2739544.0052081663;Regiões;2
PIBAAE;1985-01-01T00:00:00-02:00;2980542.61748592;Estados;35
PIBAAE;1985-01-01T00:00:00-02:00;2991328.06023872;Estados;33
PIBAAE;1985-01-01T00:00:00-02:00;7780496.919316682;Regiões;3
PIBAAE;1985-01-01T00:00:00-02:00;13914382.43094376;Brasil;0
PIBAAE;1986-01-01T00:00:00-02:00;4498.8008615672;Estados;14
PIBAAE;1986-01-01T00:00:00-02:00;17014.2035576995;Estados;16
PIBAAE;1986-01-01T00:00:00-02:00;22297.0562413117;Estados;12
PIBAAE;1986-01-01T00:00:00-02:00;44208.1469010631;Estados;51
PIBAAE;1986-01-01T00:00:00-02:00;57041.4696078001;Estados;11
PIBAAE;1986-01-01T00:00:00-02:00;92910.6182493937;Estados;28
PIBAAE;1986-01-01T00:00:00-02:00;101948.180823691;Estados;50
PIBAAE;1986-01-01T00:00:00-02:00;109424.372356091;Estados;25
PIBAAE;1986-01-01T00:00:00-02:00;110717.944084188;Estados;22
PIBAAE;1986-01-01T00:00:00-02:00;133972.386722376;Estados;27
PIBAAE;1986-01-01T00:00:00-02:00;147016.326890125;Estados;13
PIBAAE;1986-01-01T00:00:00-02:00;155859.094923676;Estados;15
PIBAAE;1986-01-01T00:00:00-02:00;167147.739054299;Estados;21
PIBAAE;1986-01-01T00:00:00-02:00;167404.887858965;Estados;24
PIBAAE;1986-01-01T00:00:00-02:00;209277.486544893;Estados;32
PIBAAE;1986-01-01T00:00:00-02:00;292643.051752021;Estados;53
PIBAAE;1986-01-01T00:00:00-02:00;351107.931628138;Estados;23
PIBAAE;1986-01-01T00:00:00-02:00;401448.107273584;Estados;52
PIBAAE;1986-01-01T00:00:00-02:00;403726.9520821795;Regiões;1
PIBAAE;1986-01-01T00:00:00-02:00;506271.525572322;Estados;42
PIBAAE;1986-01-01T00:00:00-02:00;607270.104420604;Estados;26
PIBAAE;1986-01-01T00:00:00-02:00;840247.4867503592;Regiões;5
PIBAAE;1986-01-01T00:00:00-02:00;885591.465174645;Estados;43
PIBAAE;1986-01-01T00:00:00-02:00;1053578.80820968;Estados;29
PIBAAE;1986-01-01T00:00:00-02:00;1286612.65223551;Estados;41
PIBAAE;1986-01-01T00:00:00-02:00;1827880.61004978;Estados;31
PIBAAE;1986-01-01T00:00:00-02:00;2622381.22246902;Estados;35
PIBAAE;1986-01-01T00:00:00-02:00;2678475.642982477;Regiões;4
PIBAAE;1986-01-01T00:00:00-02:00;2704318.8552698;Estados;33
PIBAAE;1986-01-01T00:00:00-02:00;2793534.7925837343;Regiões;2
PIBAAE;1986-01-01T00:00:00-02:00;7363858.174333493;Regiões;3
PIBAAE;1986-01-01T00:00:00-02:00;14079843.048732243;Brasil;0
PIBAAE;1987-01-01T00:00:00-02:00;6509.0359071512;Estados;14
PIBAAE;1987-01-01T00:00:00-02:00;21552.9458189666;Estados;12
PIBAAE;1987-01-01T00:00:00-02:00;33115.3379480309;Estados;16
PIBAAE;1987-01-01T00:00:00-02:00;57099.0254322726;Estados;11
PIBAAE;1987-01-01T00:00:00-02:00;101622.897619623;Estados;28
PIBAAE;1987-01-01T00:00:00-02:00;109582.829613357;Estados;50
PIBAAE;1987-01-01T00:00:00-02:00;116247.640588215;Estados;22
PIBAAE;1987-01-01T00:00:00-02:00;118555.68030118;Estados;25
PIBAAE;1987-01-01T00:00:00-02:00;134218.126836053;Estados;51
PIBAAE;1987-01-01T00:00:00-02:00;144786.200941262;Estados;15
PIBAAE;1987-01-01T00:00:00-02:00;146378.213590198;Estados;27
PIBAAE;1987-01-01T00:00:00-02:00;175971.751671892;Estados;21
PIBAAE;1987-01-01T00:00:00-02:00;182674.013701783;Estados;24
PIBAAE;1987-01-01T00:00:00-02:00;203343.976116215;Estados;13
PIBAAE;1987-01-01T00:00:00-02:00;208395.611676648;Estados;32
PIBAAE;1987-01-01T00:00:00-02:00;318175.960826046;Estados;53
PIBAAE;1987-01-01T00:00:00-02:00;433795.005283593;Estados;52
PIBAAE;1987-01-01T00:00:00-02:00;435941.073959577;Estados;23
PIBAAE;1987-01-01T00:00:00-02:00;466406.5221638983;Regiões;1
PIBAAE;1987-01-01T00:00:00-02:00;521958.379870242;Estados;42
PIBAAE;1987-01-01T00:00:00-02:00;622105.659594794;Estados;26
PIBAAE;1987-01-01T00:00:00-02:00;893862.180330653;Estados;29
PIBAAE;1987-01-01T00:00:00-02:00;994044.203498955;Estados;43
PIBAAE;1987-01-01T00:00:00-02:00;995771.922559049;Regiões;5
PIBAAE;1987-01-01T00:00:00-02:00;1235358.72498053;Estados;41
PIBAAE;1987-01-01T00:00:00-02:00;1899830.85259175;Estados;31
PIBAAE;1987-01-01T00:00:00-02:00;2751361.308349727;Regiões;4
PIBAAE;1987-01-01T00:00:00-02:00;2793359.111357915;Regiões;2
PIBAAE;1987-01-01T00:00:00-02:00;2938238.70688477;Estados;33
PIBAAE;1987-01-01T00:00:00-02:00;3064975.18545205;Estados;35
PIBAAE;1987-01-01T00:00:00-02:00;8111440.356605219;Regiões;3
PIBAAE;1987-01-01T00:00:00-02:00;15118339.221035808;Brasil;0
PIBAAE;1988-01-01T00:00:00-02:00;10197.1097501958;Estados;14
PIBAAE;1988-01-01T00:00:00-02:00;17823.2192844049;Estados;12
PIBAAE;1988-01-01T00:00:00-02:00;51873.328649595;Estados;11
PIBAAE;1988-01-01T00:00:00-02:00;60058.1757281386;Estados;16
PIBAAE;1988-01-01T00:00:00-02:00;103497.750160652;Estados;28
PIBAAE;1988-01-01T00:00:00-02:00;112637.039521597;Estados;22
PIBAAE;1988-01-01T00:00:00-02:00;119239.371395;Estados;25
PIBAAE;1988-01-01T00:00:00-02:00;129278.736660717;Estados;15
PIBAAE;1988-01-01T00:00:00-02:00;133699.140110951;Estados;50
PIBAAE;1988-01-01T00:00:00-02:00;148300.674179379;Estados;27
PIBAAE;1988-01-01T00:00:00-02:00;170006.16674725;Estados;21
PIBAAE;1988-01-01T00:00:00-02:00;185608.993084424;Estados;24
PIBAAE;1988-01-01T00:00:00-02:00;209771.320079037;Estados;32
PIBAAE;1988-01-01T00:00:00-02:00;281561.858046107;Estados;51
PIBAAE;1988-01-01T00:00:00-02:00;306198.779065546;Estados;13
PIBAAE;1988-01-01T00:00:00-02:00;330385.787155977;Estados;53
PIBAAE;1988-01-01T00:00:00-02:00;427662.954279742;Estados;23
PIBAAE;1988-01-01T00:00:00-02:00;449545.542444472;Estados;52
PIBAAE;1988-01-01T00:00:00-02:00;572699.432344071;Estados;42
PIBAAE;1988-01-01T00:00:00-02:00;575429.3491385973;Regiões;1
PIBAAE;1988-01-01T00:00:00-02:00;600131.074158247;Estados;26
PIBAAE;1988-01-01T00:00:00-02:00;818192.729410008;Estados;29
PIBAAE;1988-01-01T00:00:00-02:00;871170.478732215;Estados;43
PIBAAE;1988-01-01T00:00:00-02:00;1195192.327757507;Regiões;5
PIBAAE;1988-01-01T00:00:00-02:00;1291380.84389139;Estados;41
PIBAAE;1988-01-01T00:00:00-02:00;2217352.15026578;Estados;35
PIBAAE;1988-01-01T00:00:00-02:00;2423553.4927354;Estados;31
PIBAAE;1988-01-01T00:00:00-02:00;2685276.7529362994;Regiões;2
PIBAAE;1988-01-01T00:00:00-02:00;2735250.7549676755;Regiões;4
PIBAAE;1988-01-01T00:00:00-02:00;3007997.34937921;Estados;33
PIBAAE;1988-01-01T00:00:00-02:00;7858674.312459426;Regiões;3
PIBAAE;1988-01-01T00:00:00-02:00;15049823.497259505;Brasil;0
PIBAAE;1989-01-01T00:00:00-02:00;15149.7511583961;Estados;14
PIBAAE;1989-01-01T00:00:00-02:00;20641.5673097636;Estados;12
PIBAAE;1989-01-01T00:00:00-02:00;50488.132983276;Estados;17
PIBAAE;1989-01-01T00:00:00-02:00;99637.0256816322;Estados;11
PIBAAE;1989-01-01T00:00:00-02:00;99793.8616818371;Estados;16
PIBAAE;1989-01-01T00:00:00-02:00;115542.174926868;Estados;28
PIBAAE;1989-01-01T00:00:00-02:00;119500.895434078;Estados;22
PIBAAE;1989-01-01T00:00:00-02:00;132159.49093926;Estados;25
PIBAAE;1989-01-01T00:00:00-02:00;135975.83572149;Estados;15
PIBAAE;1989-01-01T00:00:00-02:00;138831.93737182;Estados;50
PIBAAE;1989-01-01T00:00:00-02:00;165646.425758742;Estados;27
PIBAAE;1989-01-01T00:00:00-02:00;181045.461405077;Estados;21
PIBAAE;1989-01-01T00:00:00-02:00;206795.395026342;Estados;24
PIBAAE;1989-01-01T00:00:00-02:00;332697.250325012;Estados;32
PIBAAE;1989-01-01T00:00:00-02:00;373816.645481478;Estados;53
PIBAAE;1989-01-01T00:00:00-02:00;439310.775131905;Estados;13
PIBAAE;1989-01-01T00:00:00-02:00;454393.196849483;Estados;52
PIBAAE;1989-01-01T00:00:00-02:00;492267.001588975;Estados;23
PIBAAE;1989-01-01T00:00:00-02:00;555883.165600364;Estados;42
PIBAAE;1989-01-01T00:00:00-02:00;563879.912354153;Estados;51
PIBAAE;1989-01-01T00:00:00-02:00;727860.152694189;Estados;26
PIBAAE;1989-01-01T00:00:00-02:00;860996.9496683;Regiões;1
PIBAAE;1989-01-01T00:00:00-02:00;1106962.31615955;Estados;29
PIBAAE;1989-01-01T00:00:00-02:00;1138443.83809553;Estados;41
PIBAAE;1989-01-01T00:00:00-02:00;1170104.08968997;Estados;43
PIBAAE;1989-01-01T00:00:00-02:00;1530921.692056934;Regiões;5
PIBAAE;1989-01-01T00:00:00-02:00;2143365.82449907;Estados;31
PIBAAE;1989-01-01T00:00:00-02:00;2864431.093385864;Regiões;4
PIBAAE;1989-01-01T00:00:00-02:00;3247779.313933081;Regiões;2
PIBAAE;1989-01-01T00:00:00-02:00;3512351.99205075;Estados;33
PIBAAE;1989-01-01T00:00:00-02:00;4022868.65356624;Estados;35
PIBAAE;1989-01-01T00:00:00-02:00;10011283.720441073;Regiões;3
PIBAAE;1989-01-01T00:00:00-02:00;18515412.769485246;Brasil;0
PIBAAE;1990-01-01T00:00:00-02:00;9783.2765185242;Estados;14
PIBAAE;1990-01-01T00:00:00-02:00;20203.7220269107;Estados;12
PIBAAE;1990-01-01T00:00:00-02:00;51547.8548150236;Estados;17
PIBAAE;1990-01-01T00:00:00-02:00;52243.1352518191;Estados;16
PIBAAE;1990-01-01T00:00:00-02:00;98910.6774793374;Estados;11
PIBAAE;1990-01-01T00:00:00-02:00;110898.116058707;Estados;50
