SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBAGE;1939-01-01T00:00:00-02:00;0.0;Estados;53
PIBAGE;1939-01-01T00:00:00-02:00;103399.466409728;Estados;28
PIBAGE;1939-01-01T00:00:00-02:00;150947.295847865;Estados;24
PIBAGE;1939-01-01T00:00:00-02:00;156976.087618729;Estados;27
PIBAGE;1939-01-01T00:00:00-02:00;208391.44385327;Estados;13
PIBAGE;1939-01-01T00:00:00-02:00;212145.219861544;Estados;51
PIBAGE;1939-01-01T00:00:00-02:00;228525.333352194;Estados;15
PIBAGE;1939-01-01T00:00:00-02:00;235577.882216224;Estados;22
PIBAGE;1939-01-01T00:00:00-02:00;264811.834765509;Estados;25
PIBAGE;1939-01-01T00:00:00-02:00;297572.061746809;Estados;32
PIBAGE;1939-01-01T00:00:00-02:00;329991.036363721;Estados;21
PIBAGE;1939-01-01T00:00:00-02:00;386070.174911571;Estados;52
PIBAGE;1939-01-01T00:00:00-02:00;422356.676324886;Estados;23
PIBAGE;1939-01-01T00:00:00-02:00;436916.77720546396;Regiões;1
PIBAGE;1939-01-01T00:00:00-02:00;489014.638168782;Estados;42
PIBAGE;1939-01-01T00:00:00-02:00;598101.643984986;Estados;26
PIBAGE;1939-01-01T00:00:00-02:00;598215.394773115;Regiões;5
PIBAGE;1939-01-01T00:00:00-02:00;635411.902491466;Estados;33
PIBAGE;1939-01-01T00:00:00-02:00;654522.034897225;Estados;41
PIBAGE;1939-01-01T00:00:00-02:00;804786.826016313;Estados;29
PIBAGE;1939-01-01T00:00:00-02:00;1809547.53756431;Estados;43
PIBAGE;1939-01-01T00:00:00-02:00;2035456.60278952;Estados;31
PIBAGE;1939-01-01T00:00:00-02:00;2953084.210630317;Regiões;4
PIBAGE;1939-01-01T00:00:00-02:00;3066948.7495479607;Regiões;2
PIBAGE;1939-01-01T00:00:00-02:00;3291834.05768001;Estados;35
PIBAGE;1939-01-01T00:00:00-02:00;6260274.624707805;Regiões;3
PIBAGE;1939-01-01T00:00:00-02:00;13315439.756864663;Brasil;0
PIBAGE;1947-01-01T00:00:00-02:00;0.0;Estados;53
PIBAGE;1947-01-01T00:00:00-02:00;129855.39378899;Estados;28
PIBAGE;1947-01-01T00:00:00-02:00;192555.583928528;Estados;21
PIBAGE;1947-01-01T00:00:00-02:00;201135.609947623;Estados;51
PIBAGE;1947-01-01T00:00:00-02:00;207240.628461209;Estados;22
PIBAGE;1947-01-01T00:00:00-02:00;207859.380337586;Estados;15
PIBAGE;1947-01-01T00:00:00-02:00;245066.993170391;Estados;13
PIBAGE;1947-01-01T00:00:00-02:00;252987.017188017;Estados;24
PIBAGE;1947-01-01T00:00:00-02:00;255338.274318249;Estados;27
PIBAGE;1947-01-01T00:00:00-02:00;309417.188313601;Estados;32
PIBAGE;1947-01-01T00:00:00-02:00;315480.956702096;Estados;52
PIBAGE;1947-01-01T00:00:00-02:00;385729.919733433;Estados;25
PIBAGE;1947-01-01T00:00:00-02:00;452926.373507977;Regiões;1
PIBAGE;1947-01-01T00:00:00-02:00;460557.646649961;Estados;23
PIBAGE;1947-01-01T00:00:00-02:00;516616.56664971897;Regiões;5
PIBAGE;1947-01-01T00:00:00-02:00;712843.411711417;Estados;26
PIBAGE;1947-01-01T00:00:00-02:00;821702.491828681;Estados;33
PIBAGE;1947-01-01T00:00:00-02:00;903542.740010815;Estados;42
PIBAGE;1947-01-01T00:00:00-02:00;1074565.75864142;Estados;41
PIBAGE;1947-01-01T00:00:00-02:00;1107400.85821449;Estados;29
PIBAGE;1947-01-01T00:00:00-02:00;2326465.8050525;Estados;43
PIBAGE;1947-01-01T00:00:00-02:00;3234711.05932378;Estados;31
PIBAGE;1947-01-01T00:00:00-02:00;3704508.7339942944;Regiões;2
PIBAGE;1947-01-01T00:00:00-02:00;4304574.303704735;Regiões;4
PIBAGE;1947-01-01T00:00:00-02:00;5228700.85613636;Estados;35
PIBAGE;1947-01-01T00:00:00-02:00;9594531.595602423;Regiões;3
PIBAGE;1947-01-01T00:00:00-02:00;18573157.573459145;Brasil;0
PIBAGE;1948-01-01T00:00:00-02:00;143470.254468504;Estados;28
PIBAGE;1948-01-01T00:00:00-02:00;153606.739838561;Estados;22
PIBAGE;1948-01-01T00:00:00-02:00;206784.30154917;Estados;13
PIBAGE;1948-01-01T00:00:00-02:00;209825.247160187;Estados;15
PIBAGE;1948-01-01T00:00:00-02:00;245926.729670469;Estados;21
PIBAGE;1948-01-01T00:00:00-02:00;270293.281040799;Estados;27
PIBAGE;1948-01-01T00:00:00-02:00;273841.050920319;Estados;24
PIBAGE;1948-01-01T00:00:00-02:00;325420.166861034;Estados;51
PIBAGE;1948-01-01T00:00:00-02:00;331658.004011839;Estados;32
PIBAGE;1948-01-01T00:00:00-02:00;363899.824785059;Estados;52
PIBAGE;1948-01-01T00:00:00-02:00;416609.548709357;Regiões;1
PIBAGE;1948-01-01T00:00:00-02:00;485849.541083288;Estados;25
PIBAGE;1948-01-01T00:00:00-02:00;517467.578141429;Estados;23
PIBAGE;1948-01-01T00:00:00-02:00;689319.9916460931;Regiões;5
PIBAGE;1948-01-01T00:00:00-02:00;814583.558930688;Estados;26
PIBAGE;1948-01-01T00:00:00-02:00;885967.807825207;Estados;42
PIBAGE;1948-01-01T00:00:00-02:00;921367.533656023;Estados;33
PIBAGE;1948-01-01T00:00:00-02:00;1164682.16901959;Estados;29
PIBAGE;1948-01-01T00:00:00-02:00;1327099.85383366;Estados;41
PIBAGE;1948-01-01T00:00:00-02:00;2311118.66437308;Estados;43
PIBAGE;1948-01-01T00:00:00-02:00;3815412.07977179;Estados;31
PIBAGE;1948-01-01T00:00:00-02:00;4069720.903113647;Regiões;2
PIBAGE;1948-01-01T00:00:00-02:00;4524186.3260319475;Regiões;4
