SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBALE;1939-01-01T00:00:00-02:00;0.0;Estados;53
PIBALE;1939-01-01T00:00:00-02:00;4322.5299489215;Estados;22
PIBALE;1939-01-01T00:00:00-02:00;5118.7854658281;Estados;51
PIBALE;1939-01-01T00:00:00-02:00;5915.0409827347;Estados;28
PIBALE;1939-01-01T00:00:00-02:00;6711.2964996413;Estados;24
PIBALE;1939-01-01T00:00:00-02:00;7052.5488640299;Estados;21
PIBALE;1939-01-01T00:00:00-02:00;8645.0598978431;Estados;27
PIBALE;1939-01-01T00:00:00-02:00;10010.0693553973;Estados;32
PIBALE;1939-01-01T00:00:00-02:00;10578.8232960448;Estados;52
PIBALE;1939-01-01T00:00:00-02:00;11261.3280248219;Estados;13
PIBALE;1939-01-01T00:00:00-02:00;14218.8485161893;Estados;42
PIBALE;1939-01-01T00:00:00-02:00;14332.5993043188;Estados;25
PIBALE;1939-01-01T00:00:00-02:00;15697.6087618729;Regiões;5
PIBALE;1939-01-01T00:00:00-02:00;19223.8831938879;Estados;15
PIBALE;1939-01-01T00:00:00-02:00;20930.1450158306;Estados;23
PIBALE;1939-01-01T00:00:00-02:00;23887.665507198;Estados;41
PIBALE;1939-01-01T00:00:00-02:00;30485.211218709803;Regiões;1
PIBALE;1939-01-01T00:00:00-02:00;51074.1038701519;Estados;26
PIBALE;1939-01-01T00:00:00-02:00;54145.3751496488;Estados;29
PIBALE;1939-01-01T00:00:00-02:00;109997.01212124;Estados;31
PIBALE;1939-01-01T00:00:00-02:00;124898.365366206;Estados;43
PIBALE;1939-01-01T00:00:00-02:00;163004.8793895933;Regiões;4
PIBALE;1939-01-01T00:00:00-02:00;173128.69953312058;Regiões;2
PIBALE;1939-01-01T00:00:00-02:00;613685.501958729;Estados;35
PIBALE;1939-01-01T00:00:00-02:00;674542.173608019;Estados;33
PIBALE;1939-01-01T00:00:00-02:00;1408234.7570433854;Regiões;3
PIBALE;1939-01-01T00:00:00-02:00;1790551.1559466817;Brasil;0
PIBALE;1947-01-01T00:00:00-02:00;0.0;Estados;53
PIBALE;1947-01-01T00:00:00-02:00;2475.0075055081;Estados;22
PIBALE;1947-01-01T00:00:00-02:00;3918.7618837211;Estados;28
PIBALE;1947-01-01T00:00:00-02:00;4743.7643855571;Estados;21
PIBALE;1947-01-01T00:00:00-02:00;5073.7653862916;Estados;27
PIBALE;1947-01-01T00:00:00-02:00;6063.7683884948;Estados;13
PIBALE;1947-01-01T00:00:00-02:00;6187.5187637702;Estados;24
PIBALE;1947-01-01T00:00:00-02:00;6517.5197645046;Estados;52
PIBALE;1947-01-01T00:00:00-02:00;6765.0205150554;Estados;51
PIBALE;1947-01-01T00:00:00-02:00;10023.7803973077;Estados;32
PIBALE;1947-01-01T00:00:00-02:00;11385.0345253372;Estados;15
PIBALE;1947-01-01T00:00:00-02:00;11591.2851507962;Estados;25
PIBALE;1947-01-01T00:00:00-02:00;13282.54027956;Regiões;5
PIBALE;1947-01-01T00:00:00-02:00;16788.8009123631;Estados;42
PIBALE;1947-01-01T00:00:00-02:00;17448.802913831998;Regiões;1
PIBALE;1947-01-01T00:00:00-02:00;22151.3171742973;Estados;23
PIBALE;1947-01-01T00:00:00-02:00;30071.3411919231;Estados;26
PIBALE;1947-01-01T00:00:00-02:00;30236.3416922903;Estados;41
PIBALE;1947-01-01T00:00:00-02:00;44013.883472952;Estados;29
PIBALE;1947-01-01T00:00:00-02:00;55275.1676230137;Estados;43
PIBALE;1947-01-01T00:00:00-02:00;102300.3102276671;Regiões;4
PIBALE;1947-01-01T00:00:00-02:00;125730.38127981;Estados;31
PIBALE;1947-01-01T00:00:00-02:00;130226.6449148167;Regiões;2
PIBALE;1947-01-01T00:00:00-02:00;548791.664221324;Estados;33
PIBALE;1947-01-01T00:00:00-02:00;790806.148134922;Estados;35
PIBALE;1947-01-01T00:00:00-02:00;1475351.9740333636;Regiões;3
PIBALE;1947-01-01T00:00:00-02:00;1738610.2723692395;Brasil;0
PIBALE;1948-01-01T00:00:00-02:00;3586.7563617126;Estados;22
PIBALE;1948-01-01T00:00:00-02:00;5341.1480603764;Estados;28
PIBALE;1948-01-01T00:00:00-02:00;5769.9993644942;Estados;13
PIBALE;1948-01-01T00:00:00-02:00;5886.9588110718;Estados;27
PIBALE;1948-01-01T00:00:00-02:00;5964.9317754568;Estados;24
PIBALE;1948-01-01T00:00:00-02:00;6276.8236329971;Estados;21
PIBALE;1948-01-01T00:00:00-02:00;8927.904422089;Estados;51
PIBALE;1948-01-01T00:00:00-02:00;9083.8503508591;Estados;15
PIBALE;1948-01-01T00:00:00-02:00;10838.2420495229;Estados;52
PIBALE;1948-01-01T00:00:00-02:00;11228.1068714482;Estados;32
PIBALE;1948-01-01T00:00:00-02:00;13489.3228386148;Estados;25
PIBALE;1948-01-01T00:00:00-02:00;14853.849715353299;Regiões;1
PIBALE;1948-01-01T00:00:00-02:00;19766.1464716119;Regiões;5
PIBALE;1948-01-01T00:00:00-02:00;20000.0653647671;Estados;42
PIBALE;1948-01-01T00:00:00-02:00;27095.6051238072;Estados;23
PIBALE;1948-01-01T00:00:00-02:00;36686.2797431692;Estados;26
PIBALE;1948-01-01T00:00:00-02:00;41286.6846418876;Estados;29
PIBALE;1948-01-01T00:00:00-02:00;56881.2775188989;Estados;41
PIBALE;1948-01-01T00:00:00-02:00;61871.5472395426;Estados;43
PIBALE;1948-01-01T00:00:00-02:00;122612.486495501;Estados;31
PIBALE;1948-01-01T00:00:00-02:00;138752.89012320858;Regiões;4
PIBALE;1948-01-01T00:00:00-02:00;145614.5109890935;Regiões;2
PIBALE;1948-01-01T00:00:00-02:00;645850.064001425;Estados;33
PIBALE;1948-01-01T00:00:00-02:00;951776.989766195;Estados;35
PIBALE;1948-01-01T00:00:00-02:00;1731467.6471345692;Regiões;3
PIBALE;1948-01-01T00:00:00-02:00;2050455.0444338364;Brasil;0
PIBALE;1949-01-01T00:00:00-02:00;4175.7140230203;Estados;22
PIBALE;1949-01-01T00:00:00-02:00;5543.6203409063;Estados;28
PIBALE;1949-01-01T00:00:00-02:00;6191.575965168;Estados;24
PIBALE;1949-01-01T00:00:00-02:00;6407.5611732553;Estados;13
PIBALE;1949-01-01T00:00:00-02:00;6443.5587079365;Estados;27
PIBALE;1949-01-01T00:00:00-02:00;7127.5118668795;Estados;21
PIBALE;1949-01-01T00:00:00-02:00;8387.4255807218;Estados;51
PIBALE;1949-01-01T00:00:00-02:00;8783.3984622151;Estados;15
PIBALE;1949-01-01T00:00:00-02:00;12275.1593262925;Estados;52
PIBALE;1949-01-01T00:00:00-02:00;12851.1198811918;Estados;32
PIBALE;1949-01-01T00:00:00-02:00;13427.0804360912;Estados;25
PIBALE;1949-01-01T00:00:00-02:00;15190.9596354704;Regiões;1
PIBALE;1949-01-01T00:00:00-02:00;20662.5849070143;Regiões;5
PIBALE;1949-01-01T00:00:00-02:00;24442.3260485413;Estados;42
PIBALE;1949-01-01T00:00:00-02:00;26422.1904560078;Estados;23
PIBALE;1949-01-01T00:00:00-02:00;40785.2067938105;Estados;26
PIBALE;1949-01-01T00:00:00-02:00;43233.0391521327;Estados;29
PIBALE;1949-01-01T00:00:00-02:00;66379.4539521505;Estados;41
PIBALE;1949-01-01T00:00:00-02:00;66811.424368325;Estados;43
PIBALE;1949-01-01T00:00:00-02:00;147553.894658278;Estados;31
PIBALE;1949-01-01T00:00:00-02:00;153349.4977419528;Regiões;2
PIBALE;1949-01-01T00:00:00-02:00;157633.2043690168;Regiões;4
PIBALE;1949-01-01T00:00:00-02:00;715846.974670533;Estados;33
PIBALE;1949-01-01T00:00:00-02:00;1053143.87463346;Estados;35
PIBALE;1949-01-01T00:00:00-02:00;1929395.863843463;Regiões;3
PIBALE;1949-01-01T00:00:00-02:00;2276232.110496917;Brasil;0
PIBALE;1950-01-01T00:00:00-02:00;3565.261693953;Estados;22
PIBALE;1950-01-01T00:00:00-02:00;5545.9626350379;Estados;28
PIBALE;1950-01-01T00:00:00-02:00;6668.3598349861;Estados;13
PIBALE;1950-01-01T00:00:00-02:00;6767.3948820403;Estados;27
PIBALE;1950-01-01T00:00:00-02:00;6899.441611446;Estados;21
PIBALE;1950-01-01T00:00:00-02:00;6965.4649761488;Estados;24
PIBALE;1950-01-01T00:00:00-02:00;8781.1075054767;Estados;51
PIBALE;1950-01-01T00:00:00-02:00;9177.2476936937;Estados;15
PIBALE;1950-01-01T00:00:00-02:00;12247.3341523755;Estados;52
PIBALE;1950-01-01T00:00:00-02:00;13270.6963052694;Estados;32
