SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBCME;1985-01-01T00:00:00-02:00;2039.1232104238;Estados;12
PIBCME;1985-01-01T00:00:00-02:00;2167.7765455677;Estados;14
PIBCME;1985-01-01T00:00:00-02:00;2170.6377773588;Estados;16
PIBCME;1985-01-01T00:00:00-02:00;24507.7056808952;Estados;28
PIBCME;1985-01-01T00:00:00-02:00;27237.0436149778;Estados;27
PIBCME;1985-01-01T00:00:00-02:00;32513.735396113;Estados;24
PIBCME;1985-01-01T00:00:00-02:00;32621.0488006954;Estados;11
PIBCME;1985-01-01T00:00:00-02:00;39972.9302275975;Estados;22
PIBCME;1985-01-01T00:00:00-02:00;41175.4440545442;Estados;25
PIBCME;1985-01-01T00:00:00-02:00;44123.8970202302;Estados;13
PIBCME;1985-01-01T00:00:00-02:00;50653.9593591199;Estados;51
PIBCME;1985-01-01T00:00:00-02:00;55228.2931674843;Estados;21
PIBCME;1985-01-01T00:00:00-02:00;60341.2324801636;Estados;32
PIBCME;1985-01-01T00:00:00-02:00;73645.8418939743;Estados;15
PIBCME;1985-01-01T00:00:00-02:00;74577.5974088207;Estados;50
PIBCME;1985-01-01T00:00:00-02:00;88998.3361922101;Estados;23
PIBCME;1985-01-01T00:00:00-02:00;93277.2530468212;Estados;42
PIBCME;1985-01-01T00:00:00-02:00;104262.427107176;Estados;52
PIBCME;1985-01-01T00:00:00-02:00;114179.213952576;Estados;26
PIBCME;1985-01-01T00:00:00-02:00;156768.32524825018;Regiões;1
PIBCME;1985-01-01T00:00:00-02:00;265627.109607488;Estados;53
PIBCME;1985-01-01T00:00:00-02:00;299970.787269009;Estados;43
PIBCME;1985-01-01T00:00:00-02:00;345194.463121789;Estados;29
PIBCME;1985-01-01T00:00:00-02:00;379422.415184892;Estados;41
PIBCME;1985-01-01T00:00:00-02:00;495121.09348260454;Regiões;5
PIBCME;1985-01-01T00:00:00-02:00;660479.07864259;Estados;31
PIBCME;1985-01-01T00:00:00-02:00;769007.1654081872;Regiões;2
PIBCME;1985-01-01T00:00:00-02:00;772670.4555007222;Regiões;4
PIBCME;1985-01-01T00:00:00-02:00;2320845.12226114;Estados;33
PIBCME;1985-01-01T00:00:00-02:00;2966435.88201876;Estados;35
PIBCME;1985-01-01T00:00:00-02:00;6008101.315402653;Regiões;3
PIBCME;1985-01-01T00:00:00-02:00;8201668.3550424175;Brasil;0
PIBCME;1986-01-01T00:00:00-02:00;2055.2055633822;Estados;16
PIBCME;1986-01-01T00:00:00-02:00;2309.90072913;Estados;14
PIBCME;1986-01-01T00:00:00-02:00;2477.6436301441;Estados;12
