SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBCOE;1939-01-01T00:00:00-02:00;0.0;Estados;53
PIBCOE;1939-01-01T00:00:00-02:00;41519.0376672727;Estados;52
PIBCOE;1939-01-01T00:00:00-02:00;53804.1227852603;Estados;51
PIBCOE;1939-01-01T00:00:00-02:00;55737.886183462;Estados;28
PIBCOE;1939-01-01T00:00:00-02:00;69160.4791827447;Estados;27
PIBCOE;1939-01-01T00:00:00-02:00;71321.7441572055;Estados;24
PIBCOE;1939-01-01T00:00:00-02:00;74848.0185892204;Estados;22
PIBCOE;1939-01-01T00:00:00-02:00;78715.5453856239;Estados;21
PIBCOE;1939-01-01T00:00:00-02:00;89521.8702579278;Estados;32
PIBCOE;1939-01-01T00:00:00-02:00;95323.16045253299;Regiões;5
PIBCOE;1939-01-01T00:00:00-02:00;100328.195130231;Estados;13
PIBCOE;1939-01-01T00:00:00-02:00;122737.100391745;Estados;25
PIBCOE;1939-01-01T00:00:00-02:00;139685.967823043;Estados;42
PIBCOE;1939-01-01T00:00:00-02:00;171649.939287437;Estados;15
PIBCOE;1939-01-01T00:00:00-02:00;181091.254702186;Estados;41
PIBCOE;1939-01-01T00:00:00-02:00;209073.948582047;Estados;23
PIBCOE;1939-01-01T00:00:00-02:00;271978.134417668;Regiões;1
PIBCOE;1939-01-01T00:00:00-02:00;429181.723612657;Estados;29
PIBCOE;1939-01-01T00:00:00-02:00;484805.859007989;Estados;26
PIBCOE;1939-01-01T00:00:00-02:00;587977.823841459;Estados;31
PIBCOE;1939-01-01T00:00:00-02:00;873264.800470281;Estados;43
PIBCOE;1939-01-01T00:00:00-02:00;1194042.0229955101;Regiões;4
PIBCOE;1939-01-01T00:00:00-02:00;1595582.3050926945;Regiões;2
PIBCOE;1939-01-01T00:00:00-02:00;1857436.61936683;Estados;33
PIBCOE;1939-01-01T00:00:00-02:00;3464849.006425;Estados;35
PIBCOE;1939-01-01T00:00:00-02:00;5999785.319891216;Regiões;3
PIBCOE;1939-01-01T00:00:00-02:00;9156710.942849623;Brasil;0
PIBCOE;1947-01-01T00:00:00-02:00;0.0;Estados;53
PIBCOE;1947-01-01T00:00:00-02:00;60101.4322587545;Estados;28
PIBCOE;1947-01-01T00:00:00-02:00;65051.4472697706;Estados;51
PIBCOE;1947-01-01T00:00:00-02:00;74827.7269165275;Estados;52
PIBCOE;1947-01-01T00:00:00-02:00;98092.7974683034;Estados;24
PIBCOE;1947-01-01T00:00:00-02:00;103001.562354227;Estados;21
PIBCOE;1947-01-01T00:00:00-02:00;108199.078115794;Estados;27
PIBCOE;1947-01-01T00:00:00-02:00;111622.838498414;Estados;22
PIBCOE;1947-01-01T00:00:00-02:00;139879.1741862981;Regiões;5
PIBCOE;1947-01-01T00:00:00-02:00;144746.68894713;Estados;32
PIBCOE;1947-01-01T00:00:00-02:00;155512.97159609;Estados;25
PIBCOE;1947-01-01T00:00:00-02:00;161659.240234769;Estados;13
PIBCOE;1947-01-01T00:00:00-02:00;235208.21327345;Estados;42
PIBCOE;1947-01-01T00:00:00-02:00;236528.217276388;Estados;15
PIBCOE;1947-01-01T00:00:00-02:00;242426.985164516;Estados;23
PIBCOE;1947-01-01T00:00:00-02:00;353059.820660727;Estados;41
PIBCOE;1947-01-01T00:00:00-02:00;398187.45751115703;Regiões;1
PIBCOE;1947-01-01T00:00:00-02:00;569499.227017408;Estados;29
PIBCOE;1947-01-01T00:00:00-02:00;591155.542690603;Estados;26
PIBCOE;1947-01-01T00:00:00-02:00;1042514.41144509;Estados;31
PIBCOE;1947-01-01T00:00:00-02:00;1109834.61559491;Estados;43
PIBCOE;1947-01-01T00:00:00-02:00;1698102.649529087;Regiões;4
PIBCOE;1947-01-01T00:00:00-02:00;2039612.4351641098;Regiões;2
PIBCOE;1947-01-01T00:00:00-02:00;2219462.98056436;Estados;33
PIBCOE;1947-01-01T00:00:00-02:00;3596557.15662906;Estados;35
PIBCOE;1947-01-01T00:00:00-02:00;7003281.23758564;Regiões;3
PIBCOE;1947-01-01T00:00:00-02:00;11279062.953976292;Brasil;0
PIBCOE;1948-01-01T00:00:00-02:00;61715.6013107724;Estados;28
PIBCOE;1948-01-01T00:00:00-02:00;79181.5453330252;Estados;22
PIBCOE;1948-01-01T00:00:00-02:00;80117.2209056458;Estados;52
PIBCOE;1948-01-01T00:00:00-02:00;90760.5305442061;Estados;51
PIBCOE;1948-01-01T00:00:00-02:00;100546.13757453;Estados;24
PIBCOE;1948-01-01T00:00:00-02:00;112865.865947369;Estados;27
PIBCOE;1948-01-01T00:00:00-02:00;120273.29756395;Estados;21
PIBCOE;1948-01-01T00:00:00-02:00;132515.052972404;Estados;13
PIBCOE;1948-01-01T00:00:00-02:00;144133.024665777;Estados;32
PIBCOE;1948-01-01T00:00:00-02:00;170877.7514498519;Regiões;5
PIBCOE;1948-01-01T00:00:00-02:00;183080.520376113;Estados;25
PIBCOE;1948-01-01T00:00:00-02:00;222768.759248107;Estados;15
PIBCOE;1948-01-01T00:00:00-02:00;225536.799483776;Estados;42
PIBCOE;1948-01-01T00:00:00-02:00;248616.796941753;Estados;23
PIBCOE;1948-01-01T00:00:00-02:00;355283.812220511;Regiões;1
PIBCOE;1948-01-01T00:00:00-02:00;419182.656534065;Estados;41
PIBCOE;1948-01-01T00:00:00-02:00;572243.585621931;Estados;29
PIBCOE;1948-01-01T00:00:00-02:00;637662.902740994;Estados;26
PIBCOE;1948-01-01T00:00:00-02:00;1092713.12289218;Estados;43
PIBCOE;1948-01-01T00:00:00-02:00;1111777.51268433;Estados;31
PIBCOE;1948-01-01T00:00:00-02:00;1737432.578910021;Regiões;4
PIBCOE;1948-01-01T00:00:00-02:00;2116186.2534104376;Regiões;2
PIBCOE;1948-01-01T00:00:00-02:00;2481021.75376812;Estados;33
PIBCOE;1948-01-01T00:00:00-02:00;4057946.9854915;Estados;35
PIBCOE;1948-01-01T00:00:00-02:00;7794879.276609726;Regiões;3
PIBCOE;1948-01-01T00:00:00-02:00;12174659.672600549;Brasil;0
PIBCOE;1949-01-01T00:00:00-02:00;65839.4909319323;Estados;28
PIBCOE;1949-01-01T00:00:00-02:00;75846.8055733086;Estados;22
PIBCOE;1949-01-01T00:00:00-02:00;84342.2237580741;Estados;51
PIBCOE;1949-01-01T00:00:00-02:00;86898.04872044;Estados;52
PIBCOE;1949-01-01T00:00:00-02:00;103420.917139115;Estados;21
PIBCOE;1949-01-01T00:00:00-02:00;109648.490638964;Estados;24
PIBCOE;1949-01-01T00:00:00-02:00;121239.696806313;Estados;27
PIBCOE;1949-01-01T00:00:00-02:00;133334.8684592;Estados;13
PIBCOE;1949-01-01T00:00:00-02:00;171240.27247851412;Regiões;5
PIBCOE;1949-01-01T00:00:00-02:00;174768.030877272;Estados;15
PIBCOE;1949-01-01T00:00:00-02:00;193954.716862357;Estados;25
PIBCOE;1949-01-01T00:00:00-02:00;205077.955078851;Estados;32
PIBCOE;1949-01-01T00:00:00-02:00;224516.623806704;Estados;42
PIBCOE;1949-01-01T00:00:00-02:00;270125.500247796;Estados;23
PIBCOE;1949-01-01T00:00:00-02:00;308102.899336472;Regiões;1
PIBCOE;1949-01-01T00:00:00-02:00;475491.435604097;Estados;41
PIBCOE;1949-01-01T00:00:00-02:00;560049.644570258;Estados;29
PIBCOE;1949-01-01T00:00:00-02:00;631000.785426922;Estados;26
PIBCOE;1949-01-01T00:00:00-02:00;1060307.38403502;Estados;31
PIBCOE;1949-01-01T00:00:00-02:00;1197385.99610107;Estados;43
PIBCOE;1949-01-01T00:00:00-02:00;1897394.055511871;Regiões;4
PIBCOE;1949-01-01T00:00:00-02:00;2131126.048196966;Regiões;2
PIBCOE;1949-01-01T00:00:00-02:00;2760866.91991005;Estados;33
PIBCOE;1949-01-01T00:00:00-02:00;4540189.06166755;Estados;35
PIBCOE;1949-01-01T00:00:00-02:00;8566441.32069147;Regiões;3
PIBCOE;1949-01-01T00:00:00-02:00;13074304.596215295;Brasil;0
PIBCOE;1950-01-01T00:00:00-02:00;58892.8413149267;Estados;51
PIBCOE;1950-01-01T00:00:00-02:00;59388.016550198;Estados;28
PIBCOE;1950-01-01T00:00:00-02:00;76058.9161376632;Estados;22
PIBCOE;1950-01-01T00:00:00-02:00;115804.981688768;Estados;52
PIBCOE;1950-01-01T00:00:00-02:00;116465.215335796;Estados;27
PIBCOE;1950-01-01T00:00:00-02:00;119403.255065072;Estados;24
PIBCOE;1950-01-01T00:00:00-02:00;123859.832182514;Estados;13
PIBCOE;1950-01-01T00:00:00-02:00;128019.304158792;Estados;21
PIBCOE;1950-01-01T00:00:00-02:00;174697.8230036947;Regiões;5
PIBCOE;1950-01-01T00:00:00-02:00;200909.098790719;Estados;32
PIBCOE;1950-01-01T00:00:00-02:00;203616.056743536;Estados;15
PIBCOE;1950-01-01T00:00:00-02:00;214542.923601854;Estados;25
PIBCOE;1950-01-01T00:00:00-02:00;218075.173613456;Estados;42
PIBCOE;1950-01-01T00:00:00-02:00;327475.88892605;Regiões;1
PIBCOE;1950-01-01T00:00:00-02:00;348801.435725065;Estados;23
PIBCOE;1950-01-01T00:00:00-02:00;566249.387373844;Estados;41
PIBCOE;1950-01-01T00:00:00-02:00;594012.212231385;Estados;29
