SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBE;1939-01-01T00:00:00-02:00;0.0;Estados;53
PIBE;1939-01-01T00:00:00-02:00;451274.40176288;Estados;28
PIBE;1939-01-01T00:00:00-02:00;570349.43948283;Estados;13
PIBE;1939-01-01T00:00:00-02:00;631357.747096169;Estados;24
PIBE;1939-01-01T00:00:00-02:00;852190.366204548;Estados;27
PIBE;1939-01-01T00:00:00-02:00;936299.965885438;Estados;51
PIBE;1939-01-01T00:00:00-02:00;1205765.1274144;Estados;22
PIBE;1939-01-01T00:00:00-02:00;1459033.7208995;Estados;32
PIBE;1939-01-01T00:00:00-02:00;1592355.2049005;Estados;52
PIBE;1939-01-01T00:00:00-02:00;1594279.2377296;Estados;25
PIBE;1939-01-01T00:00:00-02:00;1755951.54014188;Estados;21
PIBE;1939-01-01T00:00:00-02:00;1916775.5921714;Estados;15
PIBE;1939-01-01T00:00:00-02:00;2200967.2877155;Estados;23
PIBE;1939-01-01T00:00:00-02:00;2487125.0316542303;Regiões;1
PIBE;1939-01-01T00:00:00-02:00;2528655.170785938;Regiões;5
PIBE;1939-01-01T00:00:00-02:00;2692342.604331;Estados;41
PIBE;1939-01-01T00:00:00-02:00;2861628.82283198;Estados;29
PIBE;1939-01-01T00:00:00-02:00;2916108.6817346;Estados;42
PIBE;1939-01-01T00:00:00-02:00;4003194.10806261;Estados;26
PIBE;1939-01-01T00:00:00-02:00;10335254.970327;Estados;43
PIBE;1939-01-01T00:00:00-02:00;11673916.5346657;Estados;31
PIBE;1939-01-01T00:00:00-02:00;15556608.63895957;Regiões;2
PIBE;1939-01-01T00:00:00-02:00;15943706.2563926;Regiões;4
PIBE;1939-01-01T00:00:00-02:00;26711209.8717784;Estados;33
PIBE;1939-01-01T00:00:00-02:00;37428269.1198241;Estados;35
PIBE;1939-01-01T00:00:00-02:00;77272429.24716769;Regiões;3
PIBE;1939-01-01T00:00:00-02:00;113788524.34496003;Brasil;0
PIBE;1947-01-01T00:00:00-02:00;0.0;Estados;53
PIBE;1947-01-01T00:00:00-02:00;585925.696924332;Estados;28
PIBE;1947-01-01T00:00:00-02:00;744799.563429892;Estados;13
PIBE;1947-01-01T00:00:00-02:00;970473.597591963;Estados;24
PIBE;1947-01-01T00:00:00-02:00;1036750.68472604;Estados;51
PIBE;1947-01-01T00:00:00-02:00;1283476.02529313;Estados;27
PIBE;1947-01-01T00:00:00-02:00;1361774.8929077;Estados;22
PIBE;1947-01-01T00:00:00-02:00;1582570.95128987;Estados;21
PIBE;1947-01-01T00:00:00-02:00;1762738.60151259;Estados;52
PIBE;1947-01-01T00:00:00-02:00;1976554.70412475;Estados;32
PIBE;1947-01-01T00:00:00-02:00;2279389.2188055;Estados;15
PIBE;1947-01-01T00:00:00-02:00;2306189.09470453;Estados;25
PIBE;1947-01-01T00:00:00-02:00;2717780.92845837;Estados;23
PIBE;1947-01-01T00:00:00-02:00;2799489.28623863;Regiões;5
PIBE;1947-01-01T00:00:00-02:00;3024188.782235392;Regiões;1
PIBE;1947-01-01T00:00:00-02:00;3852445.50446786;Estados;29
PIBE;1947-01-01T00:00:00-02:00;4963946.75413549;Estados;41
PIBE;1947-01-01T00:00:00-02:00;5086642.59447981;Estados;26
PIBE;1947-01-01T00:00:00-02:00;5344749.65125878;Estados;42
PIBE;1947-01-01T00:00:00-02:00;13987963.7433788;Estados;43
PIBE;1947-01-01T00:00:00-02:00;18570741.2806016;Estados;31
PIBE;1947-01-01T00:00:00-02:00;19747279.28611757;Regiões;2
PIBE;1947-01-01T00:00:00-02:00;24296660.148773067;Regiões;4
PIBE;1947-01-01T00:00:00-02:00;33228775.0612224;Estados;33
PIBE;1947-01-01T00:00:00-02:00;54326508.7111054;Estados;35
PIBE;1947-01-01T00:00:00-02:00;108102579.75705415;Regiões;3
PIBE;1947-01-01T00:00:00-02:00;157970197.2604188;Brasil;0
PIBE;1948-01-01T00:00:00-02:00;627600.639525188;Estados;28
PIBE;1948-01-01T00:00:00-02:00;670760.864027224;Estados;13
PIBE;1948-01-01T00:00:00-02:00;1021288.669199;Estados;24
PIBE;1948-01-01T00:00:00-02:00;1068737.28427623;Estados;22
PIBE;1948-01-01T00:00:00-02:00;1357157.2909196;Estados;27
PIBE;1948-01-01T00:00:00-02:00;1408177.90620081;Estados;51
PIBE;1948-01-01T00:00:00-02:00;1824864.76730507;Estados;21
PIBE;1948-01-01T00:00:00-02:00;1972635.15684505;Estados;52
PIBE;1948-01-01T00:00:00-02:00;2077842.07093101;Estados;32
PIBE;1948-01-01T00:00:00-02:00;2239829.73832588;Estados;15
PIBE;1948-01-01T00:00:00-02:00;2708074.43302568;Estados;25
PIBE;1948-01-01T00:00:00-02:00;2910590.602353104;Regiões;1
PIBE;1948-01-01T00:00:00-02:00;2929344.03398983;Estados;23
PIBE;1948-01-01T00:00:00-02:00;3380813.0630458603;Regiões;5
PIBE;1948-01-01T00:00:00-02:00;3968009.6607492;Estados;29
PIBE;1948-01-01T00:00:00-02:00;5428723.86737678;Estados;42
PIBE;1948-01-01T00:00:00-02:00;5596944.03881934;Estados;26
PIBE;1948-01-01T00:00:00-02:00;5884672.99753543;Estados;41
PIBE;1948-01-01T00:00:00-02:00;14169037.259374;Estados;43
PIBE;1948-01-01T00:00:00-02:00;20637565.1829547;Estados;31
PIBE;1948-01-01T00:00:00-02:00;21102020.817809135;Regiões;2
PIBE;1948-01-01T00:00:00-02:00;25482434.124286212;Regiões;4
PIBE;1948-01-01T00:00:00-02:00;36552425.7166972;Estados;33
PIBE;1948-01-01T00:00:00-02:00;61570216.053671;Estados;35
PIBE;1948-01-01T00:00:00-02:00;120838049.0242539;Regiões;3
PIBE;1948-01-01T00:00:00-02:00;173713907.63174826;Brasil;0
PIBE;1949-01-01T00:00:00-02:00;675268.694047399;Estados;28
PIBE;1949-01-01T00:00:00-02:00;687642.647156706;Estados;13
PIBE;1949-01-01T00:00:00-02:00;1049985.02558071;Estados;22
PIBE;1949-01-01T00:00:00-02:00;1110088.97195759;Estados;24
PIBE;1949-01-01T00:00:00-02:00;1375871.05189385;Estados;51
PIBE;1949-01-01T00:00:00-02:00;1439082.36943475;Estados;27
PIBE;1949-01-01T00:00:00-02:00;1662187.95505697;Estados;21
PIBE;1949-01-01T00:00:00-02:00;1973472.73567843;Estados;15
PIBE;1949-01-01T00:00:00-02:00;2160025.56581582;Estados;52
PIBE;1949-01-01T00:00:00-02:00;2661115.382835136;Regiões;1
PIBE;1949-01-01T00:00:00-02:00;2830990.00002659;Estados;32
PIBE;1949-01-01T00:00:00-02:00;2862717.6854933;Estados;25
PIBE;1949-01-01T00:00:00-02:00;3212311.06101669;Estados;23
PIBE;1949-01-01T00:00:00-02:00;3535896.61770967;Regiões;5
PIBE;1949-01-01T00:00:00-02:00;3974076.52540112;Estados;29
PIBE;1949-01-01T00:00:00-02:00;5557399.30314865;Estados;42
PIBE;1949-01-01T00:00:00-02:00;5681000.31111811;Estados;26
PIBE;1949-01-01T00:00:00-02:00;6583970.07683301;Estados;41
PIBE;1949-01-01T00:00:00-02:00;15446040.0953239;Estados;43
PIBE;1949-01-01T00:00:00-02:00;20691869.6306389;Estados;31
PIBE;1949-01-01T00:00:00-02:00;21666718.59910664;Regiões;2
PIBE;1949-01-01T00:00:00-02:00;27587409.475305557;Regiões;4
PIBE;1949-01-01T00:00:00-02:00;40490465.5705109;Estados;33
PIBE;1949-01-01T00:00:00-02:00;67989665.5619739;Estados;35
PIBE;1949-01-01T00:00:00-02:00;132002990.76315029;Regiões;3
PIBE;1949-01-01T00:00:00-02:00;187454130.8381073;Brasil;0
PIBE;1950-01-01T00:00:00-02:00;626123.841527542;Estados;28
PIBE;1950-01-01T00:00:00-02:00;659053.130156846;Estados;13
PIBE;1950-01-01T00:00:00-02:00;1065119.74264739;Estados;22
PIBE;1950-01-01T00:00:00-02:00;1092627.83868788;Estados;51
PIBE;1950-01-01T00:00:00-02:00;1196180.86757735;Estados;24
PIBE;1950-01-01T00:00:00-02:00;1431756.90565083;Estados;27
PIBE;1950-01-01T00:00:00-02:00;1979875.39736522;Estados;21
