SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBEGAE;1985-01-01T00:00:00-02:00;6198.7702215372;Estados;12
PIBEGAE;1985-01-01T00:00:00-02:00;7953.9112899029;Estados;16
PIBEGAE;1985-01-01T00:00:00-02:00;11033.5113736354;Estados;14
PIBEGAE;1985-01-01T00:00:00-02:00;20804.3828032761;Estados;11
PIBEGAE;1985-01-01T00:00:00-02:00;33690.4535172447;Estados;22
PIBEGAE;1985-01-01T00:00:00-02:00;56124.7612102919;Estados;28
PIBEGAE;1985-01-01T00:00:00-02:00;66210.1983063761;Estados;27
PIBEGAE;1985-01-01T00:00:00-02:00;67008.0519442087;Estados;21
PIBEGAE;1985-01-01T00:00:00-02:00;69711.6621211364;Estados;25
PIBEGAE;1985-01-01T00:00:00-02:00;71559.9117605264;Estados;50
PIBEGAE;1985-01-01T00:00:00-02:00;74944.0728162406;Estados;24
PIBEGAE;1985-01-01T00:00:00-02:00;87236.8034767353;Estados;51
PIBEGAE;1985-01-01T00:00:00-02:00;98084.6436581634;Estados;52
PIBEGAE;1985-01-01T00:00:00-02:00;115162.24746746;Estados;15
PIBEGAE;1985-01-01T00:00:00-02:00;135130.568198336;Estados;53
PIBEGAE;1985-01-01T00:00:00-02:00;137348.891161851;Estados;23
PIBEGAE;1985-01-01T00:00:00-02:00;205579.57877942;Estados;32
PIBEGAE;1985-01-01T00:00:00-02:00;258556.653317276;Estados;42
PIBEGAE;1985-01-01T00:00:00-02:00;303269.508921465;Estados;26
PIBEGAE;1985-01-01T00:00:00-02:00;392011.92709376116;Regiões;5
PIBEGAE;1985-01-01T00:00:00-02:00;477563.429860619;Estados;13
PIBEGAE;1985-01-01T00:00:00-02:00;638716.2530164307;Regiões;1
PIBEGAE;1985-01-01T00:00:00-02:00;1022630.46271647;Estados;41
PIBEGAE;1985-01-01T00:00:00-02:00;1024175.73401789;Estados;43
PIBEGAE;1985-01-01T00:00:00-02:00;1596690.87434593;Estados;29
PIBEGAE;1985-01-01T00:00:00-02:00;2305362.850051636;Regiões;4
PIBEGAE;1985-01-01T00:00:00-02:00;2404998.474344745;Regiões;2
PIBEGAE;1985-01-01T00:00:00-02:00;3036545.97440191;Estados;31
PIBEGAE;1985-01-01T00:00:00-02:00;6063625.03247245;Estados;35
PIBEGAE;1985-01-01T00:00:00-02:00;7318225.25033931;Estados;33
PIBEGAE;1985-01-01T00:00:00-02:00;16623975.835993089;Regiões;3
PIBEGAE;1985-01-01T00:00:00-02:00;22365065.340499666;Brasil;0
PIBEGAE;1986-01-01T00:00:00-02:00;3188.1539690611;Estados;16
PIBEGAE;1986-01-01T00:00:00-02:00;11974.916096925;Estados;12
PIBEGAE;1986-01-01T00:00:00-02:00;15318.5841048383;Estados;14
PIBEGAE;1986-01-01T00:00:00-02:00;22260.7444190405;Estados;11
PIBEGAE;1986-01-01T00:00:00-02:00;39016.5132096791;Estados;28
PIBEGAE;1986-01-01T00:00:00-02:00;42713.0127028044;Estados;24
PIBEGAE;1986-01-01T00:00:00-02:00;45630.4785468368;Estados;25
