SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBFE;1939-01-01T00:00:00-02:00;0.0;Estados;53
PIBFE;1939-01-01T00:00:00-02:00;3071.2712794969;Estados;51
PIBFE;1939-01-01T00:00:00-02:00;3298.7728557559;Estados;22
PIBFE;1939-01-01T00:00:00-02:00;4095.0283726625;Estados;52
PIBFE;1939-01-01T00:00:00-02:00;4322.5299489215;Estados;28
PIBFE;1939-01-01T00:00:00-02:00;4777.5331014396;Estados;21
PIBFE;1939-01-01T00:00:00-02:00;4891.2838895691;Estados;24
PIBFE;1939-01-01T00:00:00-02:00;7166.2996521594;Regiões;5
PIBFE;1939-01-01T00:00:00-02:00;7280.0504402889;Estados;27
PIBFE;1939-01-01T00:00:00-02:00;8645.0598978431;Estados;13
PIBFE;1939-01-01T00:00:00-02:00;9896.3185672677;Estados;32
PIBFE;1939-01-01T00:00:00-02:00;10578.8232960448;Estados;25
PIBFE;1939-01-01T00:00:00-02:00;12853.8390586351;Estados;42
PIBFE;1939-01-01T00:00:00-02:00;13081.3406348941;Estados;15
PIBFE;1939-01-01T00:00:00-02:00;21726.4005327372;Regiões;1
PIBFE;1939-01-01T00:00:00-02:00;22067.6528971258;Estados;23
PIBFE;1939-01-01T00:00:00-02:00;29006.4509730261;Estados;41
PIBFE;1939-01-01T00:00:00-02:00;60970.4224374197;Estados;26
PIBFE;1939-01-01T00:00:00-02:00;73255.5075554072;Estados;29
PIBFE;1939-01-01T00:00:00-02:00;187575.049625569;Estados;43
PIBFE;1939-01-01T00:00:00-02:00;191442.5764219725;Regiões;2
PIBFE;1939-01-01T00:00:00-02:00;202362.652082405;Estados;31
PIBFE;1939-01-01T00:00:00-02:00;229435.3396572302;Regiões;4
PIBFE;1939-01-01T00:00:00-02:00;754850.230027456;Estados;35
PIBFE;1939-01-01T00:00:00-02:00;886459.891893305;Estados;33
PIBFE;1939-01-01T00:00:00-02:00;1853569.0925704339;Regiões;3
PIBFE;1939-01-01T00:00:00-02:00;2303339.7088345326;Brasil;0
PIBFE;1947-01-01T00:00:00-02:00;0.0;Estados;53
PIBFE;1947-01-01T00:00:00-02:00;10436.2816482257;Estados;22
PIBFE;1947-01-01T00:00:00-02:00;12003.7864017142;Estados;21
PIBFE;1947-01-01T00:00:00-02:00;12622.5382780912;Estados;24
PIBFE;1947-01-01T00:00:00-02:00;13653.7914053862;Estados;28
PIBFE;1947-01-01T00:00:00-02:00;14313.793406855;Estados;51
PIBFE;1947-01-01T00:00:00-02:00;15138.7959086911;Estados;13
PIBFE;1947-01-01T00:00:00-02:00;16747.5507872713;Estados;27
PIBFE;1947-01-01T00:00:00-02:00;19923.81041934;Estados;52
PIBFE;1947-01-01T00:00:00-02:00;21202.5642971859;Estados;25
PIBFE;1947-01-01T00:00:00-02:00;26936.3316849462;Estados;32
PIBFE;1947-01-01T00:00:00-02:00;27678.8339365987;Estados;15
PIBFE;1947-01-01T00:00:00-02:00;34237.603826195;Regiões;5
PIBFE;1947-01-01T00:00:00-02:00;38197.615835008;Estados;23
PIBFE;1947-01-01T00:00:00-02:00;42817.629845289805;Regiões;1
PIBFE;1947-01-01T00:00:00-02:00;49376.3997348861;Estados;42
PIBFE;1947-01-01T00:00:00-02:00;69506.4607796851;Estados;41
PIBFE;1947-01-01T00:00:00-02:00;75858.9800438226;Estados;29
PIBFE;1947-01-01T00:00:00-02:00;80437.7439290125;Estados;26
PIBFE;1947-01-01T00:00:00-02:00;235249.463398542;Estados;43
PIBFE;1947-01-01T00:00:00-02:00;281160.8526257175;Regiões;2
PIBFE;1947-01-01T00:00:00-02:00;354132.3239131132;Regiões;4
PIBFE;1947-01-01T00:00:00-02:00;363496.102308952;Estados;31
PIBFE;1947-01-01T00:00:00-02:00;788537.391254873;Estados;33
PIBFE;1947-01-01T00:00:00-02:00;846246.316258303;Estados;35
PIBFE;1947-01-01T00:00:00-02:00;2025216.1415070742;Regiões;3
PIBFE;1947-01-01T00:00:00-02:00;2737564.55171739;Brasil;0
PIBFE;1948-01-01T00:00:00-02:00;10331.41778102;Estados;22
PIBFE;1948-01-01T00:00:00-02:00;12592.6337481867;Estados;21
PIBFE;1948-01-01T00:00:00-02:00;12748.5796769568;Estados;24
PIBFE;1948-01-01T00:00:00-02:00;13723.24173177;Estados;28
PIBFE;1948-01-01T00:00:00-02:00;15009.7956441234;Estados;51
PIBFE;1948-01-01T00:00:00-02:00;16959.1197537498;Estados;13
PIBFE;1948-01-01T00:00:00-02:00;17894.7953263705;Estados;27
PIBFE;1948-01-01T00:00:00-02:00;20740.8085264251;Estados;52
PIBFE;1948-01-01T00:00:00-02:00;22183.3083675486;Estados;25
PIBFE;1948-01-01T00:00:00-02:00;27251.5510525773;Estados;15
PIBFE;1948-01-01T00:00:00-02:00;27407.4969813474;Estados;32
PIBFE;1948-01-01T00:00:00-02:00;35750.6041705485;Regiões;5
PIBFE;1948-01-01T00:00:00-02:00;43158.0357871289;Estados;23
PIBFE;1948-01-01T00:00:00-02:00;44210.6708063271;Regiões;1
PIBFE;1948-01-01T00:00:00-02:00;50487.4944393242;Estados;42
PIBFE;1948-01-01T00:00:00-02:00;78518.7751357522;Estados;41
PIBFE;1948-01-01T00:00:00-02:00;85263.4365550596;Estados;29
PIBFE;1948-01-01T00:00:00-02:00;89045.1253277348;Estados;26
PIBFE;1948-01-01T00:00:00-02:00;246277.608010201;Estados;43
PIBFE;1948-01-01T00:00:00-02:00;306940.57430177584;Regiões;2
PIBFE;1948-01-01T00:00:00-02:00;375283.8775852774;Regiões;4
PIBFE;1948-01-01T00:00:00-02:00;382964.214577206;Estados;31
PIBFE;1948-01-01T00:00:00-02:00;829047.543824116;Estados;33
PIBFE;1948-01-01T00:00:00-02:00;911075.102357195;Estados;35
PIBFE;1948-01-01T00:00:00-02:00;2150494.3577398644;Regiões;3
PIBFE;1948-01-01T00:00:00-02:00;2912680.0846037935;Brasil;0
PIBFE;1949-01-01T00:00:00-02:00;10619.2727309568;Estados;22
PIBFE;1949-01-01T00:00:00-02:00;13211.0952280039;Estados;21
PIBFE;1949-01-01T00:00:00-02:00;13859.0508522657;Estados;24
PIBFE;1949-01-01T00:00:00-02:00;14686.9941499335;Estados;51
PIBFE;1949-01-01T00:00:00-02:00;14758.9892192959;Estados;28
PIBFE;1949-01-01T00:00:00-02:00;19222.6835197659;Estados;27
PIBFE;1949-01-01T00:00:00-02:00;20086.624352115;Estados;13
PIBFE;1949-01-01T00:00:00-02:00;20158.6194214774;Estados;52
PIBFE;1949-01-01T00:00:00-02:00;24262.3383751353;Estados;25
PIBFE;1949-01-01T00:00:00-02:00;29481.9809039107;Estados;15
PIBFE;1949-01-01T00:00:00-02:00;30417.9168056221;Estados;32
PIBFE;1949-01-01T00:00:00-02:00;34845.6135714109;Regiões;5
PIBFE;1949-01-01T00:00:00-02:00;41865.1328342468;Estados;23
PIBFE;1949-01-01T00:00:00-02:00;49568.605256025694;Regiões;1
PIBFE;1949-01-01T00:00:00-02:00;57128.0875390796;Estados;42
PIBFE;1949-01-01T00:00:00-02:00;90461.8046538797;Estados;29
PIBFE;1949-01-01T00:00:00-02:00;92297.6789226214;Estados;26
PIBFE;1949-01-01T00:00:00-02:00;95033.4915583933;Estados;41
PIBFE;1949-01-01T00:00:00-02:00;277864.970204256;Estados;43
PIBFE;1949-01-01T00:00:00-02:00;320558.0463361714;Regiões;2
PIBFE;1949-01-01T00:00:00-02:00;430026.5493017289;Regiões;4
PIBFE;1949-01-01T00:00:00-02:00;431250.46548089;Estados;31
PIBFE;1949-01-01T00:00:00-02:00;890471.015409081;Estados;33
PIBFE;1949-01-01T00:00:00-02:00;1026433.70390001;Estados;35
PIBFE;1949-01-01T00:00:00-02:00;2378573.101595603;Regiões;3
PIBFE;1949-01-01T00:00:00-02:00;3213571.91606094;Brasil;0
PIBFE;1950-01-01T00:00:00-02:00;9969.5280701277;Estados;22
PIBFE;1950-01-01T00:00:00-02:00;14888.2687404888;Estados;21
PIBFE;1950-01-01T00:00:00-02:00;15020.3154698944;Estados;24
PIBFE;1950-01-01T00:00:00-02:00;15581.5140698685;Estados;28
PIBFE;1950-01-01T00:00:00-02:00;15713.5607992742;Estados;51
PIBFE;1950-01-01T00:00:00-02:00;20335.1963284725;Estados;27
PIBFE;1950-01-01T00:00:00-02:00;23042.1542812886;Estados;13
PIBFE;1950-01-01T00:00:00-02:00;25286.9486811849;Estados;52
PIBFE;1950-01-01T00:00:00-02:00;26112.2407399703;Estados;25
PIBFE;1950-01-01T00:00:00-02:00;34530.2197395815;Estados;15
PIBFE;1950-01-01T00:00:00-02:00;35058.4066572041;Estados;32
PIBFE;1950-01-01T00:00:00-02:00;41000.5094804591;Regiões;5
PIBFE;1950-01-01T00:00:00-02:00;46414.4253860914;Estados;23
PIBFE;1950-01-01T00:00:00-02:00;57572.374020870106;Regiões;1
PIBFE;1950-01-01T00:00:00-02:00;63415.4417970708;Estados;42
PIBFE;1950-01-01T00:00:00-02:00;108872.528394971;Estados;29
PIBFE;1950-01-01T00:00:00-02:00;109136.621853782;Estados;26
PIBFE;1950-01-01T00:00:00-02:00;121317.932641455;Estados;41
PIBFE;1950-01-01T00:00:00-02:00;317539.372538273;Estados;43
PIBFE;1950-01-01T00:00:00-02:00;366330.63905366656;Regiões;2
PIBFE;1950-01-01T00:00:00-02:00;502272.74697679875;Regiões;4
PIBFE;1950-01-01T00:00:00-02:00;520000.02039951;Estados;31
PIBFE;1950-01-01T00:00:00-02:00;1104471.85643133;Estados;33
PIBFE;1950-01-01T00:00:00-02:00;1276264.6513881;Estados;35
PIBFE;1950-01-01T00:00:00-02:00;2935794.934876144;Regiões;3
PIBFE;1950-01-01T00:00:00-02:00;3902971.2044079397;Brasil;0
PIBFE;1951-01-01T00:00:00-02:00;8664.3606358675;Estados;13
PIBFE;1951-01-01T00:00:00-02:00;9810.292203837;Estados;22
PIBFE;1951-01-01T00:00:00-02:00;14757.362631413;Estados;51
PIBFE;1951-01-01T00:00:00-02:00;14953.0094844809;Estados;21
PIBFE;1951-01-01T00:00:00-02:00;15428.1518419317;Estados;24
PIBFE;1951-01-01T00:00:00-02:00;15903.2941993825;Estados;28
PIBFE;1951-01-01T00:00:00-02:00;20906.263727835;Estados;27
PIBFE;1951-01-01T00:00:00-02:00;25462.040449275;Estados;52
PIBFE;1951-01-01T00:00:00-02:00;28061.3486400353;Estados;25
PIBFE;1951-01-01T00:00:00-02:00;35831.3236618777;Estados;15
PIBFE;1951-01-01T00:00:00-02:00;37927.5399447489;Estados;32
PIBFE;1951-01-01T00:00:00-02:00;40219.403080688;Regiões;5
