SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBGE;1939-01-01T00:00:00-02:00;0.0;Estados;53
PIBGE;1939-01-01T00:00:00-02:00;27072.6875748244;Estados;22
PIBGE;1939-01-01T00:00:00-02:00;29006.4509730261;Estados;52
PIBGE;1939-01-01T00:00:00-02:00;30826.4635830984;Estados;28
PIBGE;1939-01-01T00:00:00-02:00;33783.9840744657;Estados;27
PIBGE;1939-01-01T00:00:00-02:00;34125.2364388543;Estados;24
PIBGE;1939-01-01T00:00:00-02:00;34466.4888032428;Estados;13
PIBGE;1939-01-01T00:00:00-02:00;37537.7600827397;Estados;21
PIBGE;1939-01-01T00:00:00-02:00;45841.5676161943;Estados;32
PIBGE;1939-01-01T00:00:00-02:00;54827.8798784259;Estados;25
PIBGE;1939-01-01T00:00:00-02:00;58012.9019460523;Estados;51
PIBGE;1939-01-01T00:00:00-02:00;68705.4760302266;Estados;42
PIBGE;1939-01-01T00:00:00-02:00;71321.7441572055;Estados;15
PIBGE;1939-01-01T00:00:00-02:00;73710.5107079253;Estados;23
PIBGE;1939-01-01T00:00:00-02:00;87019.3529190784;Regiões;5
PIBGE;1939-01-01T00:00:00-02:00;105788.2329604483;Regiões;1
PIBGE;1939-01-01T00:00:00-02:00;115115.797587068;Estados;41
PIBGE;1939-01-01T00:00:00-02:00;119552.078324119;Estados;26
PIBGE;1939-01-01T00:00:00-02:00;141505.980433115;Estados;29
PIBGE;1939-01-01T00:00:00-02:00;348759.91640509;Estados;31
PIBGE;1939-01-01T00:00:00-02:00;355926.21605725;Estados;43
PIBGE;1939-01-01T00:00:00-02:00;539747.4896745447;Regiões;4
PIBGE;1939-01-01T00:00:00-02:00;552942.5810975677;Regiões;2
PIBGE;1939-01-01T00:00:00-02:00;620055.546093982;Estados;35
PIBGE;1939-01-01T00:00:00-02:00;840163.321124592;Estados;33
PIBGE;1939-01-01T00:00:00-02:00;1854820.3512398582;Regiões;3
PIBGE;1939-01-01T00:00:00-02:00;3140318.0078914976;Brasil;0
PIBGE;1947-01-01T00:00:00-02:00;0.0;Estados;53
PIBGE;1947-01-01T00:00:00-02:00;20542.562295717;Estados;28
PIBGE;1947-01-01T00:00:00-02:00;20707.5627960842;Estados;22
PIBGE;1947-01-01T00:00:00-02:00;22398.8179248481;Estados;52
PIBGE;1947-01-01T00:00:00-02:00;24750.0750550808;Estados;27
PIBGE;1947-01-01T00:00:00-02:00;33123.8504487164;Estados;21
PIBGE;1947-01-01T00:00:00-02:00;36506.3607062441;Estados;32
PIBGE;1947-01-01T00:00:00-02:00;36547.6108313359;Estados;25
PIBGE;1947-01-01T00:00:00-02:00;41291.3752168931;Estados;13
PIBGE;1947-01-01T00:00:00-02:00;46323.8904780928;Estados;51
PIBGE;1947-01-01T00:00:00-02:00;53336.4117436991;Estados;24
PIBGE;1947-01-01T00:00:00-02:00;62040.1881380691;Estados;42
PIBGE;1947-01-01T00:00:00-02:00;68722.7084029409;Regiões;5
PIBGE;1947-01-01T00:00:00-02:00;76560.2321703832;Estados;23
PIBGE;1947-01-01T00:00:00-02:00;77261.4842969438;Estados;15
PIBGE;1947-01-01T00:00:00-02:00;118552.85951383691;Regiões;1
PIBGE;1947-01-01T00:00:00-02:00;126802.884532197;Estados;41
PIBGE;1947-01-01T00:00:00-02:00;147469.197203189;Estados;29
PIBGE;1947-01-01T00:00:00-02:00;151222.958586543;Estados;26
PIBGE;1947-01-01T00:00:00-02:00;290153.37989573;Estados;31
PIBGE;1947-01-01T00:00:00-02:00;416997.514553019;Estados;43
PIBGE;1947-01-01T00:00:00-02:00;564260.4611307485;Regiões;2
PIBGE;1947-01-01T00:00:00-02:00;605840.5872232851;Regiões;4
PIBGE;1947-01-01T00:00:00-02:00;955105.396375566;Estados;35
PIBGE;1947-01-01T00:00:00-02:00;1584376.05465099;Estados;33
PIBGE;1947-01-01T00:00:00-02:00;2866141.19162853;Regiões;3
PIBGE;1947-01-01T00:00:00-02:00;4223517.807899342;Brasil;0
PIBGE;1948-01-01T00:00:00-02:00;22729.119118244;Estados;28
PIBGE;1948-01-01T00:00:00-02:00;23898.7135840199;Estados;22
PIBGE;1948-01-01T00:00:00-02:00;27290.5375347699;Estados;52
PIBGE;1948-01-01T00:00:00-02:00;29044.9292334336;Estados;27
PIBGE;1948-01-01T00:00:00-02:00;34113.1719184623;Estados;21
PIBGE;1948-01-01T00:00:00-02:00;39961.1442473416;Estados;25
PIBGE;1948-01-01T00:00:00-02:00;41364.6576062726;Estados;32
PIBGE;1948-01-01T00:00:00-02:00;50526.4809215168;Estados;13
PIBGE;1948-01-01T00:00:00-02:00;53450.4670859564;Estados;51
PIBGE;1948-01-01T00:00:00-02:00;56218.5073216259;Estados;24
PIBGE;1948-01-01T00:00:00-02:00;70136.6814643586;Estados;42
PIBGE;1948-01-01T00:00:00-02:00;80741.00462072631;Regiões;5
PIBGE;1948-01-01T00:00:00-02:00;84132.8285714763;Estados;15
PIBGE;1948-01-01T00:00:00-02:00;89279.04422089;Estados;23
PIBGE;1948-01-01T00:00:00-02:00;131657.350364168;Estados;41
PIBGE;1948-01-01T00:00:00-02:00;134659.3094929931;Regiões;1
PIBGE;1948-01-01T00:00:00-02:00;168850.45437584;Estados;26
PIBGE;1948-01-01T00:00:00-02:00;169084.373268995;Estados;29
PIBGE;1948-01-01T00:00:00-02:00;350254.556017675;Estados;31
PIBGE;1948-01-01T00:00:00-02:00;446902.045372952;Estados;43
PIBGE;1948-01-01T00:00:00-02:00;633179.4572888523;Regiões;2
PIBGE;1948-01-01T00:00:00-02:00;648696.0772014786;Regiões;4
PIBGE;1948-01-01T00:00:00-02:00;1038171.03430483;Estados;35
PIBGE;1948-01-01T00:00:00-02:00;1870415.46966874;Estados;33
