SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBIE;1939-01-01T00:00:00-02:00;0.0;Estados;53
PIBIE;1939-01-01T00:00:00-02:00;23887.665507198;Estados;22
PIBIE;1939-01-01T00:00:00-02:00;31736.4698881345;Estados;52
PIBIE;1939-01-01T00:00:00-02:00;33442.7317100772;Estados;32
PIBIE;1939-01-01T00:00:00-02:00;42429.0439723088;Estados;24
PIBIE;1939-01-01T00:00:00-02:00;50619.1007176339;Estados;28
PIBIE;1939-01-01T00:00:00-02:00;54600.3783021669;Estados;51
PIBIE;1939-01-01T00:00:00-02:00;63472.939776269;Estados;21
PIBIE;1939-01-01T00:00:00-02:00;79170.548538142;Estados;25
PIBIE;1939-01-01T00:00:00-02:00;83151.826122675;Estados;23
PIBIE;1939-01-01T00:00:00-02:00;85199.3403090062;Estados;13
PIBIE;1939-01-01T00:00:00-02:00;86336.8481903014;Regiões;5
PIBIE;1939-01-01T00:00:00-02:00;91910.6368086475;Estados;27
PIBIE;1939-01-01T00:00:00-02:00;119779.579900378;Estados;15
PIBIE;1939-01-01T00:00:00-02:00;178588.737363337;Estados;42
PIBIE;1939-01-01T00:00:00-02:00;188826.308294993;Estados;41
PIBIE;1939-01-01T00:00:00-02:00;204978.9202093842;Regiões;1
PIBIE;1939-01-01T00:00:00-02:00;218970.267149315;Estados;29
PIBIE;1939-01-01T00:00:00-02:00;408820.332537474;Estados;26
PIBIE;1939-01-01T00:00:00-02:00;707188.64980119;Estados;31
PIBIE;1939-01-01T00:00:00-02:00;762357.782044004;Estados;43
PIBIE;1939-01-01T00:00:00-02:00;1062432.3611296632;Regiões;2
PIBIE;1939-01-01T00:00:00-02:00;1129772.827702334;Regiões;4
PIBIE;1939-01-01T00:00:00-02:00;2366812.6486108;Estados;33
PIBIE;1939-01-01T00:00:00-02:00;3196852.14959187;Estados;35
PIBIE;1939-01-01T00:00:00-02:00;6304296.179713937;Regiões;3
PIBIE;1939-01-01T00:00:00-02:00;8787817.13694562;Brasil;0
PIBIE;1947-01-01T00:00:00-02:00;0.0;Estados;53
PIBIE;1947-01-01T00:00:00-02:00;10147.5307725831;Estados;22
PIBIE;1947-01-01T00:00:00-02:00;31391.3451948608;Estados;52
PIBIE;1947-01-01T00:00:00-02:00;34320.1040763787;Estados;51
PIBIE;1947-01-01T00:00:00-02:00;42075.1275936373;Estados;24
PIBIE;1947-01-01T00:00:00-02:00;43890.1330976766;Estados;21
PIBIE;1947-01-01T00:00:00-02:00;45251.387225706;Estados;28
PIBIE;1947-01-01T00:00:00-02:00;45292.6373507978;Estados;32
PIBIE;1947-01-01T00:00:00-02:00;47148.8929799289;Estados;13
PIBIE;1947-01-01T00:00:00-02:00;65711.4492712395;Regiões;5
PIBIE;1947-01-01T00:00:00-02:00;70001.4622807868;Estados;23
PIBIE;1947-01-01T00:00:00-02:00;81963.9985574091;Estados;15
PIBIE;1947-01-01T00:00:00-02:00;83077.7519348878;Estados;27
PIBIE;1947-01-01T00:00:00-02:00;86831.5133182417;Estados;25
PIBIE;1947-01-01T00:00:00-02:00;129112.891537338;Regiões;1
PIBIE;1947-01-01T00:00:00-02:00;173333.025635749;Estados;29
PIBIE;1947-01-01T00:00:00-02:00;237971.971654601;Estados;42
PIBIE;1947-01-01T00:00:00-02:00;291968.385399769;Estados;41
PIBIE;1947-01-01T00:00:00-02:00;413161.252919481;Estados;26
PIBIE;1947-01-01T00:00:00-02:00;698405.867929287;Estados;31
PIBIE;1947-01-01T00:00:00-02:00;776286.104102608;Estados;43
PIBIE;1947-01-01T00:00:00-02:00;967769.1847787494;Regiões;2
PIBIE;1947-01-01T00:00:00-02:00;1306226.461156978;Regiões;4
PIBIE;1947-01-01T00:00:00-02:00;2196486.66088823;Estados;33
PIBIE;1947-01-01T00:00:00-02:00;4315423.08660388;Estados;35
PIBIE;1947-01-01T00:00:00-02:00;7255608.252772194;Regiões;3
PIBIE;1947-01-01T00:00:00-02:00;9724428.2395165;Brasil;0
PIBIE;1948-01-01T00:00:00-02:00;10565.3366741752;Estados;22
PIBIE;1948-01-01T00:00:00-02:00;37271.0769760571;Estados;51
PIBIE;1948-01-01T00:00:00-02:00;41637.5629816203;Estados;52
PIBIE;1948-01-01T00:00:00-02:00;48967.0216338156;Estados;21
PIBIE;1948-01-01T00:00:00-02:00;50799.3862968645;Estados;13
PIBIE;1948-01-01T00:00:00-02:00;51929.9942804478;Estados;24
PIBIE;1948-01-01T00:00:00-02:00;54853.9804448874;Estados;28
PIBIE;1948-01-01T00:00:00-02:00;58713.6421819477;Estados;32
PIBIE;1948-01-01T00:00:00-02:00;78908.6399576774;Regiões;5
PIBIE;1948-01-01T00:00:00-02:00;85068.5041440969;Estados;23
PIBIE;1948-01-01T00:00:00-02:00;89512.9631140452;Estados;15
PIBIE;1948-01-01T00:00:00-02:00;99727.4214484876;Estados;27
PIBIE;1948-01-01T00:00:00-02:00;107173.83954726;Estados;25
PIBIE;1948-01-01T00:00:00-02:00;140312.3494109097;Regiões;1
PIBIE;1948-01-01T00:00:00-02:00;208421.733801256;Estados;29
PIBIE;1948-01-01T00:00:00-02:00;303392.804422255;Estados;42
PIBIE;1948-01-01T00:00:00-02:00;378753.674500413;Estados;41
PIBIE;1948-01-01T00:00:00-02:00;507837.917039874;Estados;26
PIBIE;1948-01-01T00:00:00-02:00;858794.229737015;Estados;31
PIBIE;1948-01-01T00:00:00-02:00;954817.935377212;Estados;43
PIBIE;1948-01-01T00:00:00-02:00;1174545.7490143005;Regiões;2
PIBIE;1948-01-01T00:00:00-02:00;1636964.41429988;Regiões;4
PIBIE;1948-01-01T00:00:00-02:00;2681412.27223771;Estados;33
PIBIE;1948-01-01T00:00:00-02:00;5511635.94700431;Estados;35
PIBIE;1948-01-01T00:00:00-02:00;9110556.091160983;Regiões;3
PIBIE;1948-01-01T00:00:00-02:00;12141287.243843751;Brasil;0
PIBIE;1949-01-01T00:00:00-02:00;10259.2973841447;Estados;22
PIBIE;1949-01-01T00:00:00-02:00;37437.436068458;Estados;51
PIBIE;1949-01-01T00:00:00-02:00;49460.612651982;Estados;52
PIBIE;1949-01-01T00:00:00-02:00;52484.4055652036;Estados;21
PIBIE;1949-01-01T00:00:00-02:00;52808.3833773345;Estados;13
PIBIE;1949-01-01T00:00:00-02:00;60511.8557991133;Estados;24
PIBIE;1949-01-01T00:00:00-02:00;62743.7029493483;Estados;28
PIBIE;1949-01-01T00:00:00-02:00;71671.0915502883;Estados;32
PIBIE;1949-01-01T00:00:00-02:00;86898.04872044001;Regiões;5
PIBIE;1949-01-01T00:00:00-02:00;93089.624685608;Estados;15
PIBIE;1949-01-01T00:00:00-02:00;98777.2351652391;Estados;23
PIBIE;1949-01-01T00:00:00-02:00;112672.283552186;Estados;27
PIBIE;1949-01-01T00:00:00-02:00;124407.47985826;Estados;25
PIBIE;1949-01-01T00:00:00-02:00;145898.0080629425;Regiões;1
PIBIE;1949-01-01T00:00:00-02:00;239059.627817912;Estados;29
PIBIE;1949-01-01T00:00:00-02:00;365194.989340871;Estados;42
PIBIE;1949-01-01T00:00:00-02:00;461416.399543744;Estados;41
PIBIE;1949-01-01T00:00:00-02:00;586579.82763031;Estados;26
PIBIE;1949-01-01T00:00:00-02:00;994431.895568414;Estados;31
PIBIE;1949-01-01T00:00:00-02:00;1103864.40099929;Estados;43
PIBIE;1949-01-01T00:00:00-02:00;1347495.7157217169;Regiões;2
PIBIE;1949-01-01T00:00:00-02:00;1930475.789883905;Regiões;4
PIBIE;1949-01-01T00:00:00-02:00;3071273.66146612;Estados;33
PIBIE;1949-01-01T00:00:00-02:00;6616958.8324959;Estados;35
PIBIE;1949-01-01T00:00:00-02:00;10754335.481080722;Regiões;3
PIBIE;1949-01-01T00:00:00-02:00;14265103.043469725;Brasil;0
PIBIE;1950-01-01T00:00:00-02:00;12511.4276111868;Estados;22
PIBIE;1950-01-01T00:00:00-02:00;38194.5164805887;Estados;51
