SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBIEE;1985-01-01T00:00:00-02:00;10927.9251541494;Estados;53
PIBIEE;1985-01-01T00:00:00-02:00;11746.7992220552;Estados;26
PIBIEE;1985-01-01T00:00:00-02:00;29282.6483548065;Estados;50
PIBIEE;1985-01-01T00:00:00-02:00;52822.4963685183;Estados;41
PIBIEE;1985-01-01T00:00:00-02:00;99561.8517599632;Estados;51
PIBIEE;1985-01-01T00:00:00-02:00;123988.591207848;Estados;35
PIBIEE;1985-01-01T00:00:00-02:00;155641.506934849;Estados;16
PIBIEE;1985-01-01T00:00:00-02:00;176263.56935411;Estados;43
PIBIEE;1985-01-01T00:00:00-02:00;201132.50104627;Estados;11
PIBIEE;1985-01-01T00:00:00-02:00;202868.904976587;Estados;52
PIBIEE;1985-01-01T00:00:00-02:00;342641.3302455061;Regiões;5
PIBIEE;1985-01-01T00:00:00-02:00;366228.844471261;Estados;42
PIBIEE;1985-01-01T00:00:00-02:00;555769.651457312;Estados;32
PIBIEE;1985-01-01T00:00:00-02:00;563659.834446533;Estados;15
PIBIEE;1985-01-01T00:00:00-02:00;595314.9101938893;Regiões;4
PIBIEE;1985-01-01T00:00:00-02:00;746036.890640812;Estados;13
PIBIEE;1985-01-01T00:00:00-02:00;879839.278388013;Estados;23
PIBIEE;1985-01-01T00:00:00-02:00;1648703.4475349;Estados;28
PIBIEE;1985-01-01T00:00:00-02:00;1666470.733068464;Regiões;1
PIBIEE;1985-01-01T00:00:00-02:00;1672475.35758029;Estados;24
PIBIEE;1985-01-01T00:00:00-02:00;2764826.84855521;Estados;29
PIBIEE;1985-01-01T00:00:00-02:00;3524534.93021398;Estados;31
PIBIEE;1985-01-01T00:00:00-02:00;6977591.731280468;Regiões;2
PIBIEE;1985-01-01T00:00:00-02:00;14089581.4506293;Estados;33
PIBIEE;1985-01-01T00:00:00-02:00;18293874.623508442;Regiões;3
PIBIEE;1985-01-01T00:00:00-02:00;27875893.328296762;Brasil;0
PIBIEE;1986-01-01T00:00:00-02:00;9100.7940293337;Estados;53
PIBIEE;1986-01-01T00:00:00-02:00;24658.2690895724;Estados;26
PIBIEE;1986-01-01T00:00:00-02:00;26888.5471519886;Estados;50
PIBIEE;1986-01-01T00:00:00-02:00;44394.9072275391;Estados;41
PIBIEE;1986-01-01T00:00:00-02:00;99643.0627543649;Estados;51
PIBIEE;1986-01-01T00:00:00-02:00;111033.182737957;Estados;35
PIBIEE;1986-01-01T00:00:00-02:00;124479.40862177;Estados;16
PIBIEE;1986-01-01T00:00:00-02:00;141483.739865535;Estados;52
PIBIEE;1986-01-01T00:00:00-02:00;156941.487086522;Estados;11
