SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBITE;1985-01-01T00:00:00-02:00;16710.5538148345;Estados;14
PIBITE;1985-01-01T00:00:00-02:00;34088.3619716362;Estados;16
PIBITE;1985-01-01T00:00:00-02:00;95121.6140229041;Estados;12
PIBITE;1985-01-01T00:00:00-02:00;447069.085108999;Estados;22
PIBITE;1985-01-01T00:00:00-02:00;548381.687452443;Estados;51
PIBITE;1985-01-01T00:00:00-02:00;551038.03822052;Estados;53
PIBITE;1985-01-01T00:00:00-02:00;626360.759920278;Estados;50
PIBITE;1985-01-01T00:00:00-02:00;660587.20376894;Estados;11
PIBITE;1985-01-01T00:00:00-02:00;740816.82213159;Estados;21
PIBITE;1985-01-01T00:00:00-02:00;1027402.21204892;Estados;24
PIBITE;1985-01-01T00:00:00-02:00;1050159.00993801;Estados;25
PIBITE;1985-01-01T00:00:00-02:00;1249246.03893402;Estados;27
PIBITE;1985-01-01T00:00:00-02:00;1690336.78973133;Estados;15
PIBITE;1985-01-01T00:00:00-02:00;2053012.06487809;Estados;52
PIBITE;1985-01-01T00:00:00-02:00;2773366.52271415;Estados;28
PIBITE;1985-01-01T00:00:00-02:00;3029463.33710098;Estados;23
PIBITE;1985-01-01T00:00:00-02:00;3632752.86551135;Estados;32
PIBITE;1985-01-01T00:00:00-02:00;3778792.550471331;Regiões;5
PIBITE;1985-01-01T00:00:00-02:00;5230420.93748099;Estados;26
PIBITE;1985-01-01T00:00:00-02:00;5342558.22481078;Estados;13
PIBITE;1985-01-01T00:00:00-02:00;7839402.748120424;Regiões;1
PIBITE;1985-01-01T00:00:00-02:00;10806711.2125419;Estados;42
PIBITE;1985-01-01T00:00:00-02:00;11024906.2407619;Estados;29
PIBITE;1985-01-01T00:00:00-02:00;13785203.4501848;Estados;41
PIBITE;1985-01-01T00:00:00-02:00;21870734.1768454;Estados;33
PIBITE;1985-01-01T00:00:00-02:00;22250690.6248608;Estados;43
PIBITE;1985-01-01T00:00:00-02:00;22746955.9374055;Estados;31
PIBITE;1985-01-01T00:00:00-02:00;26572850.206219558;Regiões;2
PIBITE;1985-01-01T00:00:00-02:00;46842605.2875875;Regiões;4
PIBITE;1985-01-01T00:00:00-02:00;141962616.865942;Estados;35
PIBITE;1985-01-01T00:00:00-02:00;190213059.84570426;Regiões;3
PIBITE;1985-01-01T00:00:00-02:00;275246710.63810307;Brasil;0
PIBITE;1986-01-01T00:00:00-02:00;18114.3068842799;Estados;14
PIBITE;1986-01-01T00:00:00-02:00;32497.529044655;Estados;16
PIBITE;1986-01-01T00:00:00-02:00;83744.8444009796;Estados;12
PIBITE;1986-01-01T00:00:00-02:00;479784.486347654;Estados;22
