SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBOSE;1939-01-01T00:00:00-02:00;0.0;Estados;53
PIBOSE;1939-01-01T00:00:00-02:00;25138.9241766227;Estados;28
PIBOSE;1939-01-01T00:00:00-02:00;26162.6812697883;Estados;22
PIBOSE;1939-01-01T00:00:00-02:00;27755.1923036015;Estados;51
PIBOSE;1939-01-01T00:00:00-02:00;32532.7254050411;Estados;13
PIBOSE;1939-01-01T00:00:00-02:00;33101.4793456887;Estados;24
PIBOSE;1939-01-01T00:00:00-02:00;35490.2458964085;Estados;27
PIBOSE;1939-01-01T00:00:00-02:00;37765.2616589988;Estados;21
PIBOSE;1939-01-01T00:00:00-02:00;42315.2931841793;Estados;52
PIBOSE;1939-01-01T00:00:00-02:00;47547.829438137;Estados;32
PIBOSE;1939-01-01T00:00:00-02:00;57671.6495816638;Estados;25
PIBOSE;1939-01-01T00:00:00-02:00;62107.9303187148;Estados;15
PIBOSE;1939-01-01T00:00:00-02:00;70070.4854877808;Regiões;5
PIBOSE;1939-01-01T00:00:00-02:00;82128.0690295093;Estados;42
PIBOSE;1939-01-01T00:00:00-02:00;94640.6557237559;Regiões;1
PIBOSE;1939-01-01T00:00:00-02:00;104878.226655412;Estados;23
PIBOSE;1939-01-01T00:00:00-02:00;110793.267638146;Estados;41
PIBOSE;1939-01-01T00:00:00-02:00;224999.058920179;Estados;26
PIBOSE;1939-01-01T00:00:00-02:00;246839.210241046;Estados;29
PIBOSE;1939-01-01T00:00:00-02:00;487535.877923098;Estados;43
PIBOSE;1939-01-01T00:00:00-02:00;618690.536636428;Estados;31
PIBOSE;1939-01-01T00:00:00-02:00;680457.2145907532;Regiões;4
PIBOSE;1939-01-01T00:00:00-02:00;792046.7377458077;Regiões;2
PIBOSE;1939-01-01T00:00:00-02:00;1440539.98087216;Estados;33
PIBOSE;1939-01-01T00:00:00-02:00;1554859.52294233;Estados;35
PIBOSE;1939-01-01T00:00:00-02:00;3661637.8698890544;Regiões;3
PIBOSE;1939-01-01T00:00:00-02:00;5298852.963437152;Brasil;0
PIBOSE;1947-01-01T00:00:00-02:00;0.0;Estados;53
PIBOSE;1947-01-01T00:00:00-02:00;27142.5823104052;Estados;28
PIBOSE;1947-01-01T00:00:00-02:00;27926.3346871495;Estados;22
PIBOSE;1947-01-01T00:00:00-02:00;32133.8474465132;Estados;51
PIBOSE;1947-01-01T00:00:00-02:00;37083.8624575294;Estados;24
PIBOSE;1947-01-01T00:00:00-02:00;38733.8674612014;Estados;13
PIBOSE;1947-01-01T00:00:00-02:00;40755.1235906997;Estados;21
