SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBPCE;1985-01-01T00:00:00-02:00;3.7882311419;Estados;22
PIBPCE;1985-01-01T00:00:00-02:00;3.8246218743;Estados;21
PIBPCE;1985-01-01T00:00:00-02:00;4.3911839405;Estados;24
PIBPCE;1985-01-01T00:00:00-02:00;4.738928126;Estados;25
PIBPCE;1985-01-01T00:00:00-02:00;4.9884487498;Estados;23
PIBPCE;1985-01-01T00:00:00-02:00;5.053201644448592;Regiões;2
PIBPCE;1985-01-01T00:00:00-02:00;5.1345864345;Estados;29
PIBPCE;1985-01-01T00:00:00-02:00;5.6943341077;Estados;26
PIBPCE;1985-01-01T00:00:00-02:00;5.8791420772;Estados;27
PIBPCE;1985-01-01T00:00:00-02:00;7.1157747339;Estados;51
PIBPCE;1985-01-01T00:00:00-02:00;7.269115841;Estados;15
PIBPCE;1985-01-01T00:00:00-02:00;7.3061921667;Estados;13
PIBPCE;1985-01-01T00:00:00-02:00;7.84260928118818;Regiões;1
PIBPCE;1985-01-01T00:00:00-02:00;8.2757373095;Estados;28
PIBPCE;1985-01-01T00:00:00-02:00;8.9125322396;Estados;52
PIBPCE;1985-01-01T00:00:00-02:00;9.2156447838;Estados;12
PIBPCE;1985-01-01T00:00:00-02:00;9.8419435143;Estados;50
PIBPCE;1985-01-01T00:00:00-02:00;9.8650089806;Estados;11
PIBPCE;1985-01-01T00:00:00-02:00;10.5545270034;Estados;16
PIBPCE;1985-01-01T00:00:00-02:00;10.9286524386;Estados;41
PIBPCE;1985-01-01T00:00:00-02:00;12.0752084795;Estados;14
PIBPCE;1985-01-01T00:00:00-02:00;12.3375509688;Estados;31
PIBPCE;1985-01-01T00:00:00-02:00;13.822407187575308;Brasil;0
PIBPCE;1985-01-01T00:00:00-02:00;13.822846586274885;Regiões;4
PIBPCE;1985-01-01T00:00:00-02:00;14.422378929867172;Regiões;5
PIBPCE;1985-01-01T00:00:00-02:00;14.6063160835;Estados;32
PIBPCE;1985-01-01T00:00:00-02:00;15.1019909658;Estados;43
PIBPCE;1985-01-01T00:00:00-02:00;16.8950454682;Estados;42
PIBPCE;1985-01-01T00:00:00-02:00;20.423900737578645;Regiões;3
PIBPCE;1985-01-01T00:00:00-02:00;21.4676741959;Estados;33
PIBPCE;1985-01-01T00:00:00-02:00;24.6238167146;Estados;35
PIBPCE;1985-01-01T00:00:00-02:00;45.3536263621;Estados;53
PIBPCE;1986-01-01T00:00:00-02:00;3.9948276656;Estados;22
PIBPCE;1986-01-01T00:00:00-02:00;4.5038034957;Estados;21
PIBPCE;1986-01-01T00:00:00-02:00;4.7481740416;Estados;24
PIBPCE;1986-01-01T00:00:00-02:00;5.0372178595;Estados;25
PIBPCE;1986-01-01T00:00:00-02:00;5.385666992;Estados;29
PIBPCE;1986-01-01T00:00:00-02:00;5.444583986647216;Regiões;2
PIBPCE;1986-01-01T00:00:00-02:00;5.4917267235;Estados;23
PIBPCE;1986-01-01T00:00:00-02:00;5.9255944825;Estados;27
PIBPCE;1986-01-01T00:00:00-02:00;6.1885479132;Estados;26
PIBPCE;1986-01-01T00:00:00-02:00;7.5465779722;Estados;13
PIBPCE;1986-01-01T00:00:00-02:00;7.5849597172;Estados;51
PIBPCE;1986-01-01T00:00:00-02:00;8.191269691;Estados;15
PIBPCE;1986-01-01T00:00:00-02:00;8.41549445598606;Regiões;1
PIBPCE;1986-01-01T00:00:00-02:00;8.993768054;Estados;28
PIBPCE;1986-01-01T00:00:00-02:00;9.0767437079;Estados;12
PIBPCE;1986-01-01T00:00:00-02:00;9.2848871354;Estados;52
PIBPCE;1986-01-01T00:00:00-02:00;9.7821688012;Estados;11
PIBPCE;1986-01-01T00:00:00-02:00;9.845928734;Estados;50
PIBPCE;1986-01-01T00:00:00-02:00;10.754807754;Estados;16
PIBPCE;1986-01-01T00:00:00-02:00;11.1655148067;Estados;41
PIBPCE;1986-01-01T00:00:00-02:00;12.0767329237;Estados;14
PIBPCE;1986-01-01T00:00:00-02:00;12.2601204024;Estados;31
PIBPCE;1986-01-01T00:00:00-02:00;13.866469660667601;Regiões;4
PIBPCE;1986-01-01T00:00:00-02:00;14.37878785150181;Brasil;0
PIBPCE;1986-01-01T00:00:00-02:00;14.3790386099;Estados;43
PIBPCE;1986-01-01T00:00:00-02:00;14.7384534653;Estados;32
PIBPCE;1986-01-01T00:00:00-02:00;14.928004923178218;Regiões;5
PIBPCE;1986-01-01T00:00:00-02:00;18.0935973458;Estados;42
PIBPCE;1986-01-01T00:00:00-02:00;21.30147549849926;Regiões;3
PIBPCE;1986-01-01T00:00:00-02:00;22.9622098397;Estados;33
PIBPCE;1986-01-01T00:00:00-02:00;25.7691064844;Estados;35
PIBPCE;1986-01-01T00:00:00-02:00;46.9690541287;Estados;53
PIBPCE;1987-01-01T00:00:00-02:00;3.9922265055;Estados;22
PIBPCE;1987-01-01T00:00:00-02:00;4.5473143725;Estados;21
PIBPCE;1987-01-01T00:00:00-02:00;4.9894154753;Estados;25
PIBPCE;1987-01-01T00:00:00-02:00;5.4101025588;Estados;23
PIBPCE;1987-01-01T00:00:00-02:00;5.4560517591;Estados;29
PIBPCE;1987-01-01T00:00:00-02:00;5.67436061251066;Regiões;2
PIBPCE;1987-01-01T00:00:00-02:00;5.745640968;Estados;24
PIBPCE;1987-01-01T00:00:00-02:00;6.3202839128;Estados;27
PIBPCE;1987-01-01T00:00:00-02:00;7.0537259152;Estados;26
PIBPCE;1987-01-01T00:00:00-02:00;7.6018588653;Estados;13
PIBPCE;1987-01-01T00:00:00-02:00;7.7408505894;Estados;51
PIBPCE;1987-01-01T00:00:00-02:00;8.4277162454;Estados;15
PIBPCE;1987-01-01T00:00:00-02:00;8.477237847542524;Regiões;1
PIBPCE;1987-01-01T00:00:00-02:00;8.537466414;Estados;12
PIBPCE;1987-01-01T00:00:00-02:00;8.8371479864;Estados;28
PIBPCE;1987-01-01T00:00:00-02:00;9.2113008559;Estados;11
PIBPCE;1987-01-01T00:00:00-02:00;9.306284364;Estados;52
PIBPCE;1987-01-01T00:00:00-02:00;10.3938752324;Estados;50
PIBPCE;1987-01-01T00:00:00-02:00;10.4231947321;Estados;16
PIBPCE;1987-01-01T00:00:00-02:00;12.5274969312;Estados;14
PIBPCE;1987-01-01T00:00:00-02:00;12.9177142834;Estados;41
PIBPCE;1987-01-01T00:00:00-02:00;13.5122099136;Estados;31
PIBPCE;1987-01-01T00:00:00-02:00;14.1894886048;Estados;32
PIBPCE;1987-01-01T00:00:00-02:00;14.914295678631518;Brasil;0
PIBPCE;1987-01-01T00:00:00-02:00;15.018477096703693;Regiões;5
PIBPCE;1987-01-01T00:00:00-02:00;15.85681283104974;Regiões;4
PIBPCE;1987-01-01T00:00:00-02:00;17.3392000736;Estados;43
PIBPCE;1987-01-01T00:00:00-02:00;18.502972864;Estados;42
PIBPCE;1987-01-01T00:00:00-02:00;21.676626601357064;Regiões;3
