SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBPMCE;1939-01-01T00:00:00-02:00;1.04e-10;Estados;28
PIBPMCE;1939-01-01T00:00:00-02:00;1.41e-10;Estados;24
PIBPMCE;1939-01-01T00:00:00-02:00;1.44e-10;Estados;22
PIBPMCE;1939-01-01T00:00:00-02:00;1.5e-10;Estados;27
PIBPMCE;1939-01-01T00:00:00-02:00;1.57e-10;Estados;51
PIBPMCE;1939-01-01T00:00:00-02:00;1.84e-10;Estados;13
PIBPMCE;1939-01-01T00:00:00-02:00;1.99e-10;Estados;52
PIBPMCE;1939-01-01T00:00:00-02:00;2.01e-10;Estados;32
PIBPMCE;1939-01-01T00:00:00-02:00;2.07e-10;Estados;21
PIBPMCE;1939-01-01T00:00:00-02:00;2.19e-10;Estados;25
PIBPMCE;1939-01-01T00:00:00-02:00;2.63e-10;Estados;15
PIBPMCE;1939-01-01T00:00:00-02:00;3.53e-10;Estados;23
PIBPMCE;1939-01-01T00:00:00-02:00;3.56e-10;Regiões;5
PIBPMCE;1939-01-01T00:00:00-02:00;3.79e-10;Estados;42
PIBPMCE;1939-01-01T00:00:00-02:00;4.47e-10;Regiões;1
PIBPMCE;1939-01-01T00:00:00-02:00;4.89e-10;Estados;41
PIBPMCE;1939-01-01T00:00:00-02:00;7.5e-10;Estados;26
PIBPMCE;1939-01-01T00:00:00-02:00;7.59e-10;Estados;29
PIBPMCE;1939-01-01T00:00:00-02:00;1.69e-09;Estados;31
PIBPMCE;1939-01-01T00:00:00-02:00;1.72e-09;Estados;43
PIBPMCE;1939-01-01T00:00:00-02:00;2.5879999999999997e-09;Regiões;4
PIBPMCE;1939-01-01T00:00:00-02:00;2.827e-09;Regiões;2
PIBPMCE;1939-01-01T00:00:00-02:00;3.54e-09;Estados;33
PIBPMCE;1939-01-01T00:00:00-02:00;5.26e-09;Estados;35
PIBPMCE;1939-01-01T00:00:00-02:00;1.0691e-08;Regiões;3
PIBPMCE;1939-01-01T00:00:00-02:00;1.6909e-08;Brasil;0
PIBPMCE;1947-01-01T00:00:00-02:00;3.71e-10;Estados;28
PIBPMCE;1947-01-01T00:00:00-02:00;4.48e-10;Estados;22
PIBPMCE;1947-01-01T00:00:00-02:00;4.81e-10;Estados;51
PIBPMCE;1947-01-01T00:00:00-02:00;5.15e-10;Estados;21
PIBPMCE;1947-01-01T00:00:00-02:00;5.99e-10;Estados;24
PIBPMCE;1947-01-01T00:00:00-02:00;6.08e-10;Estados;52
PIBPMCE;1947-01-01T00:00:00-02:00;6.23e-10;Estados;27
PIBPMCE;1947-01-01T00:00:00-02:00;6.63e-10;Estados;13
PIBPMCE;1947-01-01T00:00:00-02:00;7.53e-10;Estados;32
PIBPMCE;1947-01-01T00:00:00-02:00;8.62e-10;Estados;15
PIBPMCE;1947-01-01T00:00:00-02:00;8.73e-10;Estados;25
PIBPMCE;1947-01-01T00:00:00-02:00;1.0889999999999999e-09;Regiões;5
PIBPMCE;1947-01-01T00:00:00-02:00;1.2e-09;Estados;23
PIBPMCE;1947-01-01T00:00:00-02:00;1.525e-09;Regiões;1
PIBPMCE;1947-01-01T00:00:00-02:00;1.92e-09;Estados;42
PIBPMCE;1947-01-01T00:00:00-02:00;2.49e-09;Estados;41
PIBPMCE;1947-01-01T00:00:00-02:00;2.63e-09;Estados;26
PIBPMCE;1947-01-01T00:00:00-02:00;2.82e-09;Estados;29
PIBPMCE;1947-01-01T00:00:00-02:00;6.44e-09;Estados;43
PIBPMCE;1947-01-01T00:00:00-02:00;7.42e-09;Estados;31
PIBPMCE;1947-01-01T00:00:00-02:00;1.0079e-08;Regiões;2
PIBPMCE;1947-01-01T00:00:00-02:00;1.085e-08;Regiões;4
PIBPMCE;1947-01-01T00:00:00-02:00;1.22e-08;Estados;33
PIBPMCE;1947-01-01T00:00:00-02:00;2.11e-08;Estados;35
PIBPMCE;1947-01-01T00:00:00-02:00;4.1473000000000004e-08;Regiões;3
PIBPMCE;1947-01-01T00:00:00-02:00;6.5016e-08;Brasil;0
PIBPMCE;1948-01-01T00:00:00-02:00;3.72e-10;Estados;22
PIBPMCE;1948-01-01T00:00:00-02:00;4.2e-10;Estados;28
PIBPMCE;1948-01-01T00:00:00-02:00;6.28e-10;Estados;21
PIBPMCE;1948-01-01T00:00:00-02:00;6.31e-10;Estados;13
PIBPMCE;1948-01-01T00:00:00-02:00;6.67e-10;Estados;24
PIBPMCE;1948-01-01T00:00:00-02:00;6.91e-10;Estados;51
PIBPMCE;1948-01-01T00:00:00-02:00;6.97e-10;Estados;27
PIBPMCE;1948-01-01T00:00:00-02:00;7.2e-10;Estados;52
PIBPMCE;1948-01-01T00:00:00-02:00;8.38e-10;Estados;32
PIBPMCE;1948-01-01T00:00:00-02:00;8.96e-10;Estados;15
PIBPMCE;1948-01-01T00:00:00-02:00;1.08e-09;Estados;25
PIBPMCE;1948-01-01T00:00:00-02:00;1.37e-09;Estados;23
PIBPMCE;1948-01-01T00:00:00-02:00;1.411e-09;Regiões;5
PIBPMCE;1948-01-01T00:00:00-02:00;1.527e-09;Regiões;1
PIBPMCE;1948-01-01T00:00:00-02:00;2.06e-09;Estados;42
PIBPMCE;1948-01-01T00:00:00-02:00;3.06e-09;Estados;26
PIBPMCE;1948-01-01T00:00:00-02:00;3.07e-09;Estados;29
PIBPMCE;1948-01-01T00:00:00-02:00;3.12e-09;Estados;41
PIBPMCE;1948-01-01T00:00:00-02:00;6.9e-09;Estados;43
PIBPMCE;1948-01-01T00:00:00-02:00;8.72e-09;Estados;31
PIBPMCE;1948-01-01T00:00:00-02:00;1.1364e-08;Regiões;2
PIBPMCE;1948-01-01T00:00:00-02:00;1.208e-08;Regiões;4
PIBPMCE;1948-01-01T00:00:00-02:00;1.41e-08;Estados;33
PIBPMCE;1948-01-01T00:00:00-02:00;2.53e-08;Estados;35
PIBPMCE;1948-01-01T00:00:00-02:00;4.8958e-08;Regiões;3
PIBPMCE;1948-01-01T00:00:00-02:00;7.534000000000001e-08;Brasil;0
PIBPMCE;1949-01-01T00:00:00-02:00;3.96e-10;Estados;22
PIBPMCE;1949-01-01T00:00:00-02:00;4.9e-10;Estados;28
PIBPMCE;1949-01-01T00:00:00-02:00;6.2e-10;Estados;21
PIBPMCE;1949-01-01T00:00:00-02:00;7.01e-10;Estados;13
PIBPMCE;1949-01-01T00:00:00-02:00;7.31e-10;Estados;51
PIBPMCE;1949-01-01T00:00:00-02:00;7.85e-10;Estados;24
PIBPMCE;1949-01-01T00:00:00-02:00;8.01e-10;Estados;27
PIBPMCE;1949-01-01T00:00:00-02:00;8.54e-10;Estados;52
PIBPMCE;1949-01-01T00:00:00-02:00;8.55e-10;Estados;15
PIBPMCE;1949-01-01T00:00:00-02:00;1.24e-09;Estados;25
PIBPMCE;1949-01-01T00:00:00-02:00;1.24e-09;Estados;32
PIBPMCE;1949-01-01T00:00:00-02:00;1.556e-09;Regiões;1
PIBPMCE;1949-01-01T00:00:00-02:00;1.585e-09;Regiões;5
PIBPMCE;1949-01-01T00:00:00-02:00;1.63e-09;Estados;23
PIBPMCE;1949-01-01T00:00:00-02:00;2.28e-09;Estados;42
PIBPMCE;1949-01-01T00:00:00-02:00;3.33e-09;Estados;29
PIBPMCE;1949-01-01T00:00:00-02:00;3.37e-09;Estados;26
PIBPMCE;1949-01-01T00:00:00-02:00;3.78e-09;Estados;41
PIBPMCE;1949-01-01T00:00:00-02:00;8.15e-09;Estados;43
PIBPMCE;1949-01-01T00:00:00-02:00;9.47e-09;Estados;31
PIBPMCE;1949-01-01T00:00:00-02:00;1.2662e-08;Regiões;2
PIBPMCE;1949-01-01T00:00:00-02:00;1.421e-08;Regiões;4
