SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBSAE;1985-01-01T00:00:00-02:00;9717.9472948487;Estados;16
PIBSAE;1985-01-01T00:00:00-02:00;10402.8436825362;Estados;14
PIBSAE;1985-01-01T00:00:00-02:00;21056.5317744881;Estados;12
PIBSAE;1985-01-01T00:00:00-02:00;68020.0698872885;Estados;11
PIBSAE;1985-01-01T00:00:00-02:00;72040.1070482728;Estados;28
PIBSAE;1985-01-01T00:00:00-02:00;74353.0270999181;Estados;22
PIBSAE;1985-01-01T00:00:00-02:00;101808.113906684;Estados;24
PIBSAE;1985-01-01T00:00:00-02:00;118019.206692406;Estados;27
PIBSAE;1985-01-01T00:00:00-02:00;124846.29680547;Estados;13
PIBSAE;1985-01-01T00:00:00-02:00;136334.284834127;Estados;25
PIBSAE;1985-01-01T00:00:00-02:00;164679.245068794;Estados;51
PIBSAE;1985-01-01T00:00:00-02:00;170707.949454209;Estados;21
PIBSAE;1985-01-01T00:00:00-02:00;189688.094403734;Estados;50
PIBSAE;1985-01-01T00:00:00-02:00;196404.227398588;Estados;15
PIBSAE;1985-01-01T00:00:00-02:00;249780.759902734;Estados;32
PIBSAE;1985-01-01T00:00:00-02:00;287653.086286242;Estados;23
PIBSAE;1985-01-01T00:00:00-02:00;318178.529108595;Estados;53
PIBSAE;1985-01-01T00:00:00-02:00;403807.149472572;Estados;26
PIBSAE;1985-01-01T00:00:00-02:00;430447.9168432195;Regiões;1
PIBSAE;1985-01-01T00:00:00-02:00;441736.326119553;Estados;42
PIBSAE;1985-01-01T00:00:00-02:00;452195.112573778;Estados;52
PIBSAE;1985-01-01T00:00:00-02:00;712739.415193783;Estados;29
PIBSAE;1985-01-01T00:00:00-02:00;853679.3014336;Estados;41
PIBSAE;1985-01-01T00:00:00-02:00;1107052.2474671;Estados;43
PIBSAE;1985-01-01T00:00:00-02:00;1124740.981154901;Regiões;5
PIBSAE;1985-01-01T00:00:00-02:00;1361272.60444945;Estados;31
PIBSAE;1985-01-01T00:00:00-02:00;1745096.69750903;Estados;33
PIBSAE;1985-01-01T00:00:00-02:00;2077462.339988214;Regiões;2
PIBSAE;1985-01-01T00:00:00-02:00;2402467.875020253;Regiões;4
PIBSAE;1985-01-01T00:00:00-02:00;4827412.1291653;Estados;35
PIBSAE;1985-01-01T00:00:00-02:00;8183562.191026514;Regiões;3
PIBSAE;1985-01-01T00:00:00-02:00;14218681.3040331;Brasil;0
PIBSAE;1986-01-01T00:00:00-02:00;12150.2088752295;Estados;16
PIBSAE;1986-01-01T00:00:00-02:00;15042.1987683609;Estados;14
PIBSAE;1986-01-01T00:00:00-02:00;20940.8574142587;Estados;12
PIBSAE;1986-01-01T00:00:00-02:00;76221.7254556537;Estados;11
PIBSAE;1986-01-01T00:00:00-02:00;82051.7848904756;Estados;28
PIBSAE;1986-01-01T00:00:00-02:00;91660.7633654318;Estados;22
PIBSAE;1986-01-01T00:00:00-02:00;114065.299465541;Estados;24
PIBSAE;1986-01-01T00:00:00-02:00;124646.991851913;Estados;27
PIBSAE;1986-01-01T00:00:00-02:00;133453.501454858;Estados;25
PIBSAE;1986-01-01T00:00:00-02:00;141263.768349636;Estados;13
PIBSAE;1986-01-01T00:00:00-02:00;189620.971073434;Estados;50
PIBSAE;1986-01-01T00:00:00-02:00;196360.616883055;Estados;51
PIBSAE;1986-01-01T00:00:00-02:00;196686.692079873;Estados;21
PIBSAE;1986-01-01T00:00:00-02:00;221213.759019368;Estados;15
PIBSAE;1986-01-01T00:00:00-02:00;287910.926465974;Estados;32
PIBSAE;1986-01-01T00:00:00-02:00;314824.480862167;Estados;53
PIBSAE;1986-01-01T00:00:00-02:00;333247.029829396;Estados;23
PIBSAE;1986-01-01T00:00:00-02:00;418913.192467355;Estados;26
PIBSAE;1986-01-01T00:00:00-02:00;466930.003827278;Estados;42
PIBSAE;1986-01-01T00:00:00-02:00;486832.5178825068;Regiões;1
PIBSAE;1986-01-01T00:00:00-02:00;530369.209694967;Estados;52
PIBSAE;1986-01-01T00:00:00-02:00;711702.768063301;Estados;29
PIBSAE;1986-01-01T00:00:00-02:00;882805.055327632;Estados;41
PIBSAE;1986-01-01T00:00:00-02:00;1010670.00908147;Estados;43
PIBSAE;1986-01-01T00:00:00-02:00;1231175.278513623;Regiões;5
PIBSAE;1986-01-01T00:00:00-02:00;1426332.83806425;Estados;31
PIBSAE;1986-01-01T00:00:00-02:00;1695823.81410533;Estados;33
PIBSAE;1986-01-01T00:00:00-02:00;2206428.0234681447;Regiões;2
PIBSAE;1986-01-01T00:00:00-02:00;2360405.06823638;Regiões;4
PIBSAE;1986-01-01T00:00:00-02:00;5257313.88918565;Estados;35
PIBSAE;1986-01-01T00:00:00-02:00;8667381.467821205;Regiões;3
PIBSAE;1986-01-01T00:00:00-02:00;14952222.355921859;Brasil;0
PIBSAE;1987-01-01T00:00:00-02:00;12557.1743263851;Estados;16
PIBSAE;1987-01-01T00:00:00-02:00;16898.2258256487;Estados;14
PIBSAE;1987-01-01T00:00:00-02:00;29689.087381553;Estados;12
PIBSAE;1987-01-01T00:00:00-02:00;98077.4607407714;Estados;11
PIBSAE;1987-01-01T00:00:00-02:00;115721.342787055;Estados;28
PIBSAE;1987-01-01T00:00:00-02:00;120942.48366132;Estados;22
PIBSAE;1987-01-01T00:00:00-02:00;172560.849877897;Estados;27
PIBSAE;1987-01-01T00:00:00-02:00;179258.326163241;Estados;24
PIBSAE;1987-01-01T00:00:00-02:00;204783.270575724;Estados;25
PIBSAE;1987-01-01T00:00:00-02:00;216127.356179018;Estados;13
PIBSAE;1987-01-01T00:00:00-02:00;230657.243148054;Estados;21
PIBSAE;1987-01-01T00:00:00-02:00;270415.300593734;Estados;50
PIBSAE;1987-01-01T00:00:00-02:00;275814.395025877;Estados;51
PIBSAE;1987-01-01T00:00:00-02:00;300461.501827586;Estados;15
PIBSAE;1987-01-01T00:00:00-02:00;339120.576340962;Estados;32
PIBSAE;1987-01-01T00:00:00-02:00;420542.354197118;Estados;23
PIBSAE;1987-01-01T00:00:00-02:00;458764.993673797;Estados;53
PIBSAE;1987-01-01T00:00:00-02:00;624584.915350893;Estados;26
PIBSAE;1987-01-01T00:00:00-02:00;651630.79366086;Estados;52
PIBSAE;1987-01-01T00:00:00-02:00;673810.8062809623;Regiões;1
PIBSAE;1987-01-01T00:00:00-02:00;710870.904163061;Estados;42
PIBSAE;1987-01-01T00:00:00-02:00;1014086.52538879;Estados;29
PIBSAE;1987-01-01T00:00:00-02:00;1282219.70288444;Estados;41
PIBSAE;1987-01-01T00:00:00-02:00;1427857.05887879;Estados;43
PIBSAE;1987-01-01T00:00:00-02:00;1656625.482954268;Regiões;5
PIBSAE;1987-01-01T00:00:00-02:00;1883279.20197385;Estados;31
PIBSAE;1987-01-01T00:00:00-02:00;2469513.26069336;Estados;33
PIBSAE;1987-01-01T00:00:00-02:00;3083137.311150092;Regiões;2
PIBSAE;1987-01-01T00:00:00-02:00;3420947.6659262907;Regiões;4
PIBSAE;1987-01-01T00:00:00-02:00;7330813.70328919;Estados;35
PIBSAE;1987-01-01T00:00:00-02:00;12022726.742297363;Regiões;3
PIBSAE;1987-01-01T00:00:00-02:00;20857248.008608975;Brasil;0
PIBSAE;1988-01-01T00:00:00-02:00;14772.2353653592;Estados;16
PIBSAE;1988-01-01T00:00:00-02:00;19808.757473039;Estados;14
PIBSAE;1988-01-01T00:00:00-02:00;32989.8345627868;Estados;12
PIBSAE;1988-01-01T00:00:00-02:00;94178.6305237804;Estados;11
PIBSAE;1988-01-01T00:00:00-02:00;106153.993528668;Estados;22
PIBSAE;1988-01-01T00:00:00-02:00;109962.51059147;Estados;28
PIBSAE;1988-01-01T00:00:00-02:00;161114.479866805;Estados;27
PIBSAE;1988-01-01T00:00:00-02:00;180520.017553025;Estados;24
PIBSAE;1988-01-01T00:00:00-02:00;185382.801580589;Estados;25
PIBSAE;1988-01-01T00:00:00-02:00;192582.474055123;Estados;13
PIBSAE;1988-01-01T00:00:00-02:00;268405.322444549;Estados;51
PIBSAE;1988-01-01T00:00:00-02:00;279251.009292227;Estados;50
PIBSAE;1988-01-01T00:00:00-02:00;282087.973490384;Estados;15
PIBSAE;1988-01-01T00:00:00-02:00;291536.590056737;Estados;21
PIBSAE;1988-01-01T00:00:00-02:00;319296.998630586;Estados;32
