SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBSCE;1985-01-01T00:00:00-02:00;10055.322049463;Estados;14
PIBSCE;1985-01-01T00:00:00-02:00;12295.3302881287;Estados;16
PIBSCE;1985-01-01T00:00:00-02:00;14220.2948365983;Estados;12
PIBSCE;1985-01-01T00:00:00-02:00;16044.6871889713;Estados;24
PIBSCE;1985-01-01T00:00:00-02:00;21616.2803665354;Estados;28
PIBSCE;1985-01-01T00:00:00-02:00;27691.8113441975;Estados;53
PIBSCE;1985-01-01T00:00:00-02:00;33896.8665162475;Estados;25
PIBSCE;1985-01-01T00:00:00-02:00;36119.1684210581;Estados;27
PIBSCE;1985-01-01T00:00:00-02:00;37027.5615094602;Estados;22
PIBSCE;1985-01-01T00:00:00-02:00;44282.5230875248;Estados;51
PIBSCE;1985-01-01T00:00:00-02:00;44685.585138041;Estados;11
PIBSCE;1985-01-01T00:00:00-02:00;57974.0566088989;Estados;50
PIBSCE;1985-01-01T00:00:00-02:00;72516.4743532556;Estados;21
PIBSCE;1985-01-01T00:00:00-02:00;80551.7097884351;Estados;32
PIBSCE;1985-01-01T00:00:00-02:00;118901.258002278;Estados;23
PIBSCE;1985-01-01T00:00:00-02:00;129744.037550548;Estados;15
PIBSCE;1985-01-01T00:00:00-02:00;183523.639085299;Estados;42
PIBSCE;1985-01-01T00:00:00-02:00;184980.39208736;Estados;52
PIBSCE;1985-01-01T00:00:00-02:00;246361.76675128;Estados;13
PIBSCE;1985-01-01T00:00:00-02:00;250670.331207641;Estados;26
PIBSCE;1985-01-01T00:00:00-02:00;314928.78312798124;Regiões;5
PIBSCE;1985-01-01T00:00:00-02:00;339481.395120294;Estados;29
PIBSCE;1985-01-01T00:00:00-02:00;340195.987243066;Estados;41
PIBSCE;1985-01-01T00:00:00-02:00;457362.336614059;Regiões;1
PIBSCE;1985-01-01T00:00:00-02:00;483477.612922959;Estados;31
PIBSCE;1985-01-01T00:00:00-02:00;680470.407017893;Estados;43
PIBSCE;1985-01-01T00:00:00-02:00;926274.0226857411;Regiões;2
PIBSCE;1985-01-01T00:00:00-02:00;1204190.033346258;Regiões;4
PIBSCE;1985-01-01T00:00:00-02:00;1759862.49225969;Estados;35
PIBSCE;1985-01-01T00:00:00-02:00;2395537.73515578;Estados;33
PIBSCE;1985-01-01T00:00:00-02:00;4719429.550126864;Regiões;3
PIBSCE;1985-01-01T00:00:00-02:00;7622184.725900903;Brasil;0
