SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBSDE;1985-01-01T00:00:00-02:00;1107.0483400698;Estados;14
PIBSDE;1985-01-01T00:00:00-02:00;2853.2354988862;Estados;16
PIBSDE;1985-01-01T00:00:00-02:00;3080.6614756139;Estados;12
PIBSDE;1985-01-01T00:00:00-02:00;12809.0194397687;Estados;11
PIBSDE;1985-01-01T00:00:00-02:00;14938.3757654697;Estados;28
PIBSDE;1985-01-01T00:00:00-02:00;19914.8123131204;Estados;22
PIBSDE;1985-01-01T00:00:00-02:00;22116.1791620094;Estados;24
PIBSDE;1985-01-01T00:00:00-02:00;22652.7270510555;Estados;13
PIBSDE;1985-01-01T00:00:00-02:00;32405.6450061752;Estados;27
PIBSDE;1985-01-01T00:00:00-02:00;33547.8610475711;Estados;25
PIBSDE;1985-01-01T00:00:00-02:00;39500.1726496322;Estados;51
PIBSDE;1985-01-01T00:00:00-02:00;40661.0468295058;Estados;21
PIBSDE;1985-01-01T00:00:00-02:00;51389.7274734883;Estados;15
PIBSDE;1985-01-01T00:00:00-02:00;56761.1833937485;Estados;32
PIBSDE;1985-01-01T00:00:00-02:00;62804.0399627502;Estados;50
PIBSDE;1985-01-01T00:00:00-02:00;79402.9249465305;Estados;23
PIBSDE;1985-01-01T00:00:00-02:00;93892.4192788824;Regiões;1
PIBSDE;1985-01-01T00:00:00-02:00;99283.2960661467;Estados;26
PIBSDE;1985-01-01T00:00:00-02:00;104111.098819955;Estados;42
PIBSDE;1985-01-01T00:00:00-02:00;108169.543098407;Estados;53
PIBSDE;1985-01-01T00:00:00-02:00;146009.656021326;Estados;52
PIBSDE;1985-01-01T00:00:00-02:00;153855.120210982;Estados;29
PIBSDE;1985-01-01T00:00:00-02:00;260261.012636804;Estados;41
PIBSDE;1985-01-01T00:00:00-02:00;356483.41173211543;Regiões;5
PIBSDE;1985-01-01T00:00:00-02:00;370772.177122487;Estados;43
PIBSDE;1985-01-01T00:00:00-02:00;441315.676561064;Estados;31
PIBSDE;1985-01-01T00:00:00-02:00;496125.2613475108;Regiões;2
PIBSDE;1985-01-01T00:00:00-02:00;735144.288579246;Regiões;4
PIBSDE;1985-01-01T00:00:00-02:00;756041.80655744;Estados;33
PIBSDE;1985-01-01T00:00:00-02:00;1644090.0386891;Estados;35
PIBSDE;1985-01-01T00:00:00-02:00;2898208.7052013525;Regiões;3
PIBSDE;1985-01-01T00:00:00-02:00;4579854.086139106;Brasil;0
PIBSDE;1986-01-01T00:00:00-02:00;1112.9908800132;Estados;14
PIBSDE;1986-01-01T00:00:00-02:00;2868.5514207898;Estados;16
PIBSDE;1986-01-01T00:00:00-02:00;3097.198200532;Estados;12
PIBSDE;1986-01-01T00:00:00-02:00;13728.4089976004;Estados;11
PIBSDE;1986-01-01T00:00:00-02:00;16594.3823995685;Estados;28
PIBSDE;1986-01-01T00:00:00-02:00;19664.4224361324;Estados;22
PIBSDE;1986-01-01T00:00:00-02:00;22774.3249347742;Estados;13
PIBSDE;1986-01-01T00:00:00-02:00;23461.9236994791;Estados;24
PIBSDE;1986-01-01T00:00:00-02:00;29066.9828885888;Estados;25
PIBSDE;1986-01-01T00:00:00-02:00;35998.0009593921;Estados;27
PIBSDE;1986-01-01T00:00:00-02:00;40828.8497974639;Estados;51
PIBSDE;1986-01-01T00:00:00-02:00;44743.5719261645;Estados;21
PIBSDE;1986-01-01T00:00:00-02:00;51665.5830952672;Estados;15
PIBSDE;1986-01-01T00:00:00-02:00;60827.03711036;Estados;32
PIBSDE;1986-01-01T00:00:00-02:00;70124.5919877681;Estados;50
PIBSDE;1986-01-01T00:00:00-02:00;85324.3468781119;Estados;23
PIBSDE;1986-01-01T00:00:00-02:00;95247.05752897679;Regiões;1
PIBSDE;1986-01-01T00:00:00-02:00;104962.245207175;Estados;26
PIBSDE;1986-01-01T00:00:00-02:00;106757.553587235;Estados;53
PIBSDE;1986-01-01T00:00:00-02:00;125057.589996595;Estados;42
PIBSDE;1986-01-01T00:00:00-02:00;127266.959468354;Estados;52
PIBSDE;1986-01-01T00:00:00-02:00;158128.313967261;Estados;29
PIBSDE;1986-01-01T00:00:00-02:00;223862.371549361;Estados;41
PIBSDE;1986-01-01T00:00:00-02:00;343827.044114289;Estados;43
PIBSDE;1986-01-01T00:00:00-02:00;344977.95484082104;Regiões;5
PIBSDE;1986-01-01T00:00:00-02:00;424973.769817245;Estados;31
PIBSDE;1986-01-01T00:00:00-02:00;517944.19036187325;Regiões;2
PIBSDE;1986-01-01T00:00:00-02:00;692747.005660245;Regiões;4
PIBSDE;1986-01-01T00:00:00-02:00;714158.942396119;Estados;33
PIBSDE;1986-01-01T00:00:00-02:00;1552238.9600909;Estados;35
PIBSDE;1986-01-01T00:00:00-02:00;2752198.709414624;Regiões;3
PIBSDE;1986-01-01T00:00:00-02:00;4403114.91780654;Brasil;0
PIBSDE;1987-01-01T00:00:00-02:00;1101.6661554938;Estados;14
PIBSDE;1987-01-01T00:00:00-02:00;2839.3638010225;Estados;16
PIBSDE;1987-01-01T00:00:00-02:00;3065.6840910879;Estados;12
PIBSDE;1987-01-01T00:00:00-02:00;13588.7219141035;Estados;11
PIBSDE;1987-01-01T00:00:00-02:00;15298.6569479001;Estados;28
PIBSDE;1987-01-01T00:00:00-02:00;17064.6940878831;Estados;22
PIBSDE;1987-01-01T00:00:00-02:00;22542.595312696;Estados;13
PIBSDE;1987-01-01T00:00:00-02:00;24459.6829977366;Estados;24
PIBSDE;1987-01-01T00:00:00-02:00;28280.1402168866;Estados;25
PIBSDE;1987-01-01T00:00:00-02:00;33187.1987897687;Estados;27
PIBSDE;1987-01-01T00:00:00-02:00;40294.6413008441;Estados;51
PIBSDE;1987-01-01T00:00:00-02:00;41050.099669667;Estados;21
PIBSDE;1987-01-01T00:00:00-02:00;46419.5478039133;Estados;32
PIBSDE;1987-01-01T00:00:00-02:00;51139.8838229769;Estados;15
PIBSDE;1987-01-01T00:00:00-02:00;55255.8602790102;Estados;50
PIBSDE;1987-01-01T00:00:00-02:00;72068.3084033447;Estados;23
PIBSDE;1987-01-01T00:00:00-02:00;86655.9290761044;Estados;42
PIBSDE;1987-01-01T00:00:00-02:00;89595.3070922843;Estados;53
PIBSDE;1987-01-01T00:00:00-02:00;94277.91509738061;Regiões;1
PIBSDE;1987-01-01T00:00:00-02:00;102240.001220343;Estados;26
PIBSDE;1987-01-01T00:00:00-02:00;137850.765013823;Estados;29
PIBSDE;1987-01-01T00:00:00-02:00;138025.797309564;Estados;52
PIBSDE;1987-01-01T00:00:00-02:00;223601.485731391;Estados;41
PIBSDE;1987-01-01T00:00:00-02:00;323171.60598170257;Regiões;5
PIBSDE;1987-01-01T00:00:00-02:00;354732.687072739;Estados;43
PIBSDE;1987-01-01T00:00:00-02:00;374025.00215124;Estados;31
PIBSDE;1987-01-01T00:00:00-02:00;471499.5473473528;Regiões;2
PIBSDE;1987-01-01T00:00:00-02:00;664990.1018802344;Regiões;4
PIBSDE;1987-01-01T00:00:00-02:00;676675.483090658;Estados;33
PIBSDE;1987-01-01T00:00:00-02:00;1231308.75831469;Estados;35
PIBSDE;1987-01-01T00:00:00-02:00;2328428.791360501;Regiões;3
PIBSDE;1987-01-01T00:00:00-02:00;3882367.9616671717;Brasil;0
PIBSDE;1988-01-01T00:00:00-02:00;1211.5742300629;Estados;14
PIBSDE;1988-01-01T00:00:00-02:00;3122.6338341587;Estados;16
PIBSDE;1988-01-01T00:00:00-02:00;3371.5330399808;Estados;12
PIBSDE;1988-01-01T00:00:00-02:00;15139.406410552;Estados;11
PIBSDE;1988-01-01T00:00:00-02:00;16352.6754596562;Estados;28
PIBSDE;1988-01-01T00:00:00-02:00;18631.8509395101;Estados;22
PIBSDE;1988-01-01T00:00:00-02:00;22781.916345362;Estados;24
PIBSDE;1988-01-01T00:00:00-02:00;24791.5645074508;Estados;13
PIBSDE;1988-01-01T00:00:00-02:00;34910.343299308;Estados;21
PIBSDE;1988-01-01T00:00:00-02:00;35473.6689025943;Estados;27
PIBSDE;1988-01-01T00:00:00-02:00;36547.3460769939;Estados;25
PIBSDE;1988-01-01T00:00:00-02:00;47727.1005057244;Estados;32
PIBSDE;1988-01-01T00:00:00-02:00;50782.5876906396;Estados;51
PIBSDE;1988-01-01T00:00:00-02:00;56241.8706060355;Estados;15
PIBSDE;1988-01-01T00:00:00-02:00;65589.9223364622;Estados;50
PIBSDE;1988-01-01T00:00:00-02:00;72818.9327058701;Estados;23
PIBSDE;1988-01-01T00:00:00-02:00;88189.0900796523;Estados;42
PIBSDE;1988-01-01T00:00:00-02:00;102486.005808665;Estados;53
PIBSDE;1988-01-01T00:00:00-02:00;103878.58262824069;Regiões;1
PIBSDE;1988-01-01T00:00:00-02:00;106585.857226987;Estados;26
PIBSDE;1988-01-01T00:00:00-02:00;133939.336467463;Estados;52
PIBSDE;1988-01-01T00:00:00-02:00;172548.470664382;Estados;29
PIBSDE;1988-01-01T00:00:00-02:00;225879.434080744;Estados;41
PIBSDE;1988-01-01T00:00:00-02:00;345260.376842266;Estados;43
PIBSDE;1988-01-01T00:00:00-02:00;352797.8523032298;Regiões;5
PIBSDE;1988-01-01T00:00:00-02:00;383751.472246696;Estados;31
PIBSDE;1988-01-01T00:00:00-02:00;516651.0616206637;Regiões;2
PIBSDE;1988-01-01T00:00:00-02:00;659328.9010026623;Regiões;4
PIBSDE;1988-01-01T00:00:00-02:00;686907.055845927;Estados;33
PIBSDE;1988-01-01T00:00:00-02:00;1262295.60753802;Estados;35
PIBSDE;1988-01-01T00:00:00-02:00;2380681.2361363675;Regiões;3
PIBSDE;1988-01-01T00:00:00-02:00;4013337.6336911637;Brasil;0
PIBSDE;1989-01-01T00:00:00-02:00;1300.9545819417;Estados;14
PIBSDE;1989-01-01T00:00:00-02:00;3352.9970293806;Estados;16
PIBSDE;1989-01-01T00:00:00-02:00;3620.2580475018;Estados;12
PIBSDE;1989-01-01T00:00:00-02:00;14948.7188634453;Estados;17
