SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBSEE;1939-01-01T00:00:00-02:00;0.0;Estados;53
PIBSEE;1939-01-01T00:00:00-02:00;139344.715458655;Estados;52
PIBSEE;1939-01-01T00:00:00-02:00;141847.232797504;Estados;28
PIBSEE;1939-01-01T00:00:00-02:00;144918.504077001;Estados;22
PIBSEE;1939-01-01T00:00:00-02:00;174266.207414415;Estados;27
PIBSEE;1939-01-01T00:00:00-02:00;177109.977117653;Estados;51
PIBSEE;1939-01-01T00:00:00-02:00;177451.229482042;Estados;24
PIBSEE;1939-01-01T00:00:00-02:00;189508.81302377;Estados;21
PIBSEE;1939-01-01T00:00:00-02:00;217832.759268019;Estados;13
PIBSEE;1939-01-01T00:00:00-02:00;234781.626699317;Estados;32
PIBSEE;1939-01-01T00:00:00-02:00;278461.929341051;Estados;25
PIBSEE;1939-01-01T00:00:00-02:00;316454.69257630804;Regiões;5
PIBSEE;1939-01-01T00:00:00-02:00;382998.903632074;Estados;15
PIBSEE;1939-01-01T00:00:00-02:00;394487.733233155;Estados;42
PIBSEE;1939-01-01T00:00:00-02:00;471497.016796836;Estados;23
PIBSEE;1939-01-01T00:00:00-02:00;536676.218395048;Estados;41
PIBSEE;1939-01-01T00:00:00-02:00;600831.662900093;Regiões;1
PIBSEE;1939-01-01T00:00:00-02:00;1052422.29177426;Estados;26
PIBSEE;1939-01-01T00:00:00-02:00;1055834.81541815;Estados;29
PIBSEE;1939-01-01T00:00:00-02:00;2051040.46076327;Estados;31
PIBSEE;1939-01-01T00:00:00-02:00;2254654.3715151;Estados;43
PIBSEE;1939-01-01T00:00:00-02:00;3185818.3231433025;Regiões;4
PIBSEE;1939-01-01T00:00:00-02:00;3686208.0401250296;Regiões;2
PIBSEE;1939-01-01T00:00:00-02:00;6497672.51953411;Estados;33
PIBSEE;1939-01-01T00:00:00-02:00;8040701.96051097;Estados;35
PIBSEE;1939-01-01T00:00:00-02:00;16824196.567507666;Regiões;3
PIBSEE;1939-01-01T00:00:00-02:00;24613509.286252398;Brasil;0
PIBSEE;1947-01-01T00:00:00-02:00;0.0;Estados;53
PIBSEE;1947-01-01T00:00:00-02:00;159802.984605638;Estados;28
PIBSEE;1947-01-01T00:00:00-02:00;187440.568417145;Estados;22
PIBSEE;1947-01-01T00:00:00-02:00;198660.602442114;Estados;51
PIBSEE;1947-01-01T00:00:00-02:00;201919.362324367;Estados;52
PIBSEE;1947-01-01T00:00:00-02:00;224194.429873939;Estados;27
PIBSEE;1947-01-01T00:00:00-02:00;228319.44238312;Estados;21
PIBSEE;1947-01-01T00:00:00-02:00;245809.495422043;Estados;24
PIBSEE;1947-01-01T00:00:00-02:00;305910.927680798;Estados;13
PIBSEE;1947-01-01T00:00:00-02:00;315563.456952279;Estados;25
PIBSEE;1947-01-01T00:00:00-02:00;325092.235848485;Estados;32
PIBSEE;1947-01-01T00:00:00-02:00;400579.96476648096;Regiões;5
PIBSEE;1947-01-01T00:00:00-02:00;488030.2299611;Estados;15
PIBSEE;1947-01-01T00:00:00-02:00;555556.684736379;Estados;23
PIBSEE;1947-01-01T00:00:00-02:00;588144.283558902;Estados;42
PIBSEE;1947-01-01T00:00:00-02:00;793941.1576418979;Regiões;1
PIBSEE;1947-01-01T00:00:00-02:00;880813.921085232;Estados;41
PIBSEE;1947-01-01T00:00:00-02:00;1249507.53915575;Estados;26
PIBSEE;1947-01-01T00:00:00-02:00;1264192.58368843;Estados;29
PIBSEE;1947-01-01T00:00:00-02:00;2710793.22053281;Estados;43
PIBSEE;1947-01-01T00:00:00-02:00;2764335.88290197;Estados;31
PIBSEE;1947-01-01T00:00:00-02:00;4179751.4251769437;Regiões;4
PIBSEE;1947-01-01T00:00:00-02:00;4430387.185234724;Regiões;2
PIBSEE;1947-01-01T00:00:00-02:00;7954220.37132694;Estados;33
PIBSEE;1947-01-01T00:00:00-02:00;9484888.76310841;Estados;35
PIBSEE;1947-01-01T00:00:00-02:00;20528537.253185805;Regiões;3
PIBSEE;1947-01-01T00:00:00-02:00;30333196.986005846;Brasil;0
PIBSEE;1948-01-01T00:00:00-02:00;160468.360704446;Estados;22
PIBSEE;1948-01-01T00:00:00-02:00;168226.67066076;Estados;28
PIBSEE;1948-01-01T00:00:00-02:00;221989.029604256;Estados;52
PIBSEE;1948-01-01T00:00:00-02:00;237856.527856615;Estados;27
PIBSEE;1948-01-01T00:00:00-02:00;239805.851966242;Estados;51
PIBSEE;1948-01-01T00:00:00-02:00;252710.377571969;Estados;21
PIBSEE;1948-01-01T00:00:00-02:00;255829.296147371;Estados;24
PIBSEE;1948-01-01T00:00:00-02:00;292827.46774808;Estados;13
PIBSEE;1948-01-01T00:00:00-02:00;339845.165272269;Estados;32
PIBSEE;1948-01-01T00:00:00-02:00;352320.839573879;Estados;25
PIBSEE;1948-01-01T00:00:00-02:00;461794.881570498;Regiões;5
