SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBTAE;1985-01-01T00:00:00-02:00;14147.5296974553;Estados;14
PIBTAE;1985-01-01T00:00:00-02:00;36987.0559440691;Estados;12
PIBTAE;1985-01-01T00:00:00-02:00;46176.4742415408;Estados;16
PIBTAE;1985-01-01T00:00:00-02:00;88851.8372732002;Estados;11
PIBTAE;1985-01-01T00:00:00-02:00;103099.394315028;Estados;22
PIBTAE;1985-01-01T00:00:00-02:00;149502.630389531;Estados;27
PIBTAE;1985-01-01T00:00:00-02:00;176522.920481417;Estados;24
PIBTAE;1985-01-01T00:00:00-02:00;185180.056509694;Estados;28
PIBTAE;1985-01-01T00:00:00-02:00;208017.350343939;Estados;25
PIBTAE;1985-01-01T00:00:00-02:00;229806.879367605;Estados;51
PIBTAE;1985-01-01T00:00:00-02:00;238193.005431232;Estados;21
PIBTAE;1985-01-01T00:00:00-02:00;316355.242023129;Estados;50
PIBTAE;1985-01-01T00:00:00-02:00;359585.828821737;Estados;13
PIBTAE;1985-01-01T00:00:00-02:00;436244.002705727;Estados;53
PIBTAE;1985-01-01T00:00:00-02:00;440895.908278619;Estados;23
PIBTAE;1985-01-01T00:00:00-02:00;494471.621373619;Estados;15
PIBTAE;1985-01-01T00:00:00-02:00;545366.251870937;Estados;52
PIBTAE;1985-01-01T00:00:00-02:00;651545.274021559;Estados;26
PIBTAE;1985-01-01T00:00:00-02:00;932101.16115335;Estados;42
PIBTAE;1985-01-01T00:00:00-02:00;982266.347767671;Estados;32
PIBTAE;1985-01-01T00:00:00-02:00;1038810.66905454;Estados;29
PIBTAE;1985-01-01T00:00:00-02:00;1040220.3473516214;Regiões;1
PIBTAE;1985-01-01T00:00:00-02:00;1527772.3759673978;Regiões;5
PIBTAE;1985-01-01T00:00:00-02:00;1819134.46111485;Estados;41
PIBTAE;1985-01-01T00:00:00-02:00;2089427.08753449;Estados;43
PIBTAE;1985-01-01T00:00:00-02:00;2416051.73121601;Estados;31
PIBTAE;1985-01-01T00:00:00-02:00;3191767.208825559;Regiões;2
PIBTAE;1985-01-01T00:00:00-02:00;3834226.27901569;Estados;33
PIBTAE;1985-01-01T00:00:00-02:00;4840662.70980269;Regiões;4
PIBTAE;1985-01-01T00:00:00-02:00;6262197.95970302;Estados;35
PIBTAE;1985-01-01T00:00:00-02:00;13494742.31770239;Regiões;3
PIBTAE;1985-01-01T00:00:00-02:00;24095164.95964966;Brasil;0
PIBTAE;1986-01-01T00:00:00-02:00;18393.1356539517;Estados;14
PIBTAE;1986-01-01T00:00:00-02:00;38621.9826899647;Estados;12
PIBTAE;1986-01-01T00:00:00-02:00;53313.1880106011;Estados;16
PIBTAE;1986-01-01T00:00:00-02:00;107305.716187587;Estados;11
PIBTAE;1986-01-01T00:00:00-02:00;130437.140959065;Estados;22
