SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBTE;1939-01-01T00:00:00-02:00;0.0;Estados;53
PIBTE;1939-01-01T00:00:00-02:00;9213.8138384907;Estados;22
PIBTE;1939-01-01T00:00:00-02:00;11830.0819654695;Estados;52
PIBTE;1939-01-01T00:00:00-02:00;18313.8768888518;Estados;25
PIBTE;1939-01-01T00:00:00-02:00;19906.387922665;Estados;27
PIBTE;1939-01-01T00:00:00-02:00;19906.387922665;Estados;28
PIBTE;1939-01-01T00:00:00-02:00;23660.163930939;Estados;21
PIBTE;1939-01-01T00:00:00-02:00;27300.1891510834;Estados;24
PIBTE;1939-01-01T00:00:00-02:00;29347.7033374147;Estados;51
PIBTE;1939-01-01T00:00:00-02:00;30598.9620068393;Estados;13
PIBTE;1939-01-01T00:00:00-02:00;31963.9714643935;Estados;32
PIBTE;1939-01-01T00:00:00-02:00;40836.5329384956;Estados;23
PIBTE;1939-01-01T00:00:00-02:00;41177.7853028842;Regiões;5
PIBTE;1939-01-01T00:00:00-02:00;45614.0660399352;Estados;15
PIBTE;1939-01-01T00:00:00-02:00;76213.0280467745;Regiões;1
PIBTE;1939-01-01T00:00:00-02:00;76781.7819874222;Estados;41
PIBTE;1939-01-01T00:00:00-02:00;76895.5327755517;Estados;42
PIBTE;1939-01-01T00:00:00-02:00;110907.018426276;Estados;29
PIBTE;1939-01-01T00:00:00-02:00;111020.769214405;Estados;26
PIBTE;1939-01-01T00:00:00-02:00;183252.519676647;Estados;31
PIBTE;1939-01-01T00:00:00-02:00;225454.062072697;Estados;43
PIBTE;1939-01-01T00:00:00-02:00;379131.3768356709;Regiões;4
PIBTE;1939-01-01T00:00:00-02:00;381065.14023387147;Regiões;2
PIBTE;1939-01-01T00:00:00-02:00;798530.53266919;Estados;33
PIBTE;1939-01-01T00:00:00-02:00;1032402.15306347;Estados;35
PIBTE;1939-01-01T00:00:00-02:00;2046149.1768737007;Regiões;3
PIBTE;1939-01-01T00:00:00-02:00;2923736.5072929016;Brasil;0
PIBTE;1947-01-01T00:00:00-02:00;0.0;Estados;53
PIBTE;1947-01-01T00:00:00-02:00;14272.5432817632;Estados;22
PIBTE;1947-01-01T00:00:00-02:00;23966.3226783365;Estados;52
PIBTE;1947-01-01T00:00:00-02:00;26400.0800587528;Estados;27
