SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PIBVRAE;1947-01-01T00:00:00-02:00;-9.8738823304;Estados;21
PIBVRAE;1947-01-01T00:00:00-02:00;10.7000872725;Estados;52
PIBVRAE;1947-01-01T00:00:00-02:00;10.7284761829;Estados;51
PIBVRAE;1947-01-01T00:00:00-02:00;12.938652972;Estados;22
PIBVRAE;1947-01-01T00:00:00-02:00;18.9178967071;Estados;15
PIBVRAE;1947-01-01T00:00:00-02:00;23.4812049969;Estados;23
PIBVRAE;1947-01-01T00:00:00-02:00;24.4001122403;Estados;33
PIBVRAE;1947-01-01T00:00:00-02:00;27.0646003459;Estados;26
PIBVRAE;1947-01-01T00:00:00-02:00;29.8380086784;Estados;28
PIBVRAE;1947-01-01T00:00:00-02:00;30.5865337757;Estados;13
PIBVRAE;1947-01-01T00:00:00-02:00;34.624220784;Estados;29
PIBVRAE;1947-01-01T00:00:00-02:00;35.3422221662;Estados;43
PIBVRAE;1947-01-01T00:00:00-02:00;35.4701180523;Estados;32
PIBVRAE;1947-01-01T00:00:00-02:00;44.654025476;Estados;25
PIBVRAE;1947-01-01T00:00:00-02:00;45.1483330345;Estados;35
PIBVRAE;1947-01-01T00:00:00-02:00;50.6090747082;Estados;27
PIBVRAE;1947-01-01T00:00:00-02:00;53.7121548053;Estados;24
PIBVRAE;1947-01-01T00:00:00-02:00;59.0789280141;Estados;31
PIBVRAE;1947-01-01T00:00:00-02:00;83.2836233003;Estados;42
PIBVRAE;1947-01-01T00:00:00-02:00;84.3727743323;Estados;41
PIBVRAE;1948-01-01T00:00:00-02:00;-21.5187994842;Estados;22
PIBVRAE;1948-01-01T00:00:00-02:00;-9.9407549411;Estados;13
PIBVRAE;1948-01-01T00:00:00-02:00;-1.7355298583;Estados;15
PIBVRAE;1948-01-01T00:00:00-02:00;1.2944951768;Estados;43
PIBVRAE;1948-01-01T00:00:00-02:00;1.5711534047;Estados;42
PIBVRAE;1948-01-01T00:00:00-02:00;2.9997609609;Estados;29
PIBVRAE;1948-01-01T00:00:00-02:00;5.1244403504;Estados;32
PIBVRAE;1948-01-01T00:00:00-02:00;5.2361106714;Estados;24
PIBVRAE;1948-01-01T00:00:00-02:00;5.7407590149;Estados;27
PIBVRAE;1948-01-01T00:00:00-02:00;7.1126668142;Estados;28
PIBVRAE;1948-01-01T00:00:00-02:00;7.7844061424;Estados;23
PIBVRAE;1948-01-01T00:00:00-02:00;10.0023267465;Estados;33
PIBVRAE;1948-01-01T00:00:00-02:00;10.0321859628;Estados;26
PIBVRAE;1948-01-01T00:00:00-02:00;11.1294636607;Estados;31
PIBVRAE;1948-01-01T00:00:00-02:00;11.9074124293;Estados;52
PIBVRAE;1948-01-01T00:00:00-02:00;13.333651498;Estados;35
PIBVRAE;1948-01-01T00:00:00-02:00;15.3101392274;Estados;21
PIBVRAE;1948-01-01T00:00:00-02:00;17.4263827387;Estados;25
PIBVRAE;1948-01-01T00:00:00-02:00;18.5482699353;Estados;41
PIBVRAE;1948-01-01T00:00:00-02:00;35.8260888511;Estados;51
PIBVRAE;1949-01-01T00:00:00-02:00;-11.8918415132;Estados;15
PIBVRAE;1949-01-01T00:00:00-02:00;-8.9144584937;Estados;21
PIBVRAE;1949-01-01T00:00:00-02:00;-2.2942310176;Estados;51
PIBVRAE;1949-01-01T00:00:00-02:00;-1.7546181809;Estados;22
PIBVRAE;1949-01-01T00:00:00-02:00;0.1528944022;Estados;29
