SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
PRECOS12_IPCASC12;1980-10-01T00:00:00-03:00;5.9;;
PRECOS12_IPCASC12;1980-11-01T00:00:00-03:00;4.43;;
PRECOS12_IPCASC12;1980-12-01T00:00:00-02:00;3.93;;
PRECOS12_IPCASC12;1981-01-01T00:00:00-02:00;4.38;;
PRECOS12_IPCASC12;1981-02-01T00:00:00-02:00;4.62;;
PRECOS12_IPCASC12;1981-03-01T00:00:00-03:00;8.23;;
PRECOS12_IPCASC12;1981-04-01T00:00:00-03:00;10.57;;
PRECOS12_IPCASC12;1981-05-01T00:00:00-03:00;8.27;;
PRECOS12_IPCASC12;1981-06-01T00:00:00-03:00;6.11;;
PRECOS12_IPCASC12;1981-07-01T00:00:00-03:00;7.24;;
PRECOS12_IPCASC12;1981-08-01T00:00:00-03:00;5.94;;
PRECOS12_IPCASC12;1981-09-01T00:00:00-03:00;10.09;;
PRECOS12_IPCASC12;1981-10-01T00:00:00-03:00;5.15;;
PRECOS12_IPCASC12;1981-11-01T00:00:00-03:00;4.1;;
PRECOS12_IPCASC12;1981-12-01T00:00:00-02:00;5.42;;
PRECOS12_IPCASC12;1982-01-01T00:00:00-02:00;7.35;;
PRECOS12_IPCASC12;1982-02-01T00:00:00-02:00;4.83;;
PRECOS12_IPCASC12;1982-03-01T00:00:00-03:00;6.61;;
PRECOS12_IPCASC12;1982-04-01T00:00:00-03:00;6.33;;
PRECOS12_IPCASC12;1982-05-01T00:00:00-03:00;5.23;;
PRECOS12_IPCASC12;1982-06-01T00:00:00-03:00;7.45;;
PRECOS12_IPCASC12;1982-07-01T00:00:00-03:00;5.87;;
PRECOS12_IPCASC12;1982-08-01T00:00:00-03:00;4.33;;
PRECOS12_IPCASC12;1982-09-01T00:00:00-03:00;4.01;;
PRECOS12_IPCASC12;1982-10-01T00:00:00-03:00;4.91;;
PRECOS12_IPCASC12;1982-11-01T00:00:00-03:00;7.92;;
PRECOS12_IPCASC12;1982-12-01T00:00:00-02:00;7.21;;
PRECOS12_IPCASC12;1983-01-01T00:00:00-02:00;9.9;;
PRECOS12_IPCASC12;1983-02-01T00:00:00-02:00;4.44;;
PRECOS12_IPCASC12;1983-03-01T00:00:00-03:00;7.74;;
PRECOS12_IPCASC12;1983-04-01T00:00:00-03:00;11.3;;
PRECOS12_IPCASC12;1983-05-01T00:00:00-03:00;7.7;;
PRECOS12_IPCASC12;1983-06-01T00:00:00-03:00;8.71;;
PRECOS12_IPCASC12;1983-07-01T00:00:00-03:00;8.69;;
PRECOS12_IPCASC12;1983-08-01T00:00:00-03:00;7.71;;
PRECOS12_IPCASC12;1983-09-01T00:00:00-03:00;10.61;;
