SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
SCN104_PIBAGPV104;1996-01-01T00:00:00-02:00;10053.714738613;;
SCN104_PIBAGPV104;1996-04-01T00:00:00-03:00;10702.7171400929;;
SCN104_PIBAGPV104;1996-07-01T00:00:00-03:00;11096.0401252453;;
SCN104_PIBAGPV104;1996-10-01T00:00:00-03:00;8906.17167571527;;
SCN104_PIBAGPV104;1997-01-01T00:00:00-02:00;12337.9249778654;;
SCN104_PIBAGPV104;1997-04-01T00:00:00-03:00;11625.102240346;;
SCN104_PIBAGPV104;1997-07-01T00:00:00-03:00;10871.3402877539;;
SCN104_PIBAGPV104;1997-10-01T00:00:00-03:00;9771.45905532614;;
SCN104_PIBAGPV104;1998-01-01T00:00:00-02:00;11868.8393526043;;
SCN104_PIBAGPV104;1998-04-01T00:00:00-03:00;14201.6840427963;;
SCN104_PIBAGPV104;1998-07-01T00:00:00-03:00;13142.7177353768;;
SCN104_PIBAGPV104;1998-10-01T00:00:00-03:00;8398.88121049034;;
SCN104_PIBAGPV104;1999-01-01T00:00:00-02:00;14190.1786244779;;
SCN104_PIBAGPV104;1999-04-01T00:00:00-03:00;13487.2792682101;;
SCN104_PIBAGPV104;1999-07-01T00:00:00-03:00;11736.0064417631;;
SCN104_PIBAGPV104;1999-10-01T00:00:00-03:00;11121.3626429606;;
SCN104_PIBAGPV104;2000-01-01T00:00:00-02:00;16346.8580165082;;
SCN104_PIBAGPV104;2000-04-01T00:00:00-03:00;15217.7527236242;;
SCN104_PIBAGPV104;2000-07-01T00:00:00-03:00;15177.7353591892;;
SCN104_PIBAGPV104;2000-10-01T00:00:00-03:00;10220.0427592113;;
SCN104_PIBAGPV104;2001-01-01T00:00:00-02:00;17485.3843022874;;
SCN104_PIBAGPV104;2001-04-01T00:00:00-03:00;17314.1997146302;;
SCN104_PIBAGPV104;2001-07-01T00:00:00-03:00;14694.4990941225;;
SCN104_PIBAGPV104;2001-10-01T00:00:00-03:00;13675.9029237765;;
SCN104_PIBAGPV104;2002-01-01T00:00:00-02:00;22074.1285108623;;
SCN104_PIBAGPV104;2002-04-01T00:00:00-03:00;21534.0924260603;;
SCN104_PIBAGPV104;2002-07-01T00:00:00-03:00;21462.8338604399;;
SCN104_PIBAGPV104;2002-10-01T00:00:00-03:00;16444.140020752;;
SCN104_PIBAGPV104;2003-01-01T00:00:00-02:00;30849.5459841958;;
SCN104_PIBAGPV104;2003-04-01T00:00:00-03:00;29204.9002095588;;
SCN104_PIBAGPV104;2003-07-01T00:00:00-03:00;25417.6060863937;;
SCN104_PIBAGPV104;2003-10-01T00:00:00-03:00;20477.1163518347;;
SCN104_PIBAGPV104;2004-01-01T00:00:00-02:00;34343.3601193194;;
SCN104_PIBAGPV104;2004-04-01T00:00:00-03:00;34585.3227830815;;
SCN104_PIBAGPV104;2004-07-01T00:00:00-03:00;25123.536531419;;
SCN104_PIBAGPV104;2004-10-01T00:00:00-03:00;16860.4866788741;;
SCN104_PIBAGPV104;2005-01-01T00:00:00-02:00;27588.6485128084;;
SCN104_PIBAGPV104;2005-04-01T00:00:00-03:00;27174.0044462208;;
SCN104_PIBAGPV104;2005-07-01T00:00:00-03:00;26472.2115779548;;
SCN104_PIBAGPV104;2005-10-01T00:00:00-03:00;19722.685163016;;
SCN104_PIBAGPV104;2006-01-01T00:00:00-02:00;28065.4038464969;;
SCN104_PIBAGPV104;2006-04-01T00:00:00-03:00;26201.0702151623;;
SCN104_PIBAGPV104;2006-07-01T00:00:00-03:00;28661.8801235371;;
SCN104_PIBAGPV104;2006-10-01T00:00:00-03:00;22365.6622148036;;
SCN104_PIBAGPV104;2007-01-01T00:00:00-02:00;34345.9750067692;;
SCN104_PIBAGPV104;2007-04-01T00:00:00-03:00;32718.0008459897;;
SCN104_PIBAGPV104;2007-07-01T00:00:00-03:00;29821.2260278424;;
SCN104_PIBAGPV104;2007-10-01T00:00:00-03:00;23266.5117193988;;
SCN104_PIBAGPV104;2008-01-01T00:00:00-02:00;42412.6710807431;;
SCN104_PIBAGPV104;2008-04-01T00:00:00-03:00;43288.9632084857;;
SCN104_PIBAGPV104;2008-07-01T00:00:00-03:00;34034.6745281896;;
SCN104_PIBAGPV104;2008-10-01T00:00:00-03:00;22314.8683825816;;
SCN104_PIBAGPV104;2009-01-01T00:00:00-02:00;41178.0632619925;;
SCN104_PIBAGPV104;2009-04-01T00:00:00-03:00;40931.073192817;;
SCN104_PIBAGPV104;2009-07-01T00:00:00-03:00;37986.2370241958;;
SCN104_PIBAGPV104;2009-10-01T00:00:00-03:00;29117.2655209944;;
SCN104_PIBAGPV104;2010-01-01T00:00:00-02:00;43763.3194433697;;
SCN104_PIBAGPV104;2010-04-01T00:00:00-03:00;40361.8284680748;;
SCN104_PIBAGPV104;2010-07-01T00:00:00-03:00;41883.8766898296;;
SCN104_PIBAGPV104;2010-10-01T00:00:00-03:00;33922.9753987259;;
SCN104_PIBAGPV104;2011-01-01T00:00:00-02:00;53738.2331057697;;
SCN104_PIBAGPV104;2011-04-01T00:00:00-03:00;53827.9813511679;;
SCN104_PIBAGPV104;2011-07-01T00:00:00-03:00;48550.7792562324;;
SCN104_PIBAGPV104;2011-10-01T00:00:00-03:00;33907.00628683;;
SCN104_PIBAGPV104;2012-01-01T00:00:00-02:00;54309.3503632258;;
SCN104_PIBAGPV104;2012-04-01T00:00:00-03:00;55518.2018268495;;
SCN104_PIBAGPV104;2012-07-01T00:00:00-03:00;51699.2870347509;;
SCN104_PIBAGPV104;2012-10-01T00:00:00-03:00;39168.1607751737;;
SCN104_PIBAGPV104;2013-01-01T00:00:00-02:00;70383.4616316243;;
SCN104_PIBAGPV104;2013-04-01T00:00:00-03:00;65606.9889857626;;
SCN104_PIBAGPV104;2013-07-01T00:00:00-03:00;58677.7932003458;;
SCN104_PIBAGPV104;2013-10-01T00:00:00-03:00;45621.756182267;;
SCN104_PIBAGPV104;2014-01-01T00:00:00-02:00;74129.8493625385;;
SCN104_PIBAGPV104;2014-04-01T00:00:00-03:00;72791.7482457188;;
SCN104_PIBAGPV104;2014-07-01T00:00:00-03:00;58877.2085906465;;
SCN104_PIBAGPV104;2014-10-01T00:00:00-03:00;44176.1938010962;;
SCN104_PIBAGPV104;2015-01-01T00:00:00-02:00;78611.9395550734;;
SCN104_PIBAGPV104;2015-04-01T00:00:00-03:00;72136.277579044;;
SCN104_PIBAGPV104;2015-07-01T00:00:00-03:00;61121.0115282343;;
SCN104_PIBAGPV104;2015-10-01T00:00:00-03:00;47097.7713376478;;
SCN104_PIBAGPV104;2016-01-01T00:00:00-02:00;87615.248698826;;
SCN104_PIBAGPV104;2016-04-01T00:00:00-03:00;88519.4406915827;;
SCN104_PIBAGPV104;2016-07-01T00:00:00-03:00;76339.2901381094;;
SCN104_PIBAGPV104;2016-10-01T00:00:00-03:00;54181.020471481;;
SCN104_PIBAGPV104;2017-01-01T00:00:00-02:00;98375.8489582573;;
SCN104_PIBAGPV104;2017-04-01T00:00:00-03:00;84653.8889716893;;
SCN104_PIBAGPV104;2017-07-01T00:00:00-03:00;70214.8653601643;;
SCN104_PIBAGPV104;2017-10-01T00:00:00-03:00;49726.3967098885;;
SCN104_PIBAGPV104;2018-01-01T00:00:00-02:00;95644.6045572218;;
SCN104_PIBAGPV104;2018-04-01T00:00:00-03:00;93007.1059319323;;
SCN104_PIBAGPV104;2018-07-01T00:00:00-03:00;65452.4087430863;;
SCN104_PIBAGPV104;2018-10-01T00:00:00-03:00;50296.7226677593;;
SCN104_PIBAGPV104;2019-01-01T00:00:00-02:00;92218.3083729628;;
SCN104_PIBAGPV104;2019-04-01T00:00:00-03:00;90078.1233847328;;
SCN104_PIBAGPV104;2019-07-01T00:00:00-03:00;79681.7192860903;;
SCN104_PIBAGPV104;2019-10-01T00:00:00-03:00;59978.603504565;;
