SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
SCN104_PIBIEXV104;1996-01-01T00:00:00-02:00;1763.49646518621;;
SCN104_PIBIEXV104;1996-04-01T00:00:00-03:00;1369.17016053065;;
SCN104_PIBIEXV104;1996-07-01T00:00:00-03:00;1323.54552476894;;
SCN104_PIBIEXV104;1996-10-01T00:00:00-03:00;1457.30502706349;;
SCN104_PIBIEXV104;1997-01-01T00:00:00-02:00;1492.97699116476;;
SCN104_PIBIEXV104;1997-04-01T00:00:00-03:00;1446.95269709552;;
SCN104_PIBIEXV104;1997-07-01T00:00:00-03:00;1424.72066088605;;
SCN104_PIBIEXV104;1997-10-01T00:00:00-03:00;1655.5427260314;;
SCN104_PIBIEXV104;1998-01-01T00:00:00-02:00;1383.17955797243;;
SCN104_PIBIEXV104;1998-04-01T00:00:00-03:00;1122.2193815589;;
SCN104_PIBIEXV104;1998-07-01T00:00:00-03:00;1354.27404918568;;
SCN104_PIBIEXV104;1998-10-01T00:00:00-03:00;1632.38695393967;;
SCN104_PIBIEXV104;1999-01-01T00:00:00-02:00;1560.17114208014;;
SCN104_PIBIEXV104;1999-04-01T00:00:00-03:00;1562.18913640056;;
SCN104_PIBIEXV104;1999-07-01T00:00:00-03:00;2242.77453057832;;
SCN104_PIBIEXV104;1999-10-01T00:00:00-03:00;2601.45620153563;;
SCN104_PIBIEXV104;2000-01-01T00:00:00-02:00;2956.3757078274;;
SCN104_PIBIEXV104;2000-04-01T00:00:00-03:00;2842.52538819275;;
SCN104_PIBIEXV104;2000-07-01T00:00:00-03:00;3661.27572874944;;
SCN104_PIBIEXV104;2000-10-01T00:00:00-03:00;4767.06522696851;;
SCN104_PIBIEXV104;2001-01-01T00:00:00-02:00;3805.52357386531;;
SCN104_PIBIEXV104;2001-04-01T00:00:00-03:00;4162.83666406632;;
SCN104_PIBIEXV104;2001-07-01T00:00:00-03:00;5453.23273983742;;
SCN104_PIBIEXV104;2001-10-01T00:00:00-03:00;4754.81402913555;;
SCN104_PIBIEXV104;2002-01-01T00:00:00-02:00;3307.94428581577;;
SCN104_PIBIEXV104;2002-04-01T00:00:00-03:00;4042.36997452666;;
SCN104_PIBIEXV104;2002-07-01T00:00:00-03:00;7651.48132301415;;
SCN104_PIBIEXV104;2002-10-01T00:00:00-03:00;10739.0583595954;;
SCN104_PIBIEXV104;2003-01-01T00:00:00-02:00;8577.39738881817;;
SCN104_PIBIEXV104;2003-04-01T00:00:00-03:00;5374.89994615101;;
SCN104_PIBIEXV104;2003-07-01T00:00:00-03:00;8137.45693727004;;
SCN104_PIBIEXV104;2003-10-01T00:00:00-03:00;10235.264453006;;
SCN104_PIBIEXV104;2004-01-01T00:00:00-02:00;7078.94420384972;;
SCN104_PIBIEXV104;2004-04-01T00:00:00-03:00;10334.2731877305;;
SCN104_PIBIEXV104;2004-07-01T00:00:00-03:00;12357.0776175983;;
SCN104_PIBIEXV104;2004-10-01T00:00:00-03:00;11057.4791016981;;
SCN104_PIBIEXV104;2005-01-01T00:00:00-02:00;11467.7740339521;;
SCN104_PIBIEXV104;2005-04-01T00:00:00-03:00;14011.6553981563;;
SCN104_PIBIEXV104;2005-07-01T00:00:00-03:00;15738.5693885768;;
SCN104_PIBIEXV104;2005-10-01T00:00:00-03:00;16805.1092093149;;
SCN104_PIBIEXV104;2006-01-01T00:00:00-02:00;17529.2367885724;;
SCN104_PIBIEXV104;2006-04-01T00:00:00-03:00;16718.5294282313;;
SCN104_PIBIEXV104;2006-07-01T00:00:00-03:00;20059.3738033145;;
SCN104_PIBIEXV104;2006-10-01T00:00:00-03:00;17705.5086298818;;
SCN104_PIBIEXV104;2007-01-01T00:00:00-02:00;15539.2241600377;;
SCN104_PIBIEXV104;2007-04-01T00:00:00-03:00;15624.0430573363;;
SCN104_PIBIEXV104;2007-07-01T00:00:00-03:00;17138.3860366451;;
SCN104_PIBIEXV104;2007-10-01T00:00:00-03:00;20285.6838659809;;
SCN104_PIBIEXV104;2008-01-01T00:00:00-02:00;18051.1379989827;;
SCN104_PIBIEXV104;2008-04-01T00:00:00-03:00;21446.8162750459;;
SCN104_PIBIEXV104;2008-07-01T00:00:00-03:00;30534.1571986121;;
SCN104_PIBIEXV104;2008-10-01T00:00:00-03:00;30256.0077273594;;
SCN104_PIBIEXV104;2009-01-01T00:00:00-02:00;17836.7369475202;;
SCN104_PIBIEXV104;2009-04-01T00:00:00-03:00;11596.0655989997;;
SCN104_PIBIEXV104;2009-07-01T00:00:00-03:00;14239.673655371;;
SCN104_PIBIEXV104;2009-10-01T00:00:00-03:00;19032.1449181092;;
SCN104_PIBIEXV104;2010-01-01T00:00:00-02:00;20678.7575329393;;
SCN104_PIBIEXV104;2010-04-01T00:00:00-03:00;26878.3044777997;;
SCN104_PIBIEXV104;2010-07-01T00:00:00-03:00;31515.9433470317;;
SCN104_PIBIEXV104;2010-10-01T00:00:00-03:00;30891.9946422292;;
SCN104_PIBIEXV104;2011-01-01T00:00:00-02:00;32700.3615458773;;
SCN104_PIBIEXV104;2011-04-01T00:00:00-03:00;39581.9548839944;;
SCN104_PIBIEXV104;2011-07-01T00:00:00-03:00;42122.988191335;;
SCN104_PIBIEXV104;2011-10-01T00:00:00-03:00;48161.6953787933;;
