SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
SCN104_PIBINDV104;1996-01-01T00:00:00-02:00;41473.5966108682;;
SCN104_PIBINDV104;1996-04-01T00:00:00-03:00;45839.3437034193;;
SCN104_PIBINDV104;1996-07-01T00:00:00-03:00;49010.7390467975;;
SCN104_PIBINDV104;1996-10-01T00:00:00-03:00;54631.4898480547;;
SCN104_PIBINDV104;1997-01-01T00:00:00-02:00;49072.1082355021;;
SCN104_PIBINDV104;1997-04-01T00:00:00-03:00;55635.7145503532;;
SCN104_PIBINDV104;1997-07-01T00:00:00-03:00;57089.0198565633;;
SCN104_PIBINDV104;1997-10-01T00:00:00-03:00;53319.5957181371;;
SCN104_PIBINDV104;1998-01-01T00:00:00-02:00;52454.9156794283;;
SCN104_PIBINDV104;1998-04-01T00:00:00-03:00;58382.5391057712;;
SCN104_PIBINDV104;1998-07-01T00:00:00-03:00;58111.5197204927;;
SCN104_PIBINDV104;1998-10-01T00:00:00-03:00;52758.9463005846;;
SCN104_PIBINDV104;1999-01-01T00:00:00-02:00;51004.2674684923;;
SCN104_PIBINDV104;1999-04-01T00:00:00-03:00;62477.6183856864;;
SCN104_PIBINDV104;1999-07-01T00:00:00-03:00;61144.780760769;;
SCN104_PIBINDV104;1999-10-01T00:00:00-03:00;61914.5854956828;;
SCN104_PIBINDV104;2000-01-01T00:00:00-02:00;62385.53519281;;
SCN104_PIBINDV104;2000-04-01T00:00:00-03:00;70463.4474758486;;
SCN104_PIBINDV104;2000-07-01T00:00:00-03:00;71089.1369731969;;
SCN104_PIBINDV104;2000-10-01T00:00:00-03:00;71932.4201343484;;
SCN104_PIBINDV104;2001-01-01T00:00:00-02:00;74964.9209540311;;
SCN104_PIBINDV104;2001-04-01T00:00:00-03:00;73981.3168473442;;
SCN104_PIBINDV104;2001-07-01T00:00:00-03:00;75781.7022510374;;
SCN104_PIBINDV104;2001-10-01T00:00:00-03:00;73152.8863520855;;
SCN104_PIBINDV104;2002-01-01T00:00:00-02:00;73584.8019322808;;
SCN104_PIBINDV104;2002-04-01T00:00:00-03:00;84312.6286324641;;
SCN104_PIBINDV104;2002-07-01T00:00:00-03:00;85894.3014647574;;
SCN104_PIBINDV104;2002-10-01T00:00:00-03:00;91115.8415767999;;
SCN104_PIBINDV104;2003-01-01T00:00:00-02:00;88505.6919996604;;
SCN104_PIBINDV104;2003-04-01T00:00:00-03:00;96082.2559686534;;
SCN104_PIBINDV104;2003-07-01T00:00:00-03:00;105419.29196854;;
SCN104_PIBINDV104;2003-10-01T00:00:00-03:00;106561.299782944;;
SCN104_PIBINDV104;2004-01-01T00:00:00-02:00;102779.25678018;;
SCN104_PIBINDV104;2004-04-01T00:00:00-03:00;117825.182725135;;
SCN104_PIBINDV104;2004-07-01T00:00:00-03:00;127076.15172998;;
SCN104_PIBINDV104;2004-10-01T00:00:00-03:00;128182.621066232;;
SCN104_PIBINDV104;2005-01-01T00:00:00-02:00;119602.178519453;;
SCN104_PIBINDV104;2005-04-01T00:00:00-03:00;133728.712436013;;
SCN104_PIBINDV104;2005-07-01T00:00:00-03:00;135195.537993756;;
SCN104_PIBINDV104;2005-10-01T00:00:00-03:00;136159.809260778;;
SCN104_PIBINDV104;2006-01-01T00:00:00-02:00;128089.662714671;;
SCN104_PIBINDV104;2006-04-01T00:00:00-03:00;139269.824245913;;
SCN104_PIBINDV104;2006-07-01T00:00:00-03:00;149671.32885543;;
SCN104_PIBINDV104;2006-10-01T00:00:00-03:00;150250.595963986;;
SCN104_PIBINDV104;2007-01-01T00:00:00-02:00;141043.797434663;;
SCN104_PIBINDV104;2007-04-01T00:00:00-03:00;155431.962451629;;
SCN104_PIBINDV104;2007-07-01T00:00:00-03:00;166711.61556634;;
SCN104_PIBINDV104;2007-10-01T00:00:00-03:00;165883.777117368;;
SCN104_PIBINDV104;2008-01-01T00:00:00-02:00;151285.619479348;;
