SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
SCN104_PIBSCOV104;1996-01-01T00:00:00-02:00;12754.6056257723;;
SCN104_PIBSCOV104;1996-04-01T00:00:00-03:00;14358.7806463259;;
SCN104_PIBSCOV104;1996-07-01T00:00:00-03:00;15788.165107766;;
SCN104_PIBSCOV104;1996-10-01T00:00:00-03:00;16917.5207102764;;
SCN104_PIBSCOV104;1997-01-01T00:00:00-02:00;14821.3620847937;;
SCN104_PIBSCOV104;1997-04-01T00:00:00-03:00;16218.3894541887;;
SCN104_PIBSCOV104;1997-07-01T00:00:00-03:00;17387.38445661;;
SCN104_PIBSCOV104;1997-10-01T00:00:00-03:00;17353.2975385441;;
SCN104_PIBSCOV104;1998-01-01T00:00:00-02:00;14963.2652987826;;
SCN104_PIBSCOV104;1998-04-01T00:00:00-03:00;16933.7871677546;;
SCN104_PIBSCOV104;1998-07-01T00:00:00-03:00;17431.7978599365;;
SCN104_PIBSCOV104;1998-10-01T00:00:00-03:00;16606.8350410708;;
SCN104_PIBSCOV104;1999-01-01T00:00:00-02:00;15395.2386392889;;
SCN104_PIBSCOV104;1999-04-01T00:00:00-03:00;17623.5574806675;;
SCN104_PIBSCOV104;1999-07-01T00:00:00-03:00;18216.7733890969;;
SCN104_PIBSCOV104;1999-10-01T00:00:00-03:00;20358.6976074824;;
SCN104_PIBSCOV104;2000-01-01T00:00:00-02:00;18518.723394393;;
SCN104_PIBSCOV104;2000-04-01T00:00:00-03:00;20038.878307418;;
SCN104_PIBSCOV104;2000-07-01T00:00:00-03:00;22196.489856991;;
SCN104_PIBSCOV104;2000-10-01T00:00:00-03:00;22877.2132285334;;
SCN104_PIBSCOV104;2001-01-01T00:00:00-02:00;21963.1580110516;;
SCN104_PIBSCOV104;2001-04-01T00:00:00-03:00;23239.1967698921;;
SCN104_PIBSCOV104;2001-07-01T00:00:00-03:00;23334.7192079593;;
SCN104_PIBSCOV104;2001-10-01T00:00:00-03:00;24863.7297952714;;
SCN104_PIBSCOV104;2002-01-01T00:00:00-02:00;19656.9429802933;;
SCN104_PIBSCOV104;2002-04-01T00:00:00-03:00;23406.853417576;;
SCN104_PIBSCOV104;2002-07-01T00:00:00-03:00;25908.9302868721;;
SCN104_PIBSCOV104;2002-10-01T00:00:00-03:00;29267.61495838;;
SCN104_PIBSCOV104;2003-01-01T00:00:00-02:00;31569.2149123922;;
SCN104_PIBSCOV104;2003-04-01T00:00:00-03:00;34668.6060124259;;
SCN104_PIBSCOV104;2003-07-01T00:00:00-03:00;35955.0563464274;;
SCN104_PIBSCOV104;2003-10-01T00:00:00-03:00;37899.3314868406;;
SCN104_PIBSCOV104;2004-01-01T00:00:00-02:00;36435.1285200726;;
SCN104_PIBSCOV104;2004-04-01T00:00:00-03:00;40146.1889565524;;
SCN104_PIBSCOV104;2004-07-01T00:00:00-03:00;43176.518274642;;
SCN104_PIBSCOV104;2004-10-01T00:00:00-03:00;44872.7914739071;;
SCN104_PIBSCOV104;2005-01-01T00:00:00-02:00;43767.6823031258;;
SCN104_PIBSCOV104;2005-04-01T00:00:00-03:00;49113.8962871865;;
SCN104_PIBSCOV104;2005-07-01T00:00:00-03:00;50937.7562772164;;
SCN104_PIBSCOV104;2005-10-01T00:00:00-03:00;54426.5377324712;;
SCN104_PIBSCOV104;2006-01-01T00:00:00-02:00;51574.6913105669;;
SCN104_PIBSCOV104;2006-04-01T00:00:00-03:00;54869.8713507243;;
SCN104_PIBSCOV104;2006-07-01T00:00:00-03:00;58949.6466320493;;
SCN104_PIBSCOV104;2006-10-01T00:00:00-03:00;63230.4195066593;;
SCN104_PIBSCOV104;2007-01-01T00:00:00-02:00;59837.6237119858;;
SCN104_PIBSCOV104;2007-04-01T00:00:00-03:00;65939.142998003;;
SCN104_PIBSCOV104;2007-07-01T00:00:00-03:00;70578.6883205422;;
SCN104_PIBSCOV104;2007-10-01T00:00:00-03:00;74443.0794694687;;
SCN104_PIBSCOV104;2008-01-01T00:00:00-02:00;69266.1027405404;;
SCN104_PIBSCOV104;2008-04-01T00:00:00-03:00;78837.8948372126;;
SCN104_PIBSCOV104;2008-07-01T00:00:00-03:00;87103.8918623202;;
SCN104_PIBSCOV104;2008-10-01T00:00:00-03:00;86901.066859927;;
SCN104_PIBSCOV104;2009-01-01T00:00:00-02:00;77957.2499456965;;
SCN104_PIBSCOV104;2009-04-01T00:00:00-03:00;87871.9730610939;;
SCN104_PIBSCOV104;2009-07-01T00:00:00-03:00;95956.5081145406;;
SCN104_PIBSCOV104;2009-10-01T00:00:00-03:00;100128.149178669;;
SCN104_PIBSCOV104;2010-01-01T00:00:00-02:00;93763.7213021138;;
SCN104_PIBSCOV104;2010-04-01T00:00:00-03:00;103672.413370007;;
SCN104_PIBSCOV104;2010-07-01T00:00:00-03:00;106645.539673135;;
SCN104_PIBSCOV104;2010-10-01T00:00:00-03:00;112147.325654744;;
SCN104_PIBSCOV104;2011-01-01T00:00:00-02:00;108848.297290733;;
SCN104_PIBSCOV104;2011-04-01T00:00:00-03:00;117526.874208815;;
SCN104_PIBSCOV104;2011-07-01T00:00:00-03:00;122824.578982965;;
SCN104_PIBSCOV104;2011-10-01T00:00:00-03:00;129042.249517487;;
SCN104_PIBSCOV104;2012-01-01T00:00:00-02:00;123485.360056087;;
SCN104_PIBSCOV104;2012-04-01T00:00:00-03:00;133580.575822125;;
SCN104_PIBSCOV104;2012-07-01T00:00:00-03:00;143922.618525445;;
SCN104_PIBSCOV104;2012-10-01T00:00:00-03:00;147350.445596343;;
SCN104_PIBSCOV104;2013-01-01T00:00:00-02:00;139084.729586236;;
SCN104_PIBSCOV104;2013-04-01T00:00:00-03:00;150892.730137812;;
SCN104_PIBSCOV104;2013-07-01T00:00:00-03:00;159080.792195179;;
SCN104_PIBSCOV104;2013-10-01T00:00:00-03:00;165028.748080772;;
SCN104_PIBSCOV104;2014-01-01T00:00:00-02:00;161759.479517371;;
SCN104_PIBSCOV104;2014-04-01T00:00:00-03:00;164025.23608758;;
SCN104_PIBSCOV104;2014-07-01T00:00:00-03:00;172392.950067317;;
