SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
SCN104_PIBSERV104;1996-01-01T00:00:00-02:00;112835.607558964;;
SCN104_PIBSERV104;1996-04-01T00:00:00-03:00;121690.430901691;;
SCN104_PIBSERV104;1996-07-01T00:00:00-03:00;134057.015979555;;
SCN104_PIBSERV104;1996-10-01T00:00:00-03:00;147000.778674283;;
SCN104_PIBSERV104;1997-01-01T00:00:00-02:00;130714.539682977;;
SCN104_PIBSERV104;1997-04-01T00:00:00-03:00;137028.327961516;;
SCN104_PIBSERV104;1997-07-01T00:00:00-03:00;148662.498970682;;
SCN104_PIBSERV104;1997-10-01T00:00:00-03:00;160615.077334668;;
SCN104_PIBSERV104;1998-01-01T00:00:00-02:00;142117.540739612;;
SCN104_PIBSERV104;1998-04-01T00:00:00-03:00;148554.350150546;;
SCN104_PIBSERV104;1998-07-01T00:00:00-03:00;156761.730085509;;
SCN104_PIBSERV104;1998-10-01T00:00:00-03:00;165189.219371257;;
SCN104_PIBSERV104;1999-01-01T00:00:00-02:00;151485.853251143;;
SCN104_PIBSERV104;1999-04-01T00:00:00-03:00;157083.055868466;;
SCN104_PIBSERV104;1999-07-01T00:00:00-03:00;164334.89558626;;
SCN104_PIBSERV104;1999-10-01T00:00:00-03:00;181937.663436893;;
SCN104_PIBSERV104;2000-01-01T00:00:00-02:00;160044.263513747;;
SCN104_PIBSERV104;2000-04-01T00:00:00-03:00;166882.091246779;;
SCN104_PIBSERV104;2000-07-01T00:00:00-03:00;178914.249721261;;
SCN104_PIBSERV104;2000-10-01T00:00:00-03:00;192652.844911661;;
SCN104_PIBSERV104;2001-01-01T00:00:00-02:00;173001.655195774;;
SCN104_PIBSERV104;2001-04-01T00:00:00-03:00;182907.32353167;;
SCN104_PIBSERV104;2001-07-01T00:00:00-03:00;192739.851712762;;
SCN104_PIBSERV104;2001-10-01T00:00:00-03:00;210722.230991991;;
SCN104_PIBSERV104;2002-01-01T00:00:00-02:00;195721.491263829;;
SCN104_PIBSERV104;2002-04-01T00:00:00-03:00;208326.494888477;;
SCN104_PIBSERV104;2002-07-01T00:00:00-03:00;217429.275975467;;
SCN104_PIBSERV104;2002-10-01T00:00:00-03:00;232314.618748168;;
SCN104_PIBSERV104;2003-01-01T00:00:00-02:00;217385.343105593;;
SCN104_PIBSERV104;2003-04-01T00:00:00-03:00;232389.137770721;;
SCN104_PIBSERV104;2003-07-01T00:00:00-03:00;247311.368254489;;
SCN104_PIBSERV104;2003-10-01T00:00:00-03:00;271113.682744839;;
SCN104_PIBSERV104;2004-01-01T00:00:00-02:00;242775.891454797;;
SCN104_PIBSERV104;2004-04-01T00:00:00-03:00;257770.963309945;;
SCN104_PIBSERV104;2004-07-01T00:00:00-03:00;274301.355836857;;
SCN104_PIBSERV104;2004-10-01T00:00:00-03:00;300357.978678191;;
SCN104_PIBSERV104;2005-01-01T00:00:00-02:00;275247.333788512;;
SCN104_PIBSERV104;2005-04-01T00:00:00-03:00;294767.65322344;;
SCN104_PIBSERV104;2005-07-01T00:00:00-03:00;308828.719730521;;
SCN104_PIBSERV104;2005-10-01T00:00:00-03:00;338330.906807527;;
SCN104_PIBSERV104;2006-01-01T00:00:00-02:00;313131.67630638;;
SCN104_PIBSERV104;2006-04-01T00:00:00-03:00;330663.45742024;;
SCN104_PIBSERV104;2006-07-01T00:00:00-03:00;349556.728906255;;
SCN104_PIBSERV104;2006-10-01T00:00:00-03:00;383362.698877124;;
SCN104_PIBSERV104;2007-01-01T00:00:00-02:00;363471.563674352;;
SCN104_PIBSERV104;2007-04-01T00:00:00-03:00;385914.616086731;;
SCN104_PIBSERV104;2007-07-01T00:00:00-03:00;392991.34333953;;
SCN104_PIBSERV104;2007-10-01T00:00:00-03:00;427927.885929387;;
SCN104_PIBSERV104;2008-01-01T00:00:00-02:00;405964.40675112;;
SCN104_PIBSERV104;2008-04-01T00:00:00-03:00;431586.027016131;;
SCN104_PIBSERV104;2008-07-01T00:00:00-03:00;448851.782696236;;
SCN104_PIBSERV104;2008-10-01T00:00:00-03:00;480117.129736513;;
SCN104_PIBSERV104;2009-01-01T00:00:00-02:00;453118.827350985;;
SCN104_PIBSERV104;2009-04-01T00:00:00-03:00;475783.524672046;;
SCN104_PIBSERV104;2009-07-01T00:00:00-03:00;500472.927963495;;
SCN104_PIBSERV104;2009-10-01T00:00:00-03:00;541952.820313474;;
SCN104_PIBSERV104;2010-01-01T00:00:00-02:00;516585.238080694;;
SCN104_PIBSERV104;2010-04-01T00:00:00-03:00;540506.257067816;;
SCN104_PIBSERV104;2010-07-01T00:00:00-03:00;562514.749098081;;
SCN104_PIBSERV104;2010-10-01T00:00:00-03:00;619143.75575341;;
SCN104_PIBSERV104;2011-01-01T00:00:00-02:00;578819.53566568;;
SCN104_PIBSERV104;2011-04-01T00:00:00-03:00;621996.133084165;;
SCN104_PIBSERV104;2011-07-01T00:00:00-03:00;633877.671601284;;
SCN104_PIBSERV104;2011-10-01T00:00:00-03:00;684709.65964887;;
SCN104_PIBSERV104;2012-01-01T00:00:00-02:00;659566.383018084;;
SCN104_PIBSERV104;2012-04-01T00:00:00-03:00;688920.59933863;;
SCN104_PIBSERV104;2012-07-01T00:00:00-03:00;710282.562953613;;
SCN104_PIBSERV104;2012-10-01T00:00:00-03:00;769112.454689673;;
SCN104_PIBSERV104;2013-01-01T00:00:00-02:00;731040.016811145;;
SCN104_PIBSERV104;2013-04-01T00:00:00-03:00;782557.197525393;;
SCN104_PIBSERV104;2013-07-01T00:00:00-03:00;803743.639676801;;
SCN104_PIBSERV104;2013-10-01T00:00:00-03:00;864503.145986662;;
SCN104_PIBSERV104;2014-01-01T00:00:00-02:00;831453.192196422;;
SCN104_PIBSERV104;2014-04-01T00:00:00-03:00;867577.623393869;;
SCN104_PIBSERV104;2014-07-01T00:00:00-03:00;893395.173142217;;
SCN104_PIBSERV104;2014-10-01T00:00:00-03:00;947239.011267493;;
SCN104_PIBSERV104;2015-01-01T00:00:00-02:00;892893.057769347;;
SCN104_PIBSERV104;2015-04-01T00:00:00-03:00;917925.144281715;;
SCN104_PIBSERV104;2015-07-01T00:00:00-03:00;929429.385005706;;
SCN104_PIBSERV104;2015-10-01T00:00:00-03:00;995599.412943232;;
SCN104_PIBSERV104;2016-01-01T00:00:00-02:00;937515.681548991;;
SCN104_PIBSERV104;2016-04-01T00:00:00-03:00;972769.693131726;;
SCN104_PIBSERV104;2016-07-01T00:00:00-03:00;988855.546102845;;
SCN104_PIBSERV104;2016-10-01T00:00:00-03:00;1063306.07921644;;
SCN104_PIBSERV104;2017-01-01T00:00:00-02:00;992482.612209426;;
SCN104_PIBSERV104;2017-04-01T00:00:00-03:00;1038395.61249003;;
SCN104_PIBSERV104;2017-07-01T00:00:00-03:00;1038890.51039438;;
SCN104_PIBSERV104;2017-10-01T00:00:00-03:00;1100095.26490617;;
SCN104_PIBSERV104;2018-01-01T00:00:00-02:00;1034492.25140645;;
SCN104_PIBSERV104;2018-04-01T00:00:00-03:00;1065968.33092528;;
SCN104_PIBSERV104;2018-07-01T00:00:00-03:00;1087035.53625989;;
SCN104_PIBSERV104;2018-10-01T00:00:00-03:00;1153654.46620838;;
SCN104_PIBSERV104;2019-01-01T00:00:00-02:00;1087324.19093959;;
SCN104_PIBSERV104;2019-04-01T00:00:00-03:00;1128303.0617301;;
SCN104_PIBSERV104;2019-07-01T00:00:00-03:00;1151597.05239678;;
SCN104_PIBSERV104;2019-10-01T00:00:00-03:00;1222993.03749576;;
