SERCODIGO;VALDATA;VALVALOR;NIVNOME;TERCODIGO
SCN104_PIBSOSV104;1996-01-01T00:00:00-02:00;27237.1561024848;;
SCN104_PIBSOSV104;1996-04-01T00:00:00-03:00;28919.6243479134;;
SCN104_PIBSOSV104;1996-07-01T00:00:00-03:00;31498.3146569685;;
SCN104_PIBSOSV104;1996-10-01T00:00:00-03:00;34128.3594894492;;
SCN104_PIBSOSV104;1997-01-01T00:00:00-02:00;32316.0146923738;;
SCN104_PIBSOSV104;1997-04-01T00:00:00-03:00;32266.0289325293;;
SCN104_PIBSOSV104;1997-07-01T00:00:00-03:00;34272.66597416;;
SCN104_PIBSOSV104;1997-10-01T00:00:00-03:00;35384.4186486449;;
SCN104_PIBSOSV104;1998-01-01T00:00:00-02:00;34227.4843031578;;
SCN104_PIBSOSV104;1998-04-01T00:00:00-03:00;35130.6591386626;;
SCN104_PIBSOSV104;1998-07-01T00:00:00-03:00;36224.371521687;;
SCN104_PIBSOSV104;1998-10-01T00:00:00-03:00;35005.9685850905;;
SCN104_PIBSOSV104;1999-01-01T00:00:00-02:00;39521.5921125943;;
SCN104_PIBSOSV104;1999-04-01T00:00:00-03:00;41053.2623419289;;
SCN104_PIBSOSV104;1999-07-01T00:00:00-03:00;42058.2671146259;;
SCN104_PIBSOSV104;1999-10-01T00:00:00-03:00;44951.0782478028;;
SCN104_PIBSOSV104;2000-01-01T00:00:00-02:00;39855.3097266822;;
SCN104_PIBSOSV104;2000-04-01T00:00:00-03:00;42838.2031655823;;
SCN104_PIBSOSV104;2000-07-01T00:00:00-03:00;45940.7550187765;;
SCN104_PIBSOSV104;2000-10-01T00:00:00-03:00;45728.762803561;;
SCN104_PIBSOSV104;2001-01-01T00:00:00-02:00;43215.3799549557;;
SCN104_PIBSOSV104;2001-04-01T00:00:00-03:00;45378.6998643207;;
SCN104_PIBSOSV104;2001-07-01T00:00:00-03:00;44200.8499068808;;
SCN104_PIBSOSV104;2001-10-01T00:00:00-03:00;48877.0418644068;;
SCN104_PIBSOSV104;2002-01-01T00:00:00-02:00;50351.4152285885;;
SCN104_PIBSOSV104;2002-04-01T00:00:00-03:00;54745.6998807213;;
SCN104_PIBSOSV104;2002-07-01T00:00:00-03:00;53311.831446604;;
SCN104_PIBSOSV104;2002-10-01T00:00:00-03:00;49819.4987782072;;
SCN104_PIBSOSV104;2003-01-01T00:00:00-02:00;51801.8930546896;;
SCN104_PIBSOSV104;2003-04-01T00:00:00-03:00;55490.5406858361;;
SCN104_PIBSOSV104;2003-07-01T00:00:00-03:00;58055.0234698495;;
SCN104_PIBSOSV104;2003-10-01T00:00:00-03:00;61213.1809129228;;
SCN104_PIBSOSV104;2004-01-01T00:00:00-02:00;58735.5703059094;;
SCN104_PIBSOSV104;2004-04-01T00:00:00-03:00;61760.6839860638;;
SCN104_PIBSOSV104;2004-07-01T00:00:00-03:00;64595.2817620194;;
SCN104_PIBSOSV104;2004-10-01T00:00:00-03:00;66007.1047204804;;
SCN104_PIBSOSV104;2005-01-01T00:00:00-02:00;64417.5604412177;;
SCN104_PIBSOSV104;2005-04-01T00:00:00-03:00;66939.471357138;;
SCN104_PIBSOSV104;2005-07-01T00:00:00-03:00;68985.9711835271;;
SCN104_PIBSOSV104;2005-10-01T00:00:00-03:00;71808.7961181171;;
SCN104_PIBSOSV104;2006-01-01T00:00:00-02:00;74288.8102777816;;
SCN104_PIBSOSV104;2006-04-01T00:00:00-03:00;78171.1753020197;;
SCN104_PIBSOSV104;2006-07-01T00:00:00-03:00;83916.9951174513;;
SCN104_PIBSOSV104;2006-10-01T00:00:00-03:00;88037.6286027471;;
SCN104_PIBSOSV104;2007-01-01T00:00:00-02:00;84981.295472586;;
SCN104_PIBSOSV104;2007-04-01T00:00:00-03:00;88038.928695671;;
SCN104_PIBSOSV104;2007-07-01T00:00:00-03:00;90475.3651845927;;
SCN104_PIBSOSV104;2007-10-01T00:00:00-03:00;96273.5904471502;;
SCN104_PIBSOSV104;2008-01-01T00:00:00-02:00;93651.8976113577;;
SCN104_PIBSOSV104;2008-04-01T00:00:00-03:00;99046.034892874;;
SCN104_PIBSOSV104;2008-07-01T00:00:00-03:00;101652.430742313;;
SCN104_PIBSOSV104;2008-10-01T00:00:00-03:00;104571.689053455;;
SCN104_PIBSOSV104;2009-01-01T00:00:00-02:00;106821.487904111;;
SCN104_PIBSOSV104;2009-04-01T00:00:00-03:00;111988.993787069;;
SCN104_PIBSOSV104;2009-07-01T00:00:00-03:00;117078.608144325;;
SCN104_PIBSOSV104;2009-10-01T00:00:00-03:00;119960.522264496;;
SCN104_PIBSOSV104;2010-01-01T00:00:00-02:00;120515.44074973;;
SCN104_PIBSOSV104;2010-04-01T00:00:00-03:00;123501.169004231;;
SCN104_PIBSOSV104;2010-07-01T00:00:00-03:00;133558.095077832;;
SCN104_PIBSOSV104;2010-10-01T00:00:00-03:00;139918.295168207;;
SCN104_PIBSOSV104;2011-01-01T00:00:00-02:00;135234.419993911;;
SCN104_PIBSOSV104;2011-04-01T00:00:00-03:00;147271.727726425;;
SCN104_PIBSOSV104;2011-07-01T00:00:00-03:00;151286.055952863;;
